Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 32
Max Evaluations: 5000

Generation 57: Best Solution = [-3.19638456e-06  8.34400235e-06], Best Fitness = 2.5274917590412116e-05, Evaluations = 1856
Generation 58: Best Solution = [-3.19638456e-06  8.34400235e-06], Best Fitness = 2.5274917590412116e-05, Evaluations = 1888
Generation 59: Best Solution = [-3.19638456e-06  8.34400235e-06], Best Fitness = 2.5274917590412116e-05, Evaluations = 1920
Generation 60: Best Solution = [-3.46680065e-06 -5.04359068e-07], Best Fitness = 9.909145039177503e-06, Evaluations = 1952
Generation 61: Best Solution = [-3.46680065e-06 -5.04359068e-07], Best Fitness = 9.909145039177503e-06, Evaluations = 1984
Generation 62: Best Solution = [-1.01348650e-06  2.78794819e-06], Best Fitness = 8.390614525399798e-06, Evaluations = 2016
Generation 63: Best Solution = [-1.01348650e-06  2.78794819e-06], Best Fitness = 8.390614525399798e-06, Evaluations = 2048
Generation 64: Best Solution = [-1.01348650e-06  2.78794819e-06], Best Fitness = 8.390614525399798e-06, Evaluations = 2080
Generation 65: Best Solution = [-2.05786974e-06  1.54195031e-06], Best Fitness = 7.273380930872264e-06, Evaluations = 2112
Generation 66: Best Solution = [-2.05786974e-06  1.54195031e-06], Best Fitness = 7.273380930872264e-06, Evaluations = 2144
Generation 67: Best Solution = [-1.02990525e-06 -1.30305387e-06], Best Fitness = 4.697863758895693e-06, Evaluations = 2176
Generation 68: Best Solution = [ 5.30130364e-07 -1.11039438e-06], Best Fitness = 3.480286136170463e-06, Evaluations = 2208
Generation 69: Best Solution = [ 5.30130364e-07 -1.11039438e-06], Best Fitness = 3.480286136170463e-06, Evaluations = 2240
Generation 70: Best Solution = [-1.04678176e-06 -6.98594812e-08], Best Fitness = 2.96736131177866e-06, Evaluations = 2272
Generation 71: Best Solution = [-1.04678176e-06 -6.98594812e-08], Best Fitness = 2.96736131177866e-06, Evaluations = 2304
Generation 72: Best Solution = [ 1.82294066e-08 -4.98012944e-08], Best Fitness = 1.4999954744965294e-07, Evaluations = 2336
Generation 73: Best Solution = [ 1.82294066e-08 -4.98012944e-08], Best Fitness = 1.4999954744965294e-07, Evaluations = 2368
Generation 74: Best Solution = [ 1.82294066e-08 -4.98012944e-08], Best Fitness = 1.4999954744965294e-07, Evaluations = 2400
Generation 75: Best Solution = [ 1.82294066e-08 -4.98012944e-08], Best Fitness = 1.4999954744965294e-07, Evaluations = 2432
Generation 76: Best Solution = [ 1.82294066e-08 -4.98012944e-08], Best Fitness = 1.4999954744965294e-07, Evaluations = 2464
Generation 77: Best Solution = [ 1.82294066e-08 -4.98012944e-08], Best Fitness = 1.4999954744965294e-07, Evaluations = 2496
Generation 78: Best Solution = [ 1.82294066e-08 -4.98012944e-08], Best Fitness = 1.4999954744965294e-07, Evaluations = 2528
Generation 79: Best Solution = [ 1.82294066e-08 -4.98012944e-08], Best Fitness = 1.4999954744965294e-07, Evaluations = 2560
Generation 80: Best Solution = [ 1.82294066e-08 -4.98012944e-08], Best Fitness = 1.4999954744965294e-07, Evaluations = 2592
Generation 81: Best Solution = [-9.59973555e-09  1.89744851e-08], Best Fitness = 6.014556719335928e-08, Evaluations = 2624
Generation 82: Best Solution = [-9.59973555e-09  1.89744851e-08], Best Fitness = 6.014556719335928e-08, Evaluations = 2656
Generation 83: Best Solution = [-9.59973555e-09  1.89744851e-08], Best Fitness = 6.014556719335928e-08, Evaluations = 2688
Generation 84: Best Solution = [-9.59973555e-09  1.89744851e-08], Best Fitness = 6.014556719335928e-08, Evaluations = 2720
