Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [-1.83297852  0.63948275], Best Fitness = 3.768748441360043, Evaluations = 8
Generation 1: Best Solution = [-1.83297852  0.63948275], Best Fitness = 3.768748441360043, Evaluations = 16
Generation 2: Best Solution = [-1.83297852  0.63948275], Best Fitness = 3.768748441360043, Evaluations = 24
Generation 3: Best Solution = [-1.83297852  0.63948275], Best Fitness = 3.768748441360043, Evaluations = 32
Generation 4: Best Solution = [-1.83297852  0.63948275], Best Fitness = 3.768748441360043, Evaluations = 40
Generation 5: Best Solution = [-0.62274263  0.72864736], Best Fitness = 0.918735362808977, Evaluations = 48
Generation 6: Best Solution = [-0.62274263  0.72864736], Best Fitness = 0.918735362808977, Evaluations = 56
Generation 7: Best Solution = [-0.62274263  0.72864736], Best Fitness = 0.918735362808977, Evaluations = 64
Generation 8: Best Solution = [-0.62274263  0.72864736], Best Fitness = 0.918735362808977, Evaluations = 72
Generation 9: Best Solution = [-0.62274263  0.72864736], Best Fitness = 0.918735362808977, Evaluations = 80
Generation 10: Best Solution = [-0.62274263  0.72864736], Best Fitness = 0.7925600346777906, Evaluations = 88
Generation 11: Best Solution = [0.35841064 0.58383534], Best Fitness = 0.4693218885976277, Evaluations = 96
Generation 12: Best Solution = [ 0.31143636 -0.49889167], Best Fitness = 0.3458855119335562, Evaluations = 104
Generation 13: Best Solution = [0.03272257 0.55163426], Best Fitness = 0.3053711189134854, Evaluations = 112
Generation 14: Best Solution = [0.31143636 0.19461739], Best Fitness = 0.13486853869347998, Evaluations = 120
Generation 15: Best Solution = [-0.23814648  0.17207664], Best Fitness = 0.08632411236986975, Evaluations = 128
Generation 16: Best Solution = [-0.23814648  0.17207664], Best Fitness = 0.08632411236986975, Evaluations = 136
Generation 17: Best Solution = [-0.01173021 -0.24204946], Best Fitness = 0.05872554015588426, Evaluations = 144
Generation 18: Best Solution = [0.01637522 0.04033657], Best Fitness = 0.0018951869346181369, Evaluations = 152
Generation 19: Best Solution = [0.01637522 0.04033657], Best Fitness = 0.0018951869346181369, Evaluations = 160
Generation 20: Best Solution = [0.01637522 0.04033657], Best Fitness = 0.0018951869346181369, Evaluations = 168
Generation 21: Best Solution = [0.01637522 0.04033657], Best Fitness = 0.0018951869346181369, Evaluations = 176
Generation 22: Best Solution = [0.01637522 0.04033657], Best Fitness = 0.0018951869346181369, Evaluations = 184
Generation 23: Best Solution = [0.01637522 0.04033657], Best Fitness = 0.0018951869346181369, Evaluations = 192
Generation 24: Best Solution = [-0.01173021 -0.01258175], Best Fitness = 0.00029589823259842224, Evaluations = 200
Generation 25: Best Solution = [-0.01173021 -0.01258175], Best Fitness = 0.00029589823259842224, Evaluations = 208
Generation 26: Best Solution = [-0.00207366 -0.01258175], Best Fitness = 0.00016260044897913587, Evaluations = 216
Generation 27: Best Solution = [-0.00207366 -0.01258175], Best Fitness = 0.00016260044897913587, Evaluations = 224
Generation 28: Best Solution = [-0.00494198  0.00452665], Best Fitness = 4.491376756428679e-05, Evaluations = 232
Generation 29: Best Solution = [0.00409797 0.00169319], Best Fitness = 1.966024153144293e-05, Evaluations = 240
Generation 30: Best Solution = [0.00409797 0.00169319], Best Fitness = 1.966024153144293e-05, Evaluations = 248
Generation 31: Best Solution = [-0.00207366  0.00250762], Best Fitness = 1.0588240886077731e-05, Evaluations = 256
Generation 32: Best Solution = [-0.00207366  0.00250762], Best Fitness = 4.868760592385751e-06, Evaluations = 264
Generation 33: Best Solution = [-0.00207366  0.00250762], Best Fitness = 4.868760592385751e-06, Evaluations = 272
Generation 34: Best Solution = [-0.00207366  0.00250762], Best Fitness = 6.177022996811585e-07, Evaluations = 280
Generation 35: Best Solution = [-0.00207366  0.00250762], Best Fitness = 6.177022996811585e-07, Evaluations = 288
Generation 36: Best Solution = [-0.00207366  0.00250762], Best Fitness = 6.177022996811585e-07, Evaluations = 296
Generation 37: Best Solution = [-0.00207366  0.00250762], Best Fitness = 5.9325146116166e-07, Evaluations = 304
Generation 38: Best Solution = [-0.00207366  0.00250762], Best Fitness = 5.9325146116166e-07, Evaluations = 312
Generation 39: Best Solution = [-0.0004896   0.00044475], Best Fitness = 4.375167985055259e-07, Evaluations = 320
Generation 40: Best Solution = [4.21356853e-04 1.85770742e-05], Best Fitness = 1.7788670528368486e-07, Evaluations = 328
Generation 41: Best Solution = [4.21356853e-04 1.85770742e-05], Best Fitness = 1.7788670528368486e-07, Evaluations = 336
Generation 42: Best Solution = [ 1.56702820e-04 -9.78608821e-05], Best Fitness = 3.413252590531522e-08, Evaluations = 344
Generation 43: Best Solution = [-1.75862891e-04  1.13802487e-05], Best Fitness = 3.105726643826112e-08, Evaluations = 352
Generation 44: Best Solution = [-1.75862891e-04  1.13802487e-05], Best Fitness = 3.105726643826112e-08, Evaluations = 360
Generation 45: Best Solution = [ 1.23070149e-04 -3.57685057e-05], Best Fitness = 1.6425647673919035e-08, Evaluations = 368
Generation 46: Best Solution = [-7.87911916e-05 -2.17536469e-05], Best Fitness = 6.681273030327584e-09, Evaluations = 376
Generation 47: Best Solution = [-7.87911916e-05 -2.17536469e-05], Best Fitness = 6.681273030327584e-09, Evaluations = 384
Generation 48: Best Solution = [-6.82304756e-05 -3.57685057e-05], Best Fitness = 5.934783801420961e-09, Evaluations = 392
Generation 49: Best Solution = [-3.52470555e-05 -2.17536469e-05], Best Fitness = 1.715576077591357e-09, Evaluations = 400
Generation 50: Best Solution = [ 1.44311518e-05 -2.58672673e-05], Best Fitness = 8.77373660062102e-10, Evaluations = 408
Generation 51: Best Solution = [-2.65308552e-06 -2.76437765e-06], Best Fitness = 1.468064653708183e-11, Evaluations = 416
Generation 52: Best Solution = [-2.65308552e-06 -2.76437765e-06], Best Fitness = 1.468064653708183e-11, Evaluations = 424
Generation 53: Best Solution = [-2.65308552e-06 -2.76437765e-06], Best Fitness = 1.468064653708183e-11, Evaluations = 432
Generation 54: Best Solution = [-2.65308552e-06 -2.76437765e-06], Best Fitness = 1.468064653708183e-11, Evaluations = 440
Generation 55: Best Solution = [-2.12486505e-07  1.73326772e-06], Best Fitness = 3.0493675122033913e-12, Evaluations = 448
Generation 56: Best Solution = [-2.12486505e-07  1.73326772e-06], Best Fitness = 2.5829180975774207e-13, Evaluations = 456
Generation 57: Best Solution = [-2.12486505e-07  1.73326772e-06], Best Fitness = 2.5829180975774207e-13, Evaluations = 464
Generation 58: Best Solution = [-2.12486505e-07  1.73326772e-06], Best Fitness = 2.5829180975774207e-13, Evaluations = 472
Generation 59: Best Solution = [-2.12486505e-07  1.73326772e-06], Best Fitness = 2.5829180975774207e-13, Evaluations = 480
Generation 60: Best Solution = [-2.12486505e-07  1.73326772e-06], Best Fitness = 2.5829180975774207e-13, Evaluations = 488
Generation 61: Best Solution = [-2.12486505e-07  1.73326772e-06], Best Fitness = 2.5829180975774207e-13, Evaluations = 496
Generation 62: Best Solution = [-2.12486505e-07  1.73326772e-06], Best Fitness = 2.5829180975774207e-13, Evaluations = 504
