Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 10
Population Size: 16
Max Evaluations: 10000

  1.20140322  1.7855776   2.28446093  7.17914784], Best Fitness = 5766.124087501632, Evaluations = 496
Generation 31: Best Solution = [-2.52724439  0.60446103 -1.10484561  1.08854344 -0.32337187 -0.8935236
 -0.86990001  0.81419323 -1.28736016  3.73889541], Best Fitness = 5012.19478613699, Evaluations = 512
Generation 32: Best Solution = [-2.52724439  0.60446103 -1.10484561  1.08854344 -0.32337187 -0.8935236
 -0.86990001  0.81419323 -1.28736016  3.73889541], Best Fitness = 1376.1531213306682, Evaluations = 528
Generation 33: Best Solution = [-2.52724439  0.60446103 -1.10484561  1.08854344 -0.32337187 -0.8935236
 -0.86990001  0.81419323 -1.28736016  3.73889541], Best Fitness = 1376.1531213306682, Evaluations = 544
Generation 34: Best Solution = [-2.52724439  0.60446103 -1.10484561  1.08854344 -0.32337187 -0.8935236
 -0.86990001  0.81419323 -1.28736016  3.73889541], Best Fitness = 1376.1531213306682, Evaluations = 560
Generation 35: Best Solution = [-2.52724439  0.60446103 -1.10484561  1.08854344 -0.32337187 -0.8935236
 -0.86990001  0.81419323 -1.28736016  3.73889541], Best Fitness = 1376.1531213306682, Evaluations = 576
Generation 36: Best Solution = [-2.52724439  0.60446103 -1.10484561  1.08854344 -0.32337187 -0.8935236
 -0.86990001  0.81419323 -1.28736016  3.73889541], Best Fitness = 1376.1531213306682, Evaluations = 592
Generation 37: Best Solution = [-2.52724439  0.60446103 -1.10484561  1.08854344 -0.32337187 -0.8935236
 -0.86990001  0.81419323 -1.28736016  3.73889541], Best Fitness = 1376.1531213306682, Evaluations = 608
Generation 38: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 825.8334241156954, Evaluations = 624
Generation 39: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 825.8334241156954, Evaluations = 640
Generation 40: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 825.8334241156954, Evaluations = 656
Generation 41: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 825.8334241156954, Evaluations = 672
Generation 42: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 713.9136912995737, Evaluations = 688
Generation 43: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 713.9136912995737, Evaluations = 704
Generation 44: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 713.9136912995737, Evaluations = 720
Generation 45: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 713.9136912995737, Evaluations = 736
Generation 46: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 713.9136912995737, Evaluations = 752
Generation 47: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
