Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 56: Best Solution = [-9.90437762e-07  9.45094906e-07], Best Fitness = 1.874171341602934e-12, Evaluations = 912
Generation 57: Best Solution = [-9.90437762e-07  9.45094906e-07], Best Fitness = 1.874171341602934e-12, Evaluations = 928
Generation 58: Best Solution = [-9.90437762e-07  9.45094906e-07], Best Fitness = 1.874171341602934e-12, Evaluations = 944
Generation 59: Best Solution = [-9.90437762e-07  9.45094906e-07], Best Fitness = 1.874171341602934e-12, Evaluations = 960
Generation 60: Best Solution = [-9.90437762e-07  9.45094906e-07], Best Fitness = 1.874171341602934e-12, Evaluations = 976
Generation 61: Best Solution = [ 6.42389615e-07 -8.74273637e-07], Best Fitness = 1.1770188094179912e-12, Evaluations = 992
Generation 62: Best Solution = [-1.38100123e-07  8.09437868e-07], Best Fitness = 6.742613055809464e-13, Evaluations = 1008
Generation 63: Best Solution = [ 4.69287540e-08 -2.50153857e-08], Best Fitness = 2.8280774749781518e-15, Evaluations = 1024
Generation 64: Best Solution = [4.07523592e-08 2.58961572e-08], Best Fitness = 2.3313657389992832e-15, Evaluations = 1040
Generation 65: Best Solution = [4.07523592e-08 2.58961572e-08], Best Fitness = 2.3313657389992832e-15, Evaluations = 1056
Generation 66: Best Solution = [4.07523592e-08 2.58961572e-08], Best Fitness = 2.3313657389992832e-15, Evaluations = 1072
Generation 67: Best Solution = [4.07523592e-08 2.58961572e-08], Best Fitness = 2.3313657389992832e-15, Evaluations = 1088
Generation 68: Best Solution = [4.07523592e-08 2.58961572e-08], Best Fitness = 2.3313657389992832e-15, Evaluations = 1104
Generation 69: Best Solution = [4.07523592e-08 2.58961572e-08], Best Fitness = 2.3313657389992832e-15, Evaluations = 1120
Generation 70: Best Solution = [4.07523592e-08 2.58961572e-08], Best Fitness = 2.3313657389992832e-15, Evaluations = 1136
Generation 71: Best Solution = [-1.29434310e-08 -2.19414969e-08], Best Fitness = 6.489616930657897e-16, Evaluations = 1152
Generation 72: Best Solution = [-1.29434310e-08 -2.19414969e-08], Best Fitness = 6.489616930657897e-16, Evaluations = 1168
Generation 73: Best Solution = [ 4.68252475e-09 -2.50153857e-08], Best Fitness = 6.476955604640966e-16, Evaluations = 1184
Generation 74: Best Solution = [-1.29434310e-08 -6.66947453e-09], Best Fitness = 2.1201429756601371e-16, Evaluations = 1200
Generation 75: Best Solution = [-1.29434310e-08 -6.66947453e-09], Best Fitness = 2.1201429756601371e-16, Evaluations = 1216
Generation 76: Best Solution = [ 4.68252475e-09 -7.16476831e-09], Best Fitness = 7.325994298008172e-17, Evaluations = 1232
Generation 77: Best Solution = [ 4.68252475e-09 -7.16476831e-09], Best Fitness = 7.325994298008172e-17, Evaluations = 1248
Generation 78: Best Solution = [-5.48924305e-09  1.54787040e-09], Best Fitness = 3.2527691994380125e-17, Evaluations = 1264
Generation 79: Best Solution = [-5.48924305e-09  1.54787040e-09], Best Fitness = 3.2527691994380125e-17, Evaluations = 1280
Generation 80: Best Solution = [-5.48924305e-09  1.54787040e-09], Best Fitness = 3.2527691994380125e-17, Evaluations = 1296
Generation 81: Best Solution = [-5.48924305e-09  1.54787040e-09], Best Fitness = 3.2527691994380125e-17, Evaluations = 1312
Generation 82: Best Solution = [-5.48924305e-09  1.54787040e-09], Best Fitness = 1.7012522666657618e-17, Evaluations = 1328
Generation 83: Best Solution = [-5.48924305e-09  1.54787040e-09], Best Fitness = 1.7012522666657618e-17, Evaluations = 1344
Generation 84: Best Solution = [-5.48924305e-09  1.54787040e-09], Best Fitness = 4.79082319479956e-18, Evaluations = 1360
Generation 85: Best Solution = [-5.48924305e-09  1.54787040e-09], Best Fitness = 4.79082319479956e-18, Evaluations = 1376
Generation 86: Best Solution = [-5.48924305e-09  1.54787040e-09], Best Fitness = 4.79082319479956e-18, Evaluations = 1392
Generation 87: Best Solution = [-5.48924305e-09  1.54787040e-09], Best Fitness = 4.79082319479956e-18, Evaluations = 1408
Generation 88: Best Solution = [1.20850590e-09 1.69685505e-09], Best Fitness = 4.339803563384776e-18, Evaluations = 1424
Generation 89: Best Solution = [1.20850590e-09 1.69685505e-09], Best Fitness = 4.339803563384776e-18, Evaluations = 1440
Generation 90: Best Solution = [-1.80427032e-09  9.74693715e-10], Best Fitness = 4.205419226826885e-18, Evaluations = 1456
Generation 91: Best Solution = [7.00763835e-10 5.22471119e-10], Best Fitness = 7.640460218722668e-19, Evaluations = 1472
Generation 92: Best Solution = [7.00763835e-10 5.22471119e-10], Best Fitness = 7.640460218722668e-19, Evaluations = 1488
Generation 93: Best Solution = [2.80121036e-10 4.56667004e-10], Best Fitness = 2.870125475523459e-19, Evaluations = 1504
Generation 94: Best Solution = [2.80121036e-10 4.56667004e-10], Best Fitness = 2.870125475523459e-19, Evaluations = 1520
Generation 95: Best Solution = [ 1.15499673e-10 -1.37954363e-10], Best Fitness = 3.237158070372323e-20, Evaluations = 1536
Generation 96: Best Solution = [ 1.15499673e-10 -1.37954363e-10], Best Fitness = 3.237158070372323e-20, Evaluations = 1552
Generation 97: Best Solution = [ 1.15499673e-10 -1.37954363e-10], Best Fitness = 3.237158070372323e-20, Evaluations = 1568
Generation 98: Best Solution = [ 1.15499673e-10 -1.37954363e-10], Best Fitness = 3.237158070372323e-20, Evaluations = 1584
Generation 99: Best Solution = [9.87026989e-11 8.66334444e-11], Best Fitness = 1.7247576449770316e-20, Evaluations = 1600
Generation 100: Best Solution = [9.87026989e-11 8.66334444e-11], Best Fitness = 1.7247576449770316e-20, Evaluations = 1616
Generation 101: Best Solution = [9.87026989e-11 8.66334444e-11], Best Fitness = 8.396455080721181e-21, Evaluations = 1632
Generation 102: Best Solution = [ 6.44165098e-11 -2.45138334e-11], Best Fitness = 4.75041476277053e-21, Evaluations = 1648
