Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 48: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 392
Generation 49: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 400
Generation 50: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 408
Generation 51: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 416
Generation 52: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 424
Generation 53: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 432
Generation 54: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 440
Generation 55: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 448
Generation 56: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 456
Generation 57: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 464
Generation 58: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 472
Generation 59: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 480
Generation 60: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 488
Generation 61: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 496
Generation 62: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 504
Generation 63: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 512
Generation 64: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 520
Generation 65: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 528
Generation 66: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 536
Generation 67: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 544
Generation 68: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 552
Generation 69: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 560
Generation 70: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 568
Generation 71: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 576
Generation 72: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 584
Generation 73: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 592
Generation 74: Best Solution = [ 9.55049347 -4.30515661], Best Fitness = 0.040029361512869954, Evaluations = 600
Generation 75: Best Solution = [-9.28377097 -4.54989966], Best Fitness = 0.03948089752712258, Evaluations = 608
Generation 76: Best Solution = [-9.28377097 -4.54989966], Best Fitness = 0.024340774061820225, Evaluations = 616
