Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 57: Best Solution = [7.54520337e-06 1.07366067e-05], Best Fitness = 1.7220481792863002e-10, Evaluations = 464
Generation 58: Best Solution = [7.54520337e-06 1.07366067e-05], Best Fitness = 1.7220481792863002e-10, Evaluations = 472
Generation 59: Best Solution = [7.54520337e-06 1.07366067e-05], Best Fitness = 1.7220481792863002e-10, Evaluations = 480
Generation 60: Best Solution = [7.54520337e-06 1.07366067e-05], Best Fitness = 1.7220481792863002e-10, Evaluations = 488
Generation 61: Best Solution = [7.54520337e-06 1.07366067e-05], Best Fitness = 1.5372217332978202e-10, Evaluations = 496
Generation 62: Best Solution = [-3.57590586e-06 -9.87704651e-06], Best Fitness = 1.1034315056248587e-10, Evaluations = 504
Generation 63: Best Solution = [2.11025581e-06 2.80011912e-06], Best Fitness = 1.2293846665036967e-11, Evaluations = 512
Generation 64: Best Solution = [2.11025581e-06 2.80011912e-06], Best Fitness = 1.2293846665036967e-11, Evaluations = 520
Generation 65: Best Solution = [2.11025581e-06 2.80011912e-06], Best Fitness = 1.2293846665036967e-11, Evaluations = 528
Generation 66: Best Solution = [2.11025581e-06 2.80011912e-06], Best Fitness = 1.2293846665036967e-11, Evaluations = 536
Generation 67: Best Solution = [2.11025581e-06 2.80011912e-06], Best Fitness = 1.2293846665036967e-11, Evaluations = 544
Generation 68: Best Solution = [-1.81912663e-06  2.20020861e-07], Best Fitness = 3.3576308583028292e-12, Evaluations = 552
Generation 69: Best Solution = [-1.81912663e-06  2.20020861e-07], Best Fitness = 3.3576308583028292e-12, Evaluations = 560
Generation 70: Best Solution = [-1.81912663e-06  2.20020861e-07], Best Fitness = 3.3576308583028292e-12, Evaluations = 568
Generation 71: Best Solution = [-1.40164910e-07  6.56971587e-07], Best Fitness = 4.5125786836995597e-13, Evaluations = 576
Generation 72: Best Solution = [-1.40164910e-07  6.56971587e-07], Best Fitness = 4.5125786836995597e-13, Evaluations = 584
Generation 73: Best Solution = [-1.40164910e-07  6.56971587e-07], Best Fitness = 4.5125786836995597e-13, Evaluations = 592
Generation 74: Best Solution = [-3.56168360e-07  1.48940316e-07], Best Fitness = 1.4903911816527894e-13, Evaluations = 600
Generation 75: Best Solution = [-3.56168360e-07  1.48940316e-07], Best Fitness = 1.4903911816527894e-13, Evaluations = 608
Generation 76: Best Solution = [-3.56168360e-07  1.48940316e-07], Best Fitness = 1.4903911816527894e-13, Evaluations = 616
