Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 64
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.00631384 -1.94309723], Best Fitness = 4.415895977669649, Evaluations = 64
Generation 1: Best Solution = [ 0.00631384 -1.94309723], Best Fitness = 4.415895977669649, Evaluations = 128
Generation 2: Best Solution = [ 0.00631384 -0.92028583], Best Fitness = 2.0831291857700975, Evaluations = 192
Generation 3: Best Solution = [ 0.00631384 -0.92028583], Best Fitness = 2.0831291857700975, Evaluations = 256
Generation 4: Best Solution = [ 0.00631384 -0.92028583], Best Fitness = 2.0831291857700975, Evaluations = 320
Generation 5: Best Solution = [-0.06632671  0.96434113], Best Fitness = 2.0401779946653207, Evaluations = 384
Generation 6: Best Solution = [-0.06632671  0.96434113], Best Fitness = 2.0401779946653207, Evaluations = 448
Generation 7: Best Solution = [-0.045369   -0.97574971], Best Fitness = 1.4735603569269031, Evaluations = 512
Generation 8: Best Solution = [-0.045369   -0.97574971], Best Fitness = 1.4735603569269031, Evaluations = 576
Generation 9: Best Solution = [-0.045369   -0.97574971], Best Fitness = 1.4735603569269031, Evaluations = 640
Generation 10: Best Solution = [-0.045369   -0.97574971], Best Fitness = 1.4735603569269031, Evaluations = 704
Generation 11: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 768
Generation 12: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 832
Generation 13: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 896
Generation 14: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 960
Generation 15: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 1024
Generation 16: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 1088
Generation 17: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 1152
Generation 18: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 1216
Generation 19: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 1280
Generation 20: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 1344
Generation 21: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 1408
Generation 22: Best Solution = [0.0516953  0.02564322], Best Fitness = 0.6557394848773939, Evaluations = 1472
Generation 23: Best Solution = [-0.01809919 -0.00345202], Best Fitness = 0.06728378294523196, Evaluations = 1536
Generation 24: Best Solution = [-0.01809919 -0.00345202], Best Fitness = 0.06728378294523196, Evaluations = 1600
Generation 25: Best Solution = [-0.01809919 -0.00345202], Best Fitness = 0.06728378294523196, Evaluations = 1664
Generation 26: Best Solution = [-0.01809919 -0.00345202], Best Fitness = 0.06728378294523196, Evaluations = 1728
Generation 27: Best Solution = [-0.01809919 -0.00345202], Best Fitness = 0.06728378294523196, Evaluations = 1792
Generation 28: Best Solution = [-0.01809919 -0.00345202], Best Fitness = 0.06728378294523196, Evaluations = 1856
Generation 29: Best Solution = [-0.01809919 -0.00345202], Best Fitness = 0.027386951872415466, Evaluations = 1920
Generation 30: Best Solution = [-0.01809919 -0.00345202], Best Fitness = 0.027386951872415466, Evaluations = 1984
Generation 31: Best Solution = [-0.01809919 -0.00345202], Best Fitness = 0.027386951872415466, Evaluations = 2048
