Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 59: Best Solution = [-1.53956857e-05  5.22869018e-05], Best Fitness = 5.894124228689179e-07, Evaluations = 960
Generation 60: Best Solution = [-1.53956857e-05  5.22869018e-05], Best Fitness = 5.418639119625368e-07, Evaluations = 976
Generation 61: Best Solution = [-2.02545541e-06  4.54305735e-05], Best Fitness = 4.102826665075554e-07, Evaluations = 992
Generation 62: Best Solution = [-2.02545541e-06  4.54305735e-05], Best Fitness = 4.102826665075554e-07, Evaluations = 1008
Generation 63: Best Solution = [-1.23443920e-05 -2.13234157e-06], Best Fitness = 3.113385105280031e-08, Evaluations = 1024
Generation 64: Best Solution = [-1.23443920e-05 -2.13234157e-06], Best Fitness = 3.113385105280031e-08, Evaluations = 1040
Generation 65: Best Solution = [-1.23443920e-05 -2.13234157e-06], Best Fitness = 3.113385105280031e-08, Evaluations = 1056
Generation 66: Best Solution = [-1.23443920e-05 -2.13234157e-06], Best Fitness = 3.113385105280031e-08, Evaluations = 1072
Generation 67: Best Solution = [-1.23443920e-05 -2.13234157e-06], Best Fitness = 3.113385105280031e-08, Evaluations = 1088
Generation 68: Best Solution = [-1.23443920e-05 -2.13234157e-06], Best Fitness = 3.113385105280031e-08, Evaluations = 1104
Generation 69: Best Solution = [-1.82652798e-06 -6.04558974e-06], Best Fitness = 7.912937860510283e-09, Evaluations = 1120
Generation 70: Best Solution = [-1.82652798e-06 -6.04558974e-06], Best Fitness = 7.912937860510283e-09, Evaluations = 1136
Generation 71: Best Solution = [-1.82652798e-06 -6.04558974e-06], Best Fitness = 7.912937860510283e-09, Evaluations = 1152
Generation 72: Best Solution = [ 3.92711294e-06 -3.01996771e-06], Best Fitness = 4.869022518505517e-09, Evaluations = 1168
Generation 73: Best Solution = [ 3.92711294e-06 -3.01996771e-06], Best Fitness = 4.869022518505517e-09, Evaluations = 1184
Generation 74: Best Solution = [ 3.92711294e-06 -3.01996771e-06], Best Fitness = 4.869022518505517e-09, Evaluations = 1200
Generation 75: Best Solution = [1.74553399e-07 1.17034867e-06], Best Fitness = 2.7778668254541117e-10, Evaluations = 1216
Generation 76: Best Solution = [1.74553399e-07 1.17034867e-06], Best Fitness = 2.7778668254541117e-10, Evaluations = 1232
Generation 77: Best Solution = [1.74553399e-07 1.17034867e-06], Best Fitness = 2.7778668254541117e-10, Evaluations = 1248
Generation 78: Best Solution = [1.74553399e-07 1.17034867e-06], Best Fitness = 2.7778668254541117e-10, Evaluations = 1264
Generation 79: Best Solution = [-9.60919324e-07  3.31314319e-07], Best Fitness = 2.049667102710373e-10, Evaluations = 1280
Generation 80: Best Solution = [-9.60919324e-07  3.31314319e-07], Best Fitness = 2.049667102710373e-10, Evaluations = 1296
Generation 81: Best Solution = [ 2.92190763e-07 -9.01747404e-07], Best Fitness = 1.7826096154749393e-10, Evaluations = 1312
Generation 82: Best Solution = [6.75091881e-07 1.98120502e-07], Best Fitness = 9.820411150940345e-11, Evaluations = 1328
