Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 58: Best Solution = [ 5.16391520e-05 -1.06652727e-04], Best Fitness = 0.0003355324445348806, Evaluations = 472
Generation 59: Best Solution = [ 5.16391520e-05 -1.06652727e-04], Best Fitness = 0.0003355324445348806, Evaluations = 480
Generation 60: Best Solution = [-1.59967610e-05 -3.56923097e-05], Best Fitness = 0.00011066938916615143, Evaluations = 488
Generation 61: Best Solution = [-1.59967610e-05 -3.56923097e-05], Best Fitness = 0.00011066938916615143, Evaluations = 496
Generation 62: Best Solution = [ 1.37496769e-06 -6.29246419e-06], Best Fitness = 1.8218819516579998e-05, Evaluations = 504
Generation 63: Best Solution = [ 1.37496769e-06 -6.29246419e-06], Best Fitness = 1.8218819516579998e-05, Evaluations = 512
Generation 64: Best Solution = [ 1.37496769e-06 -6.29246419e-06], Best Fitness = 1.8218819516579998e-05, Evaluations = 520
Generation 65: Best Solution = [ 1.37496769e-06 -6.29246419e-06], Best Fitness = 1.8218819516579998e-05, Evaluations = 528
Generation 66: Best Solution = [ 1.37496769e-06 -6.29246419e-06], Best Fitness = 1.8218819516579998e-05, Evaluations = 536
Generation 67: Best Solution = [-2.81188513e-06 -2.96649446e-06], Best Fitness = 1.1561340116816865e-05, Evaluations = 544
Generation 68: Best Solution = [-2.81188513e-06 -2.96649446e-06], Best Fitness = 1.1561340116816865e-05, Evaluations = 552
Generation 69: Best Solution = [1.37496769e-06 2.29277707e-06], Best Fitness = 7.56186359440747e-06, Evaluations = 560
Generation 70: Best Solution = [1.37496769e-06 2.29277707e-06], Best Fitness = 7.56186359440747e-06, Evaluations = 568
Generation 71: Best Solution = [-2.00314498e-06  1.34465159e-06], Best Fitness = 6.824041108632883e-06, Evaluations = 576
Generation 72: Best Solution = [-2.00314498e-06  1.34465159e-06], Best Fitness = 6.824041108632883e-06, Evaluations = 584
Generation 73: Best Solution = [9.17034009e-07 2.58580781e-09], Best Fitness = 2.593796569971829e-06, Evaluations = 592
Generation 74: Best Solution = [9.17034009e-07 2.58580781e-09], Best Fitness = 2.593796569971829e-06, Evaluations = 600
Generation 75: Best Solution = [9.17034009e-07 2.58580781e-09], Best Fitness = 2.593796569971829e-06, Evaluations = 608
Generation 76: Best Solution = [9.17034009e-07 2.58580781e-09], Best Fitness = 2.593796569971829e-06, Evaluations = 616
Generation 77: Best Solution = [9.17034009e-07 2.58580781e-09], Best Fitness = 2.593796569971829e-06, Evaluations = 624
Generation 78: Best Solution = [9.17034009e-07 2.58580781e-09], Best Fitness = 2.593796569971829e-06, Evaluations = 632
Generation 79: Best Solution = [-3.30192010e-09  2.31004656e-07], Best Fitness = 6.534480019304567e-07, Evaluations = 640
Generation 80: Best Solution = [-3.30192010e-09  2.31004656e-07], Best Fitness = 6.534480019304567e-07, Evaluations = 648
Generation 81: Best Solution = [1.63099296e-07 2.58580781e-09], Best Fitness = 4.613731587888026e-07, Evaluations = 656
Generation 82: Best Solution = [-3.30192010e-09 -6.98816011e-08], Best Fitness = 1.978756647424973e-07, Evaluations = 664
Generation 83: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.5172142975881115e-08, Evaluations = 672
Generation 84: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.5172142975881115e-08, Evaluations = 680
Generation 85: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.110441371134698e-08, Evaluations = 688
Generation 86: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.110441371134698e-08, Evaluations = 696
Generation 87: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.110441371134698e-08, Evaluations = 704
Generation 88: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.110441371134698e-08, Evaluations = 712
Generation 89: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.110441371134698e-08, Evaluations = 720
Generation 90: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.110441371134698e-08, Evaluations = 728
Generation 91: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.110441371134698e-08, Evaluations = 736
