Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [1.99257623 5.24187291], Best Fitness = 162.65970485440212, Evaluations = 16
Generation 1: Best Solution = [-1.26782664  1.71462273], Best Fitness = 6.293043867675123, Evaluations = 32
Generation 2: Best Solution = [-1.26782664  1.71462273], Best Fitness = 6.293043867675123, Evaluations = 48
Generation 3: Best Solution = [-1.26782664  1.71462273], Best Fitness = 6.293043867675123, Evaluations = 64
Generation 4: Best Solution = [-1.26782664  1.71462273], Best Fitness = 6.293043867675123, Evaluations = 80
Generation 5: Best Solution = [-1.26782664  1.71462273], Best Fitness = 6.293043867675123, Evaluations = 96
Generation 6: Best Solution = [-1.26782664  1.71462273], Best Fitness = 6.293043867675123, Evaluations = 112
Generation 7: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 128
Generation 8: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 144
Generation 9: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 160
Generation 10: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 176
Generation 11: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 192
Generation 12: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 208
Generation 13: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 224
Generation 14: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 240
Generation 15: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 256
Generation 16: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 272
Generation 17: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 288
Generation 18: Best Solution = [1.99257623 3.98840159], Best Fitness = 1.0177573453881612, Evaluations = 304
Generation 19: Best Solution = [1.18120803 1.31713155], Best Fitness = 0.6431233644045398, Evaluations = 320
Generation 20: Best Solution = [1.18120803 1.31713155], Best Fitness = 0.6431233644045398, Evaluations = 336
Generation 21: Best Solution = [1.18120803 1.31713155], Best Fitness = 0.6431233644045398, Evaluations = 352
Generation 22: Best Solution = [1.18120803 1.31713155], Best Fitness = 0.6431233644045398, Evaluations = 368
Generation 23: Best Solution = [1.18120803 1.31713155], Best Fitness = 0.6431233644045398, Evaluations = 384
Generation 24: Best Solution = [1.18120803 1.31713155], Best Fitness = 0.6431233644045398, Evaluations = 400
Generation 25: Best Solution = [1.18120803 1.31713155], Best Fitness = 0.6431233644045398, Evaluations = 416
Generation 26: Best Solution = [1.18120803 1.31713155], Best Fitness = 0.6431233644045398, Evaluations = 432
Generation 27: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 448
Generation 28: Best Solution = [1.47729864 2.20085408], Best Fitness = 0.261827751606485, Evaluations = 464
