Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 59: Best Solution = [0.00086005 0.12499532], Best Fitness = 0.003907689700739403, Evaluations = 960
Generation 60: Best Solution = [0.00086005 0.12499532], Best Fitness = 0.003907689700739403, Evaluations = 976
Generation 61: Best Solution = [0.00086005 0.12499532], Best Fitness = 0.003907689700739403, Evaluations = 992
Generation 62: Best Solution = [0.00086005 0.12499532], Best Fitness = 0.003907689700739403, Evaluations = 1008
Generation 63: Best Solution = [0.00086005 0.12499532], Best Fitness = 0.0016785143766964161, Evaluations = 1024
Generation 64: Best Solution = [0.00086005 0.12499532], Best Fitness = 0.0016785143766964161, Evaluations = 1040
Generation 65: Best Solution = [0.00086005 0.12499532], Best Fitness = 0.0016785143766964161, Evaluations = 1056
Generation 66: Best Solution = [0.00086005 0.12499532], Best Fitness = 0.0016785143766964161, Evaluations = 1072
Generation 67: Best Solution = [0.00086005 0.12499532], Best Fitness = 0.0016785143766964161, Evaluations = 1088
Generation 68: Best Solution = [0.00086005 0.12499532], Best Fitness = 0.0016785143766964161, Evaluations = 1104
Generation 69: Best Solution = [0.02593421 0.01676454], Best Fitness = 0.00040674917952365774, Evaluations = 1120
Generation 70: Best Solution = [0.02593421 0.01676454], Best Fitness = 0.00040674917952365774, Evaluations = 1136
Generation 71: Best Solution = [0.02593421 0.01676454], Best Fitness = 0.00040674917952365774, Evaluations = 1152
Generation 72: Best Solution = [0.02593421 0.01676454], Best Fitness = 0.00040674917952365774, Evaluations = 1168
Generation 73: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1184
Generation 74: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1200
Generation 75: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1216
Generation 76: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1232
Generation 77: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1248
