Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 61: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 496
Generation 62: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 504
Generation 63: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 512
Generation 64: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 520
Generation 65: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 528
Generation 66: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 536
Generation 67: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 544
Generation 68: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 552
Generation 69: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 560
Generation 70: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 568
Generation 71: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 576
Generation 72: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 584
Generation 73: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 592
Generation 74: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 600
Generation 75: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 608
Generation 76: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 616
Generation 77: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 624
Generation 78: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 632
Generation 79: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 640
Generation 80: Best Solution = [0.6023627  0.35724592], Best Fitness = 0.16124570995340953, Evaluations = 648
Generation 81: Best Solution = [1.24060891 1.51235806], Best Fitness = 0.1294618521647511, Evaluations = 656
Generation 82: Best Solution = [1.24060891 1.51235806], Best Fitness = 0.1294618521647511, Evaluations = 664
Generation 83: Best Solution = [1.24060891 1.51235806], Best Fitness = 0.1294618521647511, Evaluations = 672
Generation 84: Best Solution = [1.24825602 1.53799554], Best Fitness = 0.1022234462038884, Evaluations = 680
Generation 85: Best Solution = [1.22276566 1.5038648 ], Best Fitness = 0.05720908647399559, Evaluations = 688
Generation 86: Best Solution = [1.22276566 1.5038648 ], Best Fitness = 0.05720908647399559, Evaluations = 696
Generation 87: Best Solution = [1.22276566 1.5038648 ], Best Fitness = 0.05720908647399559, Evaluations = 704
Generation 88: Best Solution = [1.22276566 1.5038648 ], Best Fitness = 0.05720908647399559, Evaluations = 712
Generation 89: Best Solution = [1.22276566 1.5038648 ], Best Fitness = 0.05720908647399559, Evaluations = 720
Generation 90: Best Solution = [1.18707916 1.4118677 ], Best Fitness = 0.03573343868018064, Evaluations = 728
Generation 91: Best Solution = [1.18707916 1.4118677 ], Best Fitness = 0.03573343868018064, Evaluations = 736
Generation 92: Best Solution = [1.18707916 1.4118677 ], Best Fitness = 0.03573343868018064, Evaluations = 744
Generation 93: Best Solution = [1.18707916 1.4118677 ], Best Fitness = 0.03573343868018064, Evaluations = 752
Generation 94: Best Solution = [1.18707916 1.4118677 ], Best Fitness = 0.03573343868018064, Evaluations = 760
Generation 95: Best Solution = [1.18707916 1.4118677 ], Best Fitness = 0.03573343868018064, Evaluations = 768
Generation 96: Best Solution = [1.18707916 1.4118677 ], Best Fitness = 0.03573343868018064, Evaluations = 776
Generation 97: Best Solution = [1.18707916 1.4118677 ], Best Fitness = 0.03573343868018064, Evaluations = 784
Generation 98: Best Solution = [1.1689861  1.37069326], Best Fitness = 0.030290822389945057, Evaluations = 792
Generation 99: Best Solution = [1.1689861  1.37069326], Best Fitness = 0.030290822389945057, Evaluations = 800
Generation 100: Best Solution = [1.1689861  1.37069326], Best Fitness = 0.030290822389945057, Evaluations = 808
Generation 101: Best Solution = [1.1689861  1.37069326], Best Fitness = 0.030290822389945057, Evaluations = 816
Generation 102: Best Solution = [1.1689861  1.37069326], Best Fitness = 0.030290822389945057, Evaluations = 824
Generation 103: Best Solution = [1.16230145 1.35533573], Best Fitness = 0.028269914856571873, Evaluations = 832
Generation 104: Best Solution = [1.15737015 1.34319546], Best Fitness = 0.02612683170886822, Evaluations = 840
Generation 105: Best Solution = [1.15737015 1.34319546], Best Fitness = 0.02612683170886822, Evaluations = 848
Generation 106: Best Solution = [1.15737015 1.34319546], Best Fitness = 0.02612683170886822, Evaluations = 856
Generation 107: Best Solution = [1.15737015 1.34319546], Best Fitness = 0.02612683170886822, Evaluations = 864
Generation 108: Best Solution = [1.15737015 1.34319546], Best Fitness = 0.02612683170886822, Evaluations = 872
Generation 109: Best Solution = [1.15320465 1.33396363], Best Fitness = 0.025138484879536706, Evaluations = 880
Generation 110: Best Solution = [1.15320465 1.33396363], Best Fitness = 0.025138484879536706, Evaluations = 888
Generation 111: Best Solution = [1.15320465 1.33396363], Best Fitness = 0.025138484879536706, Evaluations = 896
Generation 112: Best Solution = [1.15320465 1.33396363], Best Fitness = 0.025138484879536706, Evaluations = 904
Generation 113: Best Solution = [1.1507653  1.32613479], Best Fitness = 0.02308137108450105, Evaluations = 912
Generation 114: Best Solution = [1.1507653  1.32613479], Best Fitness = 0.02308137108450105, Evaluations = 920
Generation 115: Best Solution = [1.14192054 1.30425679], Best Fitness = 0.020148962138852627, Evaluations = 928
Generation 116: Best Solution = [1.14192054 1.30425679], Best Fitness = 0.020148962138852627, Evaluations = 936
Generation 117: Best Solution = [1.14192054 1.30425679], Best Fitness = 0.020148962138852627, Evaluations = 944
Generation 118: Best Solution = [1.14192054 1.30425679], Best Fitness = 0.020148962138852627, Evaluations = 952
Generation 119: Best Solution = [1.14192054 1.30425679], Best Fitness = 0.020148962138852627, Evaluations = 960
Generation 120: Best Solution = [1.14192054 1.30425679], Best Fitness = 0.020148962138852627, Evaluations = 968
Generation 121: Best Solution = [1.14192054 1.30425679], Best Fitness = 0.020148962138852627, Evaluations = 976
Generation 122: Best Solution = [1.14192054 1.30425679], Best Fitness = 0.020148962138852627, Evaluations = 984
Generation 123: Best Solution = [1.14192054 1.30425679], Best Fitness = 0.020148962138852627, Evaluations = 992
Generation 124: Best Solution = [1.1396277  1.29791868], Best Fitness = 0.019565220737911018, Evaluations = 1000
Generation 125: Best Solution = [1.1396277  1.29791868], Best Fitness = 0.019565220737911018, Evaluations = 1008
Generation 126: Best Solution = [1.13809936 1.29576436], Best Fitness = 0.019095857777792068, Evaluations = 1016
Generation 127: Best Solution = [1.13809936 1.29576436], Best Fitness = 0.019095857777792068, Evaluations = 1024
Generation 128: Best Solution = [1.13809936 1.29576436], Best Fitness = 0.019095857777792068, Evaluations = 1032
Generation 129: Best Solution = [1.13809936 1.29576436], Best Fitness = 0.019095857777792068, Evaluations = 1040
Generation 130: Best Solution = [1.13497081 1.28672052], Best Fitness = 0.018423967066507802, Evaluations = 1048
Generation 131: Best Solution = [1.13368052 1.28480849], Best Fitness = 0.017888378145499158, Evaluations = 1056
Generation 132: Best Solution = [1.13368052 1.28480849], Best Fitness = 0.017888378145499158, Evaluations = 1064
Generation 133: Best Solution = [1.12902774 1.27468905], Best Fitness = 0.0166481777194193, Evaluations = 1072
Generation 134: Best Solution = [1.12902774 1.27468905], Best Fitness = 0.0166481777194193, Evaluations = 1080
Generation 135: Best Solution = [1.12902774 1.27468905], Best Fitness = 0.0166481777194193, Evaluations = 1088
Generation 136: Best Solution = [1.12902774 1.27468905], Best Fitness = 0.0166481777194193, Evaluations = 1096
Generation 137: Best Solution = [1.12651488 1.26824697], Best Fitness = 0.01606823337696068, Evaluations = 1104
Generation 138: Best Solution = [1.12651488 1.26824697], Best Fitness = 0.01606823337696068, Evaluations = 1112
Generation 139: Best Solution = [1.12651488 1.26824697], Best Fitness = 0.01606823337696068, Evaluations = 1120
Generation 140: Best Solution = [1.12651488 1.26824697], Best Fitness = 0.01606823337696068, Evaluations = 1128
Generation 141: Best Solution = [1.12651488 1.26824697], Best Fitness = 0.01606823337696068, Evaluations = 1136
Generation 142: Best Solution = [1.12651488 1.26824697], Best Fitness = 0.01606823337696068, Evaluations = 1144
Generation 143: Best Solution = [1.12651488 1.26824697], Best Fitness = 0.01606823337696068, Evaluations = 1152
Generation 144: Best Solution = [1.12186209 1.25812754], Best Fitness = 0.014870350822559896, Evaluations = 1160
Generation 145: Best Solution = [1.12186209 1.25812754], Best Fitness = 0.014870350822559896, Evaluations = 1168
Generation 146: Best Solution = [1.12186209 1.25812754], Best Fitness = 0.014870350822559896, Evaluations = 1176
Generation 147: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.012433749504999292, Evaluations = 1184
Generation 148: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.012433749504999292, Evaluations = 1192
Generation 149: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.012433749504999292, Evaluations = 1200
Generation 150: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.012313289456156144, Evaluations = 1208
Generation 151: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.012313289456156144, Evaluations = 1216
Generation 152: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.012313289456156144, Evaluations = 1224
Generation 153: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.012313289456156144, Evaluations = 1232
Generation 154: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.012313289456156144, Evaluations = 1240
Generation 155: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.012313289456156144, Evaluations = 1248
Generation 156: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.012313289456156144, Evaluations = 1256
Generation 157: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.012313289456156144, Evaluations = 1264
Generation 158: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.011854318257053891, Evaluations = 1272
Generation 159: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.011854318257053891, Evaluations = 1280
Generation 160: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.011854318257053891, Evaluations = 1288
Generation 161: Best Solution = [1.11058837 1.23197836], Best Fitness = 0.011854318257053891, Evaluations = 1296
Generation 162: Best Solution = [1.10835169 1.22867967], Best Fitness = 0.011745667720893006, Evaluations = 1304
Generation 163: Best Solution = [1.10835169 1.22867967], Best Fitness = 0.011745667720893006, Evaluations = 1312
Generation 164: Best Solution = [1.10835169 1.22867967], Best Fitness = 0.011745667720893006, Evaluations = 1320
Generation 165: Best Solution = [1.10835169 1.22867967], Best Fitness = 0.011745667720893006, Evaluations = 1328
Generation 166: Best Solution = [1.10835169 1.22867967], Best Fitness = 0.011745667720893006, Evaluations = 1336
Generation 167: Best Solution = [1.10759304 1.22686617], Best Fitness = 0.011577340836388656, Evaluations = 1344
Generation 168: Best Solution = [1.10626031 1.22487235], Best Fitness = 0.011403715170980341, Evaluations = 1352
Generation 169: Best Solution = [1.10626031 1.22487235], Best Fitness = 0.011403715170980341, Evaluations = 1360
Generation 170: Best Solution = [1.10433398 1.22028398], Best Fitness = 0.010938933105646751, Evaluations = 1368
Generation 171: Best Solution = [1.10433398 1.22028398], Best Fitness = 0.010938933105646751, Evaluations = 1376
Generation 172: Best Solution = [1.10433398 1.22028398], Best Fitness = 0.010938933105646751, Evaluations = 1384
Generation 173: Best Solution = [1.10433398 1.22028398], Best Fitness = 0.010938933105646751, Evaluations = 1392
Generation 174: Best Solution = [1.10433398 1.22028398], Best Fitness = 0.010938933105646751, Evaluations = 1400
Generation 175: Best Solution = [1.10433398 1.22028398], Best Fitness = 0.010938933105646751, Evaluations = 1408
