Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 59: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 960
Generation 60: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 976
Generation 61: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 992
Generation 62: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1008
Generation 63: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1024
Generation 64: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1040
Generation 65: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1056
Generation 66: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1072
Generation 67: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1088
Generation 68: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1104
Generation 69: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1120
Generation 70: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1136
Generation 71: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1152
Generation 72: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1168
Generation 73: Best Solution = [ 0.05736003 -0.02510884], Best Fitness = 0.0018029659810735454, Evaluations = 1184
Generation 74: Best Solution = [0.01838125 0.02727585], Best Fitness = 0.00035515655399609436, Evaluations = 1200
Generation 75: Best Solution = [0.01838125 0.02727585], Best Fitness = 0.00026893922555337735, Evaluations = 1216
Generation 76: Best Solution = [0.01838125 0.02727585], Best Fitness = 0.00026893922555337735, Evaluations = 1232
Generation 77: Best Solution = [0.01838125 0.02727585], Best Fitness = 0.00026893922555337735, Evaluations = 1248
Generation 78: Best Solution = [0.01838125 0.02727585], Best Fitness = 0.00026893922555337735, Evaluations = 1264
Generation 79: Best Solution = [-0.00864393 -0.01230578], Best Fitness = 7.527146581243205e-05, Evaluations = 1280
Generation 80: Best Solution = [-0.00864393 -0.01230578], Best Fitness = 7.527146581243205e-05, Evaluations = 1296
Generation 81: Best Solution = [-0.00864393 -0.01230578], Best Fitness = 7.527146581243205e-05, Evaluations = 1312
Generation 82: Best Solution = [-0.00864393 -0.01230578], Best Fitness = 7.527146581243205e-05, Evaluations = 1328
Generation 83: Best Solution = [-0.00864393 -0.01230578], Best Fitness = 7.527146581243205e-05, Evaluations = 1344
Generation 84: Best Solution = [-0.00864393 -0.01230578], Best Fitness = 7.527146581243205e-05, Evaluations = 1360
Generation 85: Best Solution = [-0.00864393 -0.01230578], Best Fitness = 3.829094371776698e-05, Evaluations = 1376
Generation 86: Best Solution = [-0.00208559  0.00092398], Best Fitness = 2.389569028427019e-06, Evaluations = 1392
Generation 87: Best Solution = [-0.00208559  0.00092398], Best Fitness = 2.389569028427019e-06, Evaluations = 1408
Generation 88: Best Solution = [-0.00208559  0.00092398], Best Fitness = 2.389569028427019e-06, Evaluations = 1424
Generation 89: Best Solution = [-0.00208559  0.00092398], Best Fitness = 2.389569028427019e-06, Evaluations = 1440
Generation 90: Best Solution = [0.00130278 0.00169686], Best Fitness = 1.5695978986540737e-06, Evaluations = 1456
Generation 91: Best Solution = [0.00130278 0.00169686], Best Fitness = 1.5695978986540737e-06, Evaluations = 1472
Generation 92: Best Solution = [ 0.00058961 -0.00021982], Best Fitness = 1.8599718021317102e-07, Evaluations = 1488
Generation 93: Best Solution = [ 0.00058961 -0.00021982], Best Fitness = 1.8599718021317102e-07, Evaluations = 1504
Generation 94: Best Solution = [ 0.00058961 -0.00021982], Best Fitness = 1.8599718021317102e-07, Evaluations = 1520
Generation 95: Best Solution = [-1.80566588e-04  3.83571213e-06], Best Fitness = 1.631397916757038e-08, Evaluations = 1536
Generation 96: Best Solution = [-1.80566588e-04  3.83571213e-06], Best Fitness = 1.631397916757038e-08, Evaluations = 1552
Generation 97: Best Solution = [-1.80566588e-04  3.83571213e-06], Best Fitness = 1.631397916757038e-08, Evaluations = 1568
Generation 98: Best Solution = [-1.80566588e-04  3.83571213e-06], Best Fitness = 1.631397916757038e-08, Evaluations = 1584
Generation 99: Best Solution = [-1.80566588e-04  3.83571213e-06], Best Fitness = 1.631397916757038e-08, Evaluations = 1600
Generation 100: Best Solution = [-6.88011874e-05 -1.43598012e-05], Best Fitness = 2.4195875303334446e-09, Evaluations = 1616
Generation 101: Best Solution = [-6.88011874e-05 -1.43598012e-05], Best Fitness = 1.7408151586906229e-09, Evaluations = 1632
Generation 102: Best Solution = [-6.88011874e-05 -1.43598012e-05], Best Fitness = 1.7408151586906229e-09, Evaluations = 1648
Generation 103: Best Solution = [-6.88011874e-05 -1.43598012e-05], Best Fitness = 1.68940650357996e-09, Evaluations = 1664
Generation 104: Best Solution = [-3.91556518e-05  9.24771074e-06], Best Fitness = 7.883672603625769e-10, Evaluations = 1680
Generation 105: Best Solution = [-3.91556518e-05  9.24771074e-06], Best Fitness = 7.883672603625769e-10, Evaluations = 1696
Generation 106: Best Solution = [ 1.59576285e-05 -1.74899849e-06], Best Fitness = 1.2815204453175966e-10, Evaluations = 1712
Generation 107: Best Solution = [ 1.59576285e-05 -1.74899849e-06], Best Fitness = 1.2815204453175966e-10, Evaluations = 1728
Generation 108: Best Solution = [ 1.59576285e-05 -1.74899849e-06], Best Fitness = 1.2815204453175966e-10, Evaluations = 1744
Generation 109: Best Solution = [-7.73523104e-06  1.62402926e-05], Best Fitness = 9.59345936024647e-11, Evaluations = 1760
Generation 110: Best Solution = [-7.73523104e-06  1.62402926e-05], Best Fitness = 9.59345936024647e-11, Evaluations = 1776
Generation 111: Best Solution = [1.13483309e-06 1.04302088e-05], Best Fitness = 2.786881836414068e-11, Evaluations = 1792
Generation 112: Best Solution = [-4.48159932e-06  8.80213491e-07], Best Fitness = 1.0241363312957219e-11, Evaluations = 1808
Generation 113: Best Solution = [ 2.12590131e-06 -1.84066096e-06], Best Fitness = 3.108735491252901e-12, Evaluations = 1824
Generation 114: Best Solution = [1.13483309e-06 8.80213491e-07], Best Fitness = 8.382183835919932e-13, Evaluations = 1840
