Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 21: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.13825178946067673, Evaluations = 352
Generation 22: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.13825178946067673, Evaluations = 368
Generation 23: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.13825178946067673, Evaluations = 384
Generation 24: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.13825178946067673, Evaluations = 400
Generation 25: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.13825178946067673, Evaluations = 416
Generation 26: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.10217209225756585, Evaluations = 432
Generation 27: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.10217209225756585, Evaluations = 448
Generation 28: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.10217209225756585, Evaluations = 464
Generation 29: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.10217209225756585, Evaluations = 480
Generation 30: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.10217209225756585, Evaluations = 496
Generation 31: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.10217209225756585, Evaluations = 512
Generation 32: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.10217209225756585, Evaluations = 528
Generation 33: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.10217209225756585, Evaluations = 544
Generation 34: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.10217209225756585, Evaluations = 560
Generation 35: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.10217209225756585, Evaluations = 576
Generation 36: Best Solution = [12.65061519  0.62121616], Best Fitness = 0.10217209225756585, Evaluations = 592
Generation 37: Best Solution = [-2.90322844  4.8210862 ], Best Fitness = 0.07073414068680461, Evaluations = 608
Generation 38: Best Solution = [-2.90322844  4.8210862 ], Best Fitness = 0.07073414068680461, Evaluations = 624
Generation 39: Best Solution = [-2.90322844  4.8210862 ], Best Fitness = 0.07073414068680461, Evaluations = 640
Generation 40: Best Solution = [-2.90322844  4.8210862 ], Best Fitness = 0.07073414068680461, Evaluations = 656
Generation 41: Best Solution = [-2.90322844  4.8210862 ], Best Fitness = 0.07073414068680461, Evaluations = 672
Generation 42: Best Solution = [-2.90322844  4.8210862 ], Best Fitness = 0.07073414068680461, Evaluations = 688
Generation 43: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 704
