Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 57: Best Solution = [3.23006800e-06 2.89557138e-06], Best Fitness = 2.2685924250254175e-09, Evaluations = 928
Generation 58: Best Solution = [-1.71887717e-06 -7.73284267e-07], Best Fitness = 7.047908923141222e-10, Evaluations = 944
Generation 59: Best Solution = [-1.71887717e-06 -7.73284267e-07], Best Fitness = 7.047908923141222e-10, Evaluations = 960
Generation 60: Best Solution = [-1.71887717e-06 -7.73284267e-07], Best Fitness = 7.047908923141222e-10, Evaluations = 976
Generation 61: Best Solution = [-1.71887717e-06 -7.73284267e-07], Best Fitness = 7.047908923141222e-10, Evaluations = 992
Generation 62: Best Solution = [-1.71887717e-06 -7.73284267e-07], Best Fitness = 7.047908923141222e-10, Evaluations = 1008
Generation 63: Best Solution = [-1.71887717e-06 -7.73284267e-07], Best Fitness = 7.047908923141222e-10, Evaluations = 1024
Generation 64: Best Solution = [-1.12285611e-06  1.41727467e-06], Best Fitness = 6.486402526206803e-10, Evaluations = 1040
Generation 65: Best Solution = [7.32163768e-07 7.27048298e-07], Best Fitness = 2.1122303905940498e-10, Evaluations = 1056
Generation 66: Best Solution = [-6.11654817e-08  6.93486911e-07], Best Fitness = 9.615419571673556e-11, Evaluations = 1072
Generation 67: Best Solution = [-1.00731591e-07 -3.56745884e-07], Best Fitness = 2.7263524771115044e-11, Evaluations = 1088
Generation 68: Best Solution = [-1.00731591e-07 -3.56745884e-07], Best Fitness = 2.7263524771115044e-11, Evaluations = 1104
Generation 69: Best Solution = [-1.00731591e-07 -3.56745884e-07], Best Fitness = 2.7263524771115044e-11, Evaluations = 1120
Generation 70: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1136
Generation 71: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1152
Generation 72: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1168
Generation 73: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1184
Generation 74: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1200
Generation 75: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1216
Generation 76: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1232
Generation 77: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1248
Generation 78: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1264
Generation 79: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1280
Generation 80: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1296
