Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 59: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 480
Generation 60: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 488
Generation 61: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 496
Generation 62: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 504
Generation 63: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 512
Generation 64: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 520
Generation 65: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 528
Generation 66: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 536
Generation 67: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 544
Generation 68: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 552
Generation 69: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 560
Generation 70: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 568
Generation 71: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 576
Generation 72: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 584
Generation 73: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 592
Generation 74: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 600
Generation 75: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 608
Generation 76: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 616
Generation 77: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 624
Generation 78: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 632
Generation 79: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 640
Generation 80: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 648
Generation 81: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 656
Generation 82: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 664
Generation 83: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 672
Generation 84: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 680
