Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 64
Max Evaluations: 2000

Generation 0: Best Solution = [ 5.85591627 -3.02276808], Best Fitness = 12.609176451713997, Evaluations = 64
Generation 1: Best Solution = [-4.57087177 -0.86171402], Best Fitness = 11.479045046827864, Evaluations = 128
Generation 2: Best Solution = [ 3.01607578 -1.86431659], Best Fitness = 8.3199008457566, Evaluations = 192
Generation 3: Best Solution = [ 3.01607578 -1.86431659], Best Fitness = 8.3199008457566, Evaluations = 256
Generation 4: Best Solution = [-0.55488114 -0.11660199], Best Fitness = 3.353516164205239, Evaluations = 320
Generation 5: Best Solution = [-0.55488114 -0.11660199], Best Fitness = 3.353516164205239, Evaluations = 384
Generation 6: Best Solution = [-0.55488114 -0.11660199], Best Fitness = 3.353516164205239, Evaluations = 448
Generation 7: Best Solution = [-0.55488114 -0.11660199], Best Fitness = 3.353516164205239, Evaluations = 512
Generation 8: Best Solution = [-0.55488114 -0.11660199], Best Fitness = 3.353516164205239, Evaluations = 576
Generation 9: Best Solution = [-0.0687666  -0.93040321], Best Fitness = 2.713487876133453, Evaluations = 640
Generation 10: Best Solution = [-0.0687666  -0.93040321], Best Fitness = 2.713487876133453, Evaluations = 704
Generation 11: Best Solution = [-0.0687666  -0.93040321], Best Fitness = 2.713487876133453, Evaluations = 768
Generation 12: Best Solution = [-0.0687666  -0.93040321], Best Fitness = 2.713487876133453, Evaluations = 832
Generation 13: Best Solution = [-0.0687666  -0.93040321], Best Fitness = 0.5243616834124585, Evaluations = 896
Generation 14: Best Solution = [-0.0687666  -0.93040321], Best Fitness = 0.5243616834124585, Evaluations = 960
Generation 15: Best Solution = [-0.0687666  -0.93040321], Best Fitness = 0.5243616834124585, Evaluations = 1024
Generation 16: Best Solution = [ 0.01805191 -0.0512866 ], Best Fitness = 0.23075785103961666, Evaluations = 1088
Generation 17: Best Solution = [ 0.01805191 -0.0512866 ], Best Fitness = 0.23075785103961666, Evaluations = 1152
Generation 18: Best Solution = [ 0.01805191 -0.0512866 ], Best Fitness = 0.23075785103961666, Evaluations = 1216
Generation 19: Best Solution = [ 0.01805191 -0.0512866 ], Best Fitness = 0.23075785103961666, Evaluations = 1280
Generation 20: Best Solution = [ 0.01805191 -0.0512866 ], Best Fitness = 0.23075785103961666, Evaluations = 1344
Generation 21: Best Solution = [0.02269862 0.0253263 ], Best Fitness = 0.1267580670087125, Evaluations = 1408
Generation 22: Best Solution = [0.02269862 0.0253263 ], Best Fitness = 0.1267580670087125, Evaluations = 1472
Generation 23: Best Solution = [0.02269862 0.0253263 ], Best Fitness = 0.1267580670087125, Evaluations = 1536
Generation 24: Best Solution = [ 0.00677495 -0.03083375], Best Fitness = 0.11561994962619382, Evaluations = 1600
Generation 25: Best Solution = [ 0.00677495 -0.03083375], Best Fitness = 0.11561994962619382, Evaluations = 1664
Generation 26: Best Solution = [-0.01706479 -0.01398665], Best Fitness = 0.07532880668532771, Evaluations = 1728
Generation 27: Best Solution = [-0.01706479 -0.01398665], Best Fitness = 0.07532880668532771, Evaluations = 1792
Generation 28: Best Solution = [-0.01112837 -0.01363215], Best Fitness = 0.05800271527167711, Evaluations = 1856
Generation 29: Best Solution = [0.00915101 0.01056231], Best Fitness = 0.04472142771122778, Evaluations = 1920
Generation 30: Best Solution = [ 0.00239891 -0.00039811], Best Fitness = 0.007035402449869554, Evaluations = 1984
Generation 31: Best Solution = [ 0.00239891 -0.00039811], Best Fitness = 0.007035402449869554, Evaluations = 2048
