Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 128
Max Evaluations: 2000

Generation 0: Best Solution = [2.01681051 0.04877968], Best Fitness = 4.591654629915762, Evaluations = 128
Generation 1: Best Solution = [ 0.04629573 -0.9541435 ], Best Fitness = 1.7448439688577366, Evaluations = 256
Generation 2: Best Solution = [ 0.04629573 -0.9541435 ], Best Fitness = 1.7448439688577366, Evaluations = 384
Generation 3: Best Solution = [ 0.04629573 -0.9541435 ], Best Fitness = 1.7448439688577366, Evaluations = 512
Generation 4: Best Solution = [ 0.04629573 -0.9541435 ], Best Fitness = 1.7448439688577366, Evaluations = 640
Generation 5: Best Solution = [ 0.04629573 -0.9541435 ], Best Fitness = 1.7448439688577366, Evaluations = 768
Generation 6: Best Solution = [ 1.0180109  -0.01681598], Best Fitness = 1.156359269084966, Evaluations = 896
Generation 7: Best Solution = [ 1.0180109  -0.01681598], Best Fitness = 1.156359269084966, Evaluations = 1024
Generation 8: Best Solution = [ 1.0180109  -0.01681598], Best Fitness = 1.156359269084966, Evaluations = 1152
Generation 9: Best Solution = [ 1.0180109  -0.01681598], Best Fitness = 1.156359269084966, Evaluations = 1280
Generation 10: Best Solution = [ 1.0180109  -0.01681598], Best Fitness = 1.156359269084966, Evaluations = 1408
Generation 11: Best Solution = [ 1.0180109  -0.01681598], Best Fitness = 1.156359269084966, Evaluations = 1536
Generation 12: Best Solution = [ 1.0180109  -0.01681598], Best Fitness = 1.156359269084966, Evaluations = 1664
Generation 13: Best Solution = [-0.06827946 -0.02667042], Best Fitness = 1.0516827972738305, Evaluations = 1792
Generation 14: Best Solution = [-0.06827946 -0.02667042], Best Fitness = 1.0516827972738305, Evaluations = 1920
Generation 15: Best Solution = [-0.06827946 -0.02667042], Best Fitness = 1.0516827972738305, Evaluations = 2048
