Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 64
Max Evaluations: 2000

Generation 0: Best Solution = [-69.93063487  31.51971476], Best Fitness = 3.1264406250665746, Evaluations = 64
Generation 1: Best Solution = [-17.25433551  31.59998548], Best Fitness = 1.3011554959678515, Evaluations = 128
Generation 2: Best Solution = [-17.25433551  31.59998548], Best Fitness = 1.3011554959678515, Evaluations = 192
Generation 3: Best Solution = [-34.17968422  14.90609971], Best Fitness = 0.9388366211660905, Evaluations = 256
Generation 4: Best Solution = [-34.17968422  14.90609971], Best Fitness = 0.9388366211660905, Evaluations = 320
Generation 5: Best Solution = [-34.17968422  14.90609971], Best Fitness = 0.9388366211660905, Evaluations = 384
Generation 6: Best Solution = [-34.17968422  14.90609971], Best Fitness = 0.9388366211660905, Evaluations = 448
Generation 7: Best Solution = [ 8.8160776  48.57998552], Best Fitness = 0.806435663889879, Evaluations = 512
Generation 8: Best Solution = [ 8.8160776  48.57998552], Best Fitness = 0.806435663889879, Evaluations = 576
Generation 9: Best Solution = [-37.39634862  18.86131116], Best Fitness = 0.7536940143464581, Evaluations = 640
Generation 10: Best Solution = [ 22.21002457 -21.62974996], Best Fitness = 0.34637865921980016, Evaluations = 704
Generation 11: Best Solution = [ 22.21002457 -21.62974996], Best Fitness = 0.34637865921980016, Evaluations = 768
Generation 12: Best Solution = [ 22.21002457 -21.62974996], Best Fitness = 0.34637865921980016, Evaluations = 832
Generation 13: Best Solution = [-9.62071613 -3.63228158], Best Fitness = 0.20233461237173933, Evaluations = 896
Generation 14: Best Solution = [-9.62071613 -3.63228158], Best Fitness = 0.20233461237173933, Evaluations = 960
Generation 15: Best Solution = [-9.62071613 -3.63228158], Best Fitness = 0.20233461237173933, Evaluations = 1024
Generation 16: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1088
Generation 17: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1152
Generation 18: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1216
Generation 19: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1280
Generation 20: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1344
Generation 21: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1408
Generation 22: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1472
Generation 23: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1536
Generation 24: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1600
Generation 25: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1664
Generation 26: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1728
Generation 27: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1792
Generation 28: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1856
Generation 29: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1920
Generation 30: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 1984
Generation 31: Best Solution = [ -9.4229013  -13.35928307], Best Fitness = 0.06705174404281578, Evaluations = 2048
