Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 61: Best Solution = [0.78523218 0.6231992 ], Best Fitness = 0.05049393166039259, Evaluations = 496
Generation 62: Best Solution = [0.78523218 0.6231992 ], Best Fitness = 0.05049393166039259, Evaluations = 504
Generation 63: Best Solution = [0.78523218 0.6231992 ], Best Fitness = 0.05049393166039259, Evaluations = 512
Generation 64: Best Solution = [0.79363879 0.62875938], Best Fitness = 0.042706643558656276, Evaluations = 520
Generation 65: Best Solution = [0.79363879 0.62875938], Best Fitness = 0.042706643558656276, Evaluations = 528
Generation 66: Best Solution = [0.79755228 0.63500353], Best Fitness = 0.04110304298147342, Evaluations = 536
Generation 67: Best Solution = [0.81053862 0.65435918], Best Fitness = 0.036578741953724465, Evaluations = 544
Generation 68: Best Solution = [0.81053862 0.65435918], Best Fitness = 0.036578741953724465, Evaluations = 552
Generation 69: Best Solution = [0.81053862 0.65435918], Best Fitness = 0.036578741953724465, Evaluations = 560
Generation 70: Best Solution = [0.81053862 0.65435918], Best Fitness = 0.036578741953724465, Evaluations = 568
Generation 71: Best Solution = [0.81053862 0.65435918], Best Fitness = 0.036578741953724465, Evaluations = 576
Generation 72: Best Solution = [0.84929995 0.71300275], Best Fitness = 0.029612201058308557, Evaluations = 584
Generation 73: Best Solution = [0.84929995 0.71300275], Best Fitness = 0.029612201058308557, Evaluations = 592
Generation 74: Best Solution = [0.85013629 0.73000154], Best Fitness = 0.027744172814158585, Evaluations = 600
Generation 75: Best Solution = [0.84132014 0.70676698], Best Fitness = 0.0252900940016573, Evaluations = 608
Generation 76: Best Solution = [0.84132014 0.70676698], Best Fitness = 0.0252900940016573, Evaluations = 616
Generation 77: Best Solution = [0.86310066 0.74383313], Best Fitness = 0.018864553633356634, Evaluations = 624
Generation 78: Best Solution = [0.86310066 0.74383313], Best Fitness = 0.018864553633356634, Evaluations = 632
Generation 79: Best Solution = [0.86310066 0.74383313], Best Fitness = 0.018864553633356634, Evaluations = 640
Generation 80: Best Solution = [0.91172396 0.82438476], Best Fitness = 0.01249289101198425, Evaluations = 648
Generation 81: Best Solution = [0.89389193 0.79809706], Best Fitness = 0.011348362212118742, Evaluations = 656
Generation 82: Best Solution = [0.89389193 0.79809706], Best Fitness = 0.011348362212118742, Evaluations = 664
Generation 83: Best Solution = [0.89389193 0.79809706], Best Fitness = 0.011348362212118742, Evaluations = 672
Generation 84: Best Solution = [0.89389193 0.79809706], Best Fitness = 0.011348362212118742, Evaluations = 680
Generation 85: Best Solution = [0.89389193 0.79809706], Best Fitness = 0.011348362212118742, Evaluations = 688
Generation 86: Best Solution = [0.93019977 0.87205162], Best Fitness = 0.009468916306391562, Evaluations = 696
Generation 87: Best Solution = [0.92112472 0.84763934], Best Fitness = 0.0062904332868585315, Evaluations = 704
Generation 88: Best Solution = [0.92112472 0.84763934], Best Fitness = 0.0062904332868585315, Evaluations = 712
Generation 89: Best Solution = [0.92112472 0.84763934], Best Fitness = 0.0062904332868585315, Evaluations = 720
Generation 90: Best Solution = [0.94183807 0.89213175], Best Fitness = 0.005956145395583105, Evaluations = 728
Generation 91: Best Solution = [0.94183807 0.89213175], Best Fitness = 0.005956145395583105, Evaluations = 736
Generation 92: Best Solution = [0.94183807 0.89213175], Best Fitness = 0.005956145395583105, Evaluations = 744
Generation 93: Best Solution = [0.94183807 0.89213175], Best Fitness = 0.005956145395583105, Evaluations = 752
Generation 94: Best Solution = [0.94183807 0.89213175], Best Fitness = 0.005956145395583105, Evaluations = 760
Generation 95: Best Solution = [0.93494385 0.87205162], Best Fitness = 0.004660120341489509, Evaluations = 768
