Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 57: Best Solution = [-6.78129650e-05  8.34397802e-05], Best Fitness = 0.0003044235487235092, Evaluations = 464
Generation 58: Best Solution = [-6.78129650e-05  8.34397802e-05], Best Fitness = 0.0003044235487235092, Evaluations = 472
Generation 59: Best Solution = [-3.61735742e-05  1.73872595e-05], Best Fitness = 0.00011356273437757025, Evaluations = 480
Generation 60: Best Solution = [-3.61735742e-05  1.73872595e-05], Best Fitness = 0.00011356273437757025, Evaluations = 488
Generation 61: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.8330542279176854e-05, Evaluations = 496
Generation 62: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.8330542279176854e-05, Evaluations = 504
Generation 63: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.8330542279176854e-05, Evaluations = 512
Generation 64: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.8330542279176854e-05, Evaluations = 520
Generation 65: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.629326286378685e-05, Evaluations = 528
Generation 66: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.629326286378685e-05, Evaluations = 536
Generation 67: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.629326286378685e-05, Evaluations = 544
Generation 68: Best Solution = [3.40140862e-06 5.51601236e-06], Best Fitness = 1.629326286378685e-05, Evaluations = 552
Generation 69: Best Solution = [ 2.50374990e-06 -9.40323542e-07], Best Fitness = 7.564830291517666e-06, Evaluations = 560
Generation 70: Best Solution = [-1.41433117e-06 -3.59785106e-07], Best Fitness = 4.1277950448836975e-06, Evaluations = 568
Generation 71: Best Solution = [-1.41433117e-06 -3.59785106e-07], Best Fitness = 4.1277950448836975e-06, Evaluations = 576
Generation 72: Best Solution = [-1.41433117e-06 -3.59785106e-07], Best Fitness = 4.1277950448836975e-06, Evaluations = 584
Generation 73: Best Solution = [-1.41433117e-06 -3.59785106e-07], Best Fitness = 4.1277950448836975e-06, Evaluations = 592
Generation 74: Best Solution = [-1.40078841e-06  8.44766700e-08], Best Fitness = 3.969278534743381e-06, Evaluations = 600
Generation 75: Best Solution = [-1.40078841e-06  8.44766700e-08], Best Fitness = 3.969278534743381e-06, Evaluations = 608
Generation 76: Best Solution = [-1.40078841e-06  8.44766700e-08], Best Fitness = 1.1054869166748915e-06, Evaluations = 616
Generation 77: Best Solution = [-1.40078841e-06  8.44766700e-08], Best Fitness = 1.1054869166748915e-06, Evaluations = 624
Generation 78: Best Solution = [-1.40078841e-06  8.44766700e-08], Best Fitness = 1.1054869166748915e-06, Evaluations = 632
Generation 79: Best Solution = [-1.48335437e-07 -1.39118554e-07], Best Fitness = 5.752045351137269e-07, Evaluations = 640
Generation 80: Best Solution = [5.16822158e-08 8.44766700e-08], Best Fitness = 2.8010537578282424e-07, Evaluations = 648
Generation 81: Best Solution = [5.16822158e-08 8.44766700e-08], Best Fitness = 2.8010537578282424e-07, Evaluations = 656
Generation 82: Best Solution = [5.16822158e-08 8.44766700e-08], Best Fitness = 2.8010537578282424e-07, Evaluations = 664
Generation 83: Best Solution = [5.16822158e-08 8.44766700e-08], Best Fitness = 2.8010537578282424e-07, Evaluations = 672
Generation 84: Best Solution = [5.16822158e-08 8.44766700e-08], Best Fitness = 1.9183119492893752e-07, Evaluations = 680
Generation 85: Best Solution = [5.16822158e-08 8.44766700e-08], Best Fitness = 1.9183119492893752e-07, Evaluations = 688
Generation 86: Best Solution = [5.16822158e-08 8.44766700e-08], Best Fitness = 1.9183119492893752e-07, Evaluations = 696
Generation 87: Best Solution = [5.16822158e-08 8.44766700e-08], Best Fitness = 1.9183119492893752e-07, Evaluations = 704
Generation 88: Best Solution = [5.16822158e-08 8.44766700e-08], Best Fitness = 1.9183119492893752e-07, Evaluations = 712
Generation 89: Best Solution = [-3.87891994e-08 -7.41261541e-09], Best Fitness = 1.1169780878006463e-07, Evaluations = 720
Generation 90: Best Solution = [ 7.22351565e-09 -7.41261541e-09], Best Fitness = 2.927470932334586e-08, Evaluations = 728
Generation 91: Best Solution = [ 7.22351565e-09 -7.41261541e-09], Best Fitness = 2.0435440450938813e-08, Evaluations = 736
Generation 92: Best Solution = [ 7.22351565e-09 -7.41261541e-09], Best Fitness = 2.0435440450938813e-08, Evaluations = 744
Generation 93: Best Solution = [ 2.25241802e-09 -3.21154156e-09], Best Fitness = 1.1095004470718095e-08, Evaluations = 752
Generation 94: Best Solution = [ 2.25241802e-09 -3.21154156e-09], Best Fitness = 1.1095004470718095e-08, Evaluations = 760
Generation 95: Best Solution = [ 2.25241802e-09 -3.21154156e-09], Best Fitness = 1.1095004470718095e-08, Evaluations = 768
Generation 96: Best Solution = [ 2.25241802e-09 -3.21154156e-09], Best Fitness = 1.1095004470718095e-08, Evaluations = 776
Generation 97: Best Solution = [ 2.25241802e-09 -3.21154156e-09], Best Fitness = 1.1095004470718095e-08, Evaluations = 784
Generation 98: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 4.357549876488065e-10, Evaluations = 792
Generation 99: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 4.357549876488065e-10, Evaluations = 800
Generation 100: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 4.357549876488065e-10, Evaluations = 808
Generation 101: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 4.357549876488065e-10, Evaluations = 816
Generation 102: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 4.357549876488065e-10, Evaluations = 824
Generation 103: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 4.357549876488065e-10, Evaluations = 832
Generation 104: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 4.357549876488065e-10, Evaluations = 840
Generation 105: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 4.357549876488065e-10, Evaluations = 848
Generation 106: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 4.357549876488065e-10, Evaluations = 856
Generation 107: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 3.9082737046669536e-10, Evaluations = 864
Generation 108: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 3.9082737046669536e-10, Evaluations = 872
Generation 109: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 3.9082737046669536e-10, Evaluations = 880
Generation 110: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 3.9082737046669536e-10, Evaluations = 888
Generation 111: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 3.9082737046669536e-10, Evaluations = 896
Generation 112: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 3.605156173591695e-10, Evaluations = 904
Generation 113: Best Solution = [-4.48510557e-11 -1.47389711e-10], Best Fitness = 3.605156173591695e-10, Evaluations = 912
Generation 114: Best Solution = [-6.92022789e-11 -1.06464106e-10], Best Fitness = 3.591513753065101e-10, Evaluations = 920
Generation 115: Best Solution = [-6.92022789e-11 -1.06464106e-10], Best Fitness = 2.6386759444108066e-10, Evaluations = 928
Generation 116: Best Solution = [-6.92022789e-11 -1.06464106e-10], Best Fitness = 2.6386759444108066e-10, Evaluations = 936
Generation 117: Best Solution = [-6.92022789e-11 -1.06464106e-10], Best Fitness = 2.6386759444108066e-10, Evaluations = 944
Generation 118: Best Solution = [-4.48510557e-11  1.65009663e-11], Best Fitness = 1.351740941402113e-10, Evaluations = 952
Generation 119: Best Solution = [-2.98566373e-11 -2.36229680e-11], Best Fitness = 1.0768319569365303e-10, Evaluations = 960
Generation 120: Best Solution = [-2.98566373e-11 -2.36229680e-11], Best Fitness = 1.0768319569365303e-10, Evaluations = 968
Generation 121: Best Solution = [-1.42467875e-11  1.65009663e-11], Best Fitness = 6.166134269847134e-11, Evaluations = 976
Generation 122: Best Solution = [-1.42467875e-11  1.65009663e-11], Best Fitness = 6.166134269847134e-11, Evaluations = 984
Generation 123: Best Solution = [-1.42467875e-11  1.65009663e-11], Best Fitness = 5.623990162462178e-11, Evaluations = 992
Generation 124: Best Solution = [-1.42467875e-11  1.65009663e-11], Best Fitness = 5.623990162462178e-11, Evaluations = 1000
Generation 125: Best Solution = [ 8.43522392e-12 -1.19696988e-11], Best Fitness = 4.141798015666609e-11, Evaluations = 1008
Generation 126: Best Solution = [ 8.43522392e-12 -1.19696988e-11], Best Fitness = 4.141798015666609e-11, Evaluations = 1016
Generation 127: Best Solution = [ 8.43522392e-12 -1.19696988e-11], Best Fitness = 4.141798015666609e-11, Evaluations = 1024
Generation 128: Best Solution = [ 8.43522392e-12 -1.19696988e-11], Best Fitness = 4.141798015666609e-11, Evaluations = 1032
Generation 129: Best Solution = [ 8.43522392e-12 -1.19696988e-11], Best Fitness = 4.141798015666609e-11, Evaluations = 1040
Generation 130: Best Solution = [-6.95338155e-13 -1.85040133e-12], Best Fitness = 5.5924154196418385e-12, Evaluations = 1048
Generation 131: Best Solution = [-6.95338155e-13 -1.85040133e-12], Best Fitness = 5.5924154196418385e-12, Evaluations = 1056
Generation 132: Best Solution = [-6.95338155e-13 -1.85040133e-12], Best Fitness = 5.5924154196418385e-12, Evaluations = 1064
Generation 133: Best Solution = [-6.95338155e-13 -1.85040133e-12], Best Fitness = 5.5924154196418385e-12, Evaluations = 1072
Generation 134: Best Solution = [-6.95338155e-13 -1.85040133e-12], Best Fitness = 5.5924154196418385e-12, Evaluations = 1080
Generation 135: Best Solution = [-1.45718734e-12 -6.91610289e-13], Best Fitness = 4.562128452789693e-12, Evaluations = 1088
Generation 136: Best Solution = [-1.00842455e-12 -1.07339019e-12], Best Fitness = 4.164224520764037e-12, Evaluations = 1096
Generation 137: Best Solution = [-1.00842455e-12 -1.07339019e-12], Best Fitness = 4.164224520764037e-12, Evaluations = 1104
Generation 138: Best Solution = [-4.75130115e-13 -7.72807634e-13], Best Fitness = 2.5655033653038117e-12, Evaluations = 1112
Generation 139: Best Solution = [-4.75130115e-13 -7.72807634e-13], Best Fitness = 2.5655033653038117e-12, Evaluations = 1120
Generation 140: Best Solution = [-1.34132844e-13  5.47360046e-13], Best Fitness = 1.595612530991275e-12, Evaluations = 1128
Generation 141: Best Solution = [-1.34132844e-13  5.47360046e-13], Best Fitness = 1.595612530991275e-12, Evaluations = 1136
Generation 142: Best Solution = [-3.76882740e-13  2.69964767e-14], Best Fitness = 1.0698109065288008e-12, Evaluations = 1144
