Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 32
Max Evaluations: 5000

Generation 147: Best Solution = [2.16195429e-09 8.44601714e-10], Best Fitness = 0.0, Evaluations = 4736
Generation 148: Best Solution = [2.16195429e-09 8.44601714e-10], Best Fitness = 0.0, Evaluations = 4768
Generation 149: Best Solution = [2.16195429e-09 8.44601714e-10], Best Fitness = 0.0, Evaluations = 4800
Generation 150: Best Solution = [2.16195429e-09 8.44601714e-10], Best Fitness = 0.0, Evaluations = 4832
Generation 151: Best Solution = [2.16195429e-09 8.44601714e-10], Best Fitness = 0.0, Evaluations = 4864
Generation 152: Best Solution = [2.16195429e-09 8.44601714e-10], Best Fitness = 0.0, Evaluations = 4896
Generation 153: Best Solution = [2.16195429e-09 8.44601714e-10], Best Fitness = 0.0, Evaluations = 4928
Generation 154: Best Solution = [2.16195429e-09 8.44601714e-10], Best Fitness = 0.0, Evaluations = 4960
Generation 155: Best Solution = [2.16195429e-09 8.44601714e-10], Best Fitness = 0.0, Evaluations = 4992
Generation 156: Best Solution = [2.16195429e-09 8.44601714e-10], Best Fitness = 0.0, Evaluations = 5024
