Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 58: Best Solution = [4.17252696e-05 1.73793071e-05], Best Fitness = 4.053226625444495e-07, Evaluations = 944
Generation 59: Best Solution = [4.17252696e-05 1.73793071e-05], Best Fitness = 4.053226625444495e-07, Evaluations = 960
Generation 60: Best Solution = [-2.05067231e-05  2.35591051e-05], Best Fitness = 1.9354281732830714e-07, Evaluations = 976
Generation 61: Best Solution = [-2.05067231e-05  2.35591051e-05], Best Fitness = 1.9354281732830714e-07, Evaluations = 992
Generation 62: Best Solution = [-2.05067231e-05  2.35591051e-05], Best Fitness = 1.9354281732830714e-07, Evaluations = 1008
Generation 63: Best Solution = [-2.68687659e-06  1.65491229e-05], Best Fitness = 5.5766580686622547e-08, Evaluations = 1024
Generation 64: Best Solution = [-2.68687659e-06  1.65491229e-05], Best Fitness = 5.5766580686622547e-08, Evaluations = 1040
Generation 65: Best Solution = [-2.68687659e-06 -1.39345247e-06], Best Fitness = 1.8174688420913299e-09, Evaluations = 1056
Generation 66: Best Solution = [-2.68687659e-06 -1.39345247e-06], Best Fitness = 1.8174688420913299e-09, Evaluations = 1072
Generation 67: Best Solution = [-2.68687659e-06 -1.39345247e-06], Best Fitness = 1.8174688420913299e-09, Evaluations = 1088
Generation 68: Best Solution = [-2.68687659e-06 -1.39345247e-06], Best Fitness = 1.8174688420913299e-09, Evaluations = 1104
Generation 69: Best Solution = [-2.68687659e-06 -1.39345247e-06], Best Fitness = 1.8174688420913299e-09, Evaluations = 1120
Generation 70: Best Solution = [-2.68687659e-06 -1.39345247e-06], Best Fitness = 1.8174688420913299e-09, Evaluations = 1136
Generation 71: Best Solution = [-1.78244372e-08  2.18552353e-06], Best Fitness = 9.476863738200336e-10, Evaluations = 1152
Generation 72: Best Solution = [-1.78244372e-08  2.18552353e-06], Best Fitness = 9.476863738200336e-10, Evaluations = 1168
Generation 73: Best Solution = [1.09750631e-06 1.09642631e-08], Best Fitness = 2.389910491729097e-10, Evaluations = 1184
Generation 74: Best Solution = [1.09750631e-06 1.09642631e-08], Best Fitness = 7.775469157422776e-11, Evaluations = 1200
Generation 75: Best Solution = [1.09750631e-06 1.09642631e-08], Best Fitness = 7.775469157422776e-11, Evaluations = 1216
Generation 76: Best Solution = [1.09750631e-06 1.09642631e-08], Best Fitness = 7.775469157422776e-11, Evaluations = 1232
Generation 77: Best Solution = [1.09750631e-06 1.09642631e-08], Best Fitness = 7.775469157422776e-11, Evaluations = 1248
Generation 78: Best Solution = [ 3.98514831e-08 -4.07820158e-07], Best Fitness = 3.3310243452433497e-11, Evaluations = 1264
Generation 79: Best Solution = [ 3.98514831e-08 -4.07820158e-07], Best Fitness = 2.2467361304734368e-11, Evaluations = 1280
Generation 80: Best Solution = [-1.78244372e-08 -1.36361546e-07], Best Fitness = 3.751665644813329e-12, Evaluations = 1296
Generation 81: Best Solution = [-1.78244372e-08 -1.36361546e-07], Best Fitness = 3.751665644813329e-12, Evaluations = 1312
Generation 82: Best Solution = [-1.78244372e-08 -1.36361546e-07], Best Fitness = 3.751665644813329e-12, Evaluations = 1328
Generation 83: Best Solution = [-1.78244372e-08 -1.36361546e-07], Best Fitness = 3.751665644813329e-12, Evaluations = 1344
Generation 84: Best Solution = [-1.78244372e-08 -1.36361546e-07], Best Fitness = 3.751665644813329e-12, Evaluations = 1360
Generation 85: Best Solution = [-1.78244372e-08 -1.36361546e-07], Best Fitness = 3.751665644813329e-12, Evaluations = 1376
Generation 86: Best Solution = [-1.78244372e-08 -1.36361546e-07], Best Fitness = 3.751665644813329e-12, Evaluations = 1392
Generation 87: Best Solution = [-1.78244372e-08 -1.36361546e-07], Best Fitness = 3.751665644813329e-12, Evaluations = 1408
Generation 88: Best Solution = [-8.10070334e-08  1.09642631e-08], Best Fitness = 1.3251622021925868e-12, Evaluations = 1424
Generation 89: Best Solution = [3.57192316e-08 1.09642631e-08], Best Fitness = 2.7711166694643907e-13, Evaluations = 1440
Generation 90: Best Solution = [3.57192316e-08 1.09642631e-08], Best Fitness = 1.6697754290362354e-13, Evaluations = 1456
Generation 91: Best Solution = [3.57192316e-08 1.09642631e-08], Best Fitness = 1.6697754290362354e-13, Evaluations = 1472
Generation 92: Best Solution = [3.57192316e-08 1.09642631e-08], Best Fitness = 1.6697754290362354e-13, Evaluations = 1488
Generation 93: Best Solution = [3.57192316e-08 1.09642631e-08], Best Fitness = 9.237055564881302e-14, Evaluations = 1504
Generation 94: Best Solution = [4.21779648e-09 2.38682191e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1520
Generation 95: Best Solution = [4.21779648e-09 2.38682191e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1536
Generation 96: Best Solution = [4.21779648e-09 2.38682191e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1552
Generation 97: Best Solution = [4.21779648e-09 2.38682191e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1568
Generation 98: Best Solution = [4.21779648e-09 2.38682191e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1584
Generation 99: Best Solution = [4.21779648e-09 2.38682191e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1600
Generation 100: Best Solution = [-3.43778513e-09 -2.98833218e-09], Best Fitness = 3.552713678800501e-15, Evaluations = 1616
Generation 101: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1632
Generation 102: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1648
Generation 103: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1664
Generation 104: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1680
Generation 105: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1696
Generation 106: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1712
Generation 107: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1728
Generation 108: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1744
Generation 109: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1760
Generation 110: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1776
Generation 111: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1792
Generation 112: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1808
Generation 113: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1824
Generation 114: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1840
Generation 115: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1856
Generation 116: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1872
Generation 117: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1888
Generation 118: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1904
Generation 119: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1920
Generation 120: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1936
Generation 121: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1952
Generation 122: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1968
Generation 123: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 1984
Generation 124: Best Solution = [5.86263281e-10 2.33342444e-09], Best Fitness = 0.0, Evaluations = 2000
