Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 55: Best Solution = [-8.33987156e-06  6.24394183e-06], Best Fitness = 6.96550958762216e-11, Evaluations = 448
Generation 56: Best Solution = [2.08560273e-06 1.22508499e-06], Best Fitness = 5.850571963414016e-12, Evaluations = 456
Generation 57: Best Solution = [2.08560273e-06 1.22508499e-06], Best Fitness = 5.850571963414016e-12, Evaluations = 464
Generation 58: Best Solution = [2.08560273e-06 1.22508499e-06], Best Fitness = 5.850571963414016e-12, Evaluations = 472
Generation 59: Best Solution = [-9.54134431e-07 -3.18807616e-07], Best Fitness = 1.0120108095244721e-12, Evaluations = 480
Generation 60: Best Solution = [-9.54134431e-07 -3.18807616e-07], Best Fitness = 1.0120108095244721e-12, Evaluations = 488
Generation 61: Best Solution = [-9.54134431e-07 -3.18807616e-07], Best Fitness = 1.0120108095244721e-12, Evaluations = 496
Generation 62: Best Solution = [-9.54134431e-07 -3.18807616e-07], Best Fitness = 1.0120108095244721e-12, Evaluations = 504
Generation 63: Best Solution = [-9.54134431e-07 -3.18807616e-07], Best Fitness = 1.0120108095244721e-12, Evaluations = 512
Generation 64: Best Solution = [-2.87099693e-07  6.87067476e-07], Best Fitness = 5.544879507184729e-13, Evaluations = 520
Generation 65: Best Solution = [2.49201543e-07 5.01478858e-07], Best Fitness = 3.1358245450581094e-13, Evaluations = 528
Generation 66: Best Solution = [2.49201543e-07 5.01478858e-07], Best Fitness = 3.1358245450581094e-13, Evaluations = 536
Generation 67: Best Solution = [2.49201543e-07 5.01478858e-07], Best Fitness = 3.1358245450581094e-13, Evaluations = 544
Generation 68: Best Solution = [2.49201543e-07 5.01478858e-07], Best Fitness = 3.1358245450581094e-13, Evaluations = 552
Generation 69: Best Solution = [-9.29032068e-08 -2.44100857e-07], Best Fitness = 6.821623433477515e-14, Evaluations = 560
Generation 70: Best Solution = [ 1.46701772e-07 -5.36810192e-08], Best Fitness = 2.440306175769138e-14, Evaluations = 568
Generation 71: Best Solution = [ 1.46701772e-07 -5.36810192e-08], Best Fitness = 2.440306175769138e-14, Evaluations = 576
Generation 72: Best Solution = [ 1.46701772e-07 -5.36810192e-08], Best Fitness = 2.440306175769138e-14, Evaluations = 584
Generation 73: Best Solution = [1.36712621e-08 1.12866944e-07], Best Fitness = 1.2925850471282035e-14, Evaluations = 592
Generation 74: Best Solution = [-8.90716852e-09 -1.38628774e-09], Best Fitness = 8.125944473975319e-17, Evaluations = 600
Generation 75: Best Solution = [-8.90716852e-09 -1.38628774e-09], Best Fitness = 8.125944473975319e-17, Evaluations = 608
Generation 76: Best Solution = [-8.90716852e-09 -1.38628774e-09], Best Fitness = 8.125944473975319e-17, Evaluations = 616
Generation 77: Best Solution = [-8.90716852e-09 -1.38628774e-09], Best Fitness = 8.125944473975319e-17, Evaluations = 624
Generation 78: Best Solution = [-8.90716852e-09 -1.38628774e-09], Best Fitness = 8.125944473975319e-17, Evaluations = 632
Generation 79: Best Solution = [-8.90716852e-09 -1.38628774e-09], Best Fitness = 8.125944473975319e-17, Evaluations = 640
Generation 80: Best Solution = [-8.90716852e-09 -1.38628774e-09], Best Fitness = 8.125944473975319e-17, Evaluations = 648
Generation 81: Best Solution = [-8.90716852e-09 -1.38628774e-09], Best Fitness = 8.125944473975319e-17, Evaluations = 656
Generation 82: Best Solution = [-8.90716852e-09 -1.38628774e-09], Best Fitness = 8.125944473975319e-17, Evaluations = 664
Generation 83: Best Solution = [-1.69764912e-09  2.80281093e-09], Best Fitness = 1.0737761673577637e-17, Evaluations = 672
Generation 84: Best Solution = [-1.69764912e-09  2.80281093e-09], Best Fitness = 1.0737761673577637e-17, Evaluations = 680
Generation 85: Best Solution = [-1.69764912e-09  2.80281093e-09], Best Fitness = 1.0737761673577637e-17, Evaluations = 688
Generation 86: Best Solution = [ 1.1584017e-09 -2.3332885e-09], Best Fitness = 6.7861297210970325e-18, Evaluations = 696
Generation 87: Best Solution = [ 1.49634472e-09 -1.63559636e-09], Best Fitness = 4.914222978658589e-18, Evaluations = 704
Generation 88: Best Solution = [ 1.49634472e-09 -1.63559636e-09], Best Fitness = 4.4873912685638505e-18, Evaluations = 712
Generation 89: Best Solution = [-5.25141309e-10 -8.15632091e-10], Best Fitness = 9.410291030061665e-19, Evaluations = 720
Generation 90: Best Solution = [-5.25141309e-10 -8.15632091e-10], Best Fitness = 9.410291030061665e-19, Evaluations = 728
Generation 91: Best Solution = [-5.25141309e-10 -8.15632091e-10], Best Fitness = 9.410291030061665e-19, Evaluations = 736
Generation 92: Best Solution = [-5.25141309e-10 -8.15632091e-10], Best Fitness = 9.410291030061665e-19, Evaluations = 744
Generation 93: Best Solution = [ 7.60071390e-11 -1.07662492e-10], Best Fitness = 1.7368297269678805e-20, Evaluations = 752
Generation 94: Best Solution = [ 7.60071390e-11 -1.07662492e-10], Best Fitness = 1.7368297269678805e-20, Evaluations = 760
Generation 95: Best Solution = [ 7.60071390e-11 -1.07662492e-10], Best Fitness = 1.7368297269678805e-20, Evaluations = 768
Generation 96: Best Solution = [ 7.60071390e-11 -1.07662492e-10], Best Fitness = 1.7368297269678805e-20, Evaluations = 776
Generation 97: Best Solution = [ 7.60071390e-11 -1.07662492e-10], Best Fitness = 1.7368297269678805e-20, Evaluations = 784
Generation 98: Best Solution = [-7.25787089e-11 -1.80451570e-11], Best Fitness = 5.593296676515993e-21, Evaluations = 792
Generation 99: Best Solution = [-7.25787089e-11 -1.80451570e-11], Best Fitness = 5.593296676515993e-21, Evaluations = 800
Generation 100: Best Solution = [-7.25787089e-11 -1.80451570e-11], Best Fitness = 5.593296676515993e-21, Evaluations = 808
Generation 101: Best Solution = [ 1.03507535e-11 -2.57487500e-11], Best Fitness = 7.701362242317104e-22, Evaluations = 816
Generation 102: Best Solution = [ 1.03507535e-11 -2.57487500e-11], Best Fitness = 7.701362242317104e-22, Evaluations = 824
Generation 103: Best Solution = [ 1.03507535e-11 -3.89818978e-12], Best Fitness = 1.2233398206671504e-22, Evaluations = 832
Generation 104: Best Solution = [ 1.03507535e-11 -3.89818978e-12], Best Fitness = 1.2233398206671504e-22, Evaluations = 840
Generation 105: Best Solution = [ 1.03507535e-11 -3.89818978e-12], Best Fitness = 1.2233398206671504e-22, Evaluations = 848
Generation 106: Best Solution = [ 1.03507535e-11 -3.89818978e-12], Best Fitness = 1.2233398206671504e-22, Evaluations = 856
Generation 107: Best Solution = [ 1.03507535e-11 -3.89818978e-12], Best Fitness = 1.2233398206671504e-22, Evaluations = 864
Generation 108: Best Solution = [ 1.03507535e-11 -3.89818978e-12], Best Fitness = 1.2233398206671504e-22, Evaluations = 872
Generation 109: Best Solution = [ 1.03507535e-11 -3.89818978e-12], Best Fitness = 2.5899349508376067e-23, Evaluations = 880
Generation 110: Best Solution = [-2.67016127e-12  1.69966294e-12], Best Fitness = 1.0018615302315377e-23, Evaluations = 888
Generation 111: Best Solution = [-2.67016127e-12  1.69966294e-12], Best Fitness = 1.0018615302315377e-23, Evaluations = 896
Generation 112: Best Solution = [-2.67016127e-12  1.69966294e-12], Best Fitness = 1.0018615302315377e-23, Evaluations = 904
Generation 113: Best Solution = [-2.67016127e-12  1.69966294e-12], Best Fitness = 1.0018615302315377e-23, Evaluations = 912
Generation 114: Best Solution = [-1.18983239e-12 -9.32322834e-13], Best Fitness = 2.2849269803659275e-24, Evaluations = 920
Generation 115: Best Solution = [-1.18983239e-12 -9.32322834e-13], Best Fitness = 1.3550899955612834e-24, Evaluations = 928
Generation 116: Best Solution = [-1.18983239e-12 -9.32322834e-13], Best Fitness = 1.3550899955612834e-24, Evaluations = 936
Generation 117: Best Solution = [-1.18983239e-12 -9.32322834e-13], Best Fitness = 1.3550899955612834e-24, Evaluations = 944
Generation 118: Best Solution = [ 2.04849341e-13 -4.46776028e-13], Best Fitness = 2.4157207203516903e-25, Evaluations = 952
Generation 119: Best Solution = [ 2.04849341e-13 -4.46776028e-13], Best Fitness = 2.4157207203516903e-25, Evaluations = 960
Generation 120: Best Solution = [ 2.04849341e-13 -4.46776028e-13], Best Fitness = 2.4157207203516903e-25, Evaluations = 968
Generation 121: Best Solution = [ 2.04849341e-13 -4.46776028e-13], Best Fitness = 2.4157207203516903e-25, Evaluations = 976
Generation 122: Best Solution = [ 7.28246825e-14 -1.39535344e-13], Best Fitness = 2.47735467212021e-26, Evaluations = 984
Generation 123: Best Solution = [ 7.28246825e-14 -1.39535344e-13], Best Fitness = 2.47735467212021e-26, Evaluations = 992
Generation 124: Best Solution = [ 7.28246825e-14 -1.39535344e-13], Best Fitness = 2.47735467212021e-26, Evaluations = 1000
Generation 125: Best Solution = [-5.97293908e-15 -1.39535344e-13], Best Fitness = 1.9505788343315777e-26, Evaluations = 1008
Generation 126: Best Solution = [8.82653579e-14 1.10125907e-14], Best Fitness = 7.912050550809753e-27, Evaluations = 1016
Generation 127: Best Solution = [2.21229054e-14 5.61769712e-14], Best Fitness = 3.6452750374542495e-27, Evaluations = 1024
Generation 128: Best Solution = [2.21229054e-14 5.61769712e-14], Best Fitness = 3.6452750374542495e-27, Evaluations = 1032
Generation 129: Best Solution = [2.21229054e-14 5.61769712e-14], Best Fitness = 3.31803119372688e-27, Evaluations = 1040
Generation 130: Best Solution = [2.21229054e-14 5.61769712e-14], Best Fitness = 3.31803119372688e-27, Evaluations = 1048
Generation 131: Best Solution = [2.21229054e-14 5.61769712e-14], Best Fitness = 3.31803119372688e-27, Evaluations = 1056
Generation 132: Best Solution = [1.87090214e-14 1.10125907e-14], Best Fitness = 4.713046365693421e-28, Evaluations = 1064
Generation 133: Best Solution = [1.87090214e-14 1.10125907e-14], Best Fitness = 4.713046365693421e-28, Evaluations = 1072
Generation 134: Best Solution = [1.87090214e-14 1.10125907e-14], Best Fitness = 4.713046365693421e-28, Evaluations = 1080
Generation 135: Best Solution = [-1.27349558e-14 -6.13030269e-15], Best Fitness = 1.9975971008554545e-28, Evaluations = 1088
Generation 136: Best Solution = [-1.27349558e-14 -6.13030269e-15], Best Fitness = 1.9975971008554545e-28, Evaluations = 1096
Generation 137: Best Solution = [-1.27349558e-14 -6.13030269e-15], Best Fitness = 1.9975971008554545e-28, Evaluations = 1104
Generation 138: Best Solution = [-1.27349558e-14 -6.13030269e-15], Best Fitness = 1.8085092919464916e-28, Evaluations = 1112
Generation 139: Best Solution = [-1.27349558e-14 -6.13030269e-15], Best Fitness = 1.1718124973664696e-28, Evaluations = 1120
Generation 140: Best Solution = [-6.10010738e-15  5.96526688e-15], Best Fitness = 7.279571898315054e-29, Evaluations = 1128
Generation 141: Best Solution = [-3.11214354e-16 -1.21450477e-15], Best Fitness = 1.5718762080478927e-30, Evaluations = 1136
Generation 142: Best Solution = [-3.11214354e-16 -1.21450477e-15], Best Fitness = 1.5718762080478927e-30, Evaluations = 1144
Generation 143: Best Solution = [-3.11214354e-16 -1.21450477e-15], Best Fitness = 1.5718762080478927e-30, Evaluations = 1152
Generation 144: Best Solution = [-3.11214354e-16 -1.21450477e-15], Best Fitness = 1.5718762080478927e-30, Evaluations = 1160
Generation 145: Best Solution = [-3.11214354e-16 -1.21450477e-15], Best Fitness = 1.5718762080478927e-30, Evaluations = 1168
Generation 146: Best Solution = [-3.11214354e-16 -1.21450477e-15], Best Fitness = 1.394497676744237e-30, Evaluations = 1176
Generation 147: Best Solution = [-3.11214354e-16 -1.21450477e-15], Best Fitness = 1.394497676744237e-30, Evaluations = 1184
Generation 148: Best Solution = [7.43839794e-16 4.91981821e-16], Best Fitness = 7.953437513782135e-31, Evaluations = 1192
Generation 149: Best Solution = [2.31146951e-16 3.08322360e-16], Best Fitness = 1.4849159047187613e-31, Evaluations = 1200
Generation 150: Best Solution = [2.31146951e-16 3.08322360e-16], Best Fitness = 1.4849159047187613e-31, Evaluations = 1208
Generation 151: Best Solution = [2.31146951e-16 3.08322360e-16], Best Fitness = 1.4849159047187613e-31, Evaluations = 1216
Generation 152: Best Solution = [1.21161885e-16 2.36933941e-16], Best Fitness = 7.081789483924582e-32, Evaluations = 1224
Generation 153: Best Solution = [1.21161885e-16 2.36933941e-16], Best Fitness = 7.081789483924582e-32, Evaluations = 1232
Generation 154: Best Solution = [1.21161885e-16 2.36933941e-16], Best Fitness = 7.081789483924582e-32, Evaluations = 1240
Generation 155: Best Solution = [-4.18243810e-17 -2.15858174e-17], Best Fitness = 2.2152263646392153e-33, Evaluations = 1248
Generation 156: Best Solution = [-4.18243810e-17 -2.15858174e-17], Best Fitness = 2.2152263646392153e-33, Evaluations = 1256
Generation 157: Best Solution = [-4.18243810e-17 -2.15858174e-17], Best Fitness = 2.2152263646392153e-33, Evaluations = 1264
Generation 158: Best Solution = [-4.18243810e-17 -2.15858174e-17], Best Fitness = 2.2152263646392153e-33, Evaluations = 1272
Generation 159: Best Solution = [-4.18243810e-17 -2.15858174e-17], Best Fitness = 1.2889945541553064e-33, Evaluations = 1280
Generation 160: Best Solution = [-4.18243810e-17 -2.15858174e-17], Best Fitness = 1.2889945541553064e-33, Evaluations = 1288
Generation 161: Best Solution = [-4.18243810e-17 -2.15858174e-17], Best Fitness = 1.2889945541553064e-33, Evaluations = 1296
Generation 162: Best Solution = [ 2.87833612e-17 -3.80701394e-18], Best Fitness = 8.42975236636872e-34, Evaluations = 1304
Generation 163: Best Solution = [ 2.87833612e-17 -3.80701394e-18], Best Fitness = 8.42975236636872e-34, Evaluations = 1312
Generation 164: Best Solution = [-5.63436423e-19 -1.73021143e-17], Best Fitness = 2.996806209619526e-34, Evaluations = 1320
Generation 165: Best Solution = [-6.45081574e-18 -3.80701394e-18], Best Fitness = 5.610637891974202e-35, Evaluations = 1328
Generation 166: Best Solution = [-6.45081574e-18 -3.80701394e-18], Best Fitness = 5.610637891974202e-35, Evaluations = 1336
Generation 167: Best Solution = [-5.63436423e-19 -5.11396731e-18], Best Fitness = 2.647012220124926e-35, Evaluations = 1344
Generation 168: Best Solution = [-5.63436423e-19 -3.60181668e-18], Best Fitness = 1.3290543968015296e-35, Evaluations = 1352
Generation 169: Best Solution = [-5.63436423e-19 -3.60181668e-18], Best Fitness = 1.3290543968015296e-35, Evaluations = 1360
Generation 170: Best Solution = [-5.63436423e-19 -3.60181668e-18], Best Fitness = 1.3290543968015296e-35, Evaluations = 1368
Generation 171: Best Solution = [-5.63436423e-19 -3.60181668e-18], Best Fitness = 1.3290543968015296e-35, Evaluations = 1376
Generation 172: Best Solution = [-5.63436423e-19  1.22537588e-19], Best Fitness = 3.3247606324256148e-37, Evaluations = 1384
Generation 173: Best Solution = [-5.63436423e-19  1.22537588e-19], Best Fitness = 3.3247606324256148e-37, Evaluations = 1392
Generation 174: Best Solution = [-5.63436423e-19  1.22537588e-19], Best Fitness = 3.3247606324256148e-37, Evaluations = 1400
Generation 175: Best Solution = [-5.63436423e-19  1.22537588e-19], Best Fitness = 3.3247606324256148e-37, Evaluations = 1408
Generation 176: Best Solution = [-5.63436423e-19  1.22537588e-19], Best Fitness = 3.3247606324256148e-37, Evaluations = 1416
Generation 177: Best Solution = [-5.63436423e-19  1.22537588e-19], Best Fitness = 3.3247606324256148e-37, Evaluations = 1424
Generation 178: Best Solution = [-5.02428454e-19 -2.06599868e-19], Best Fitness = 2.9511785656736835e-37, Evaluations = 1432
Generation 179: Best Solution = [-2.20331513e-19  3.91883381e-19], Best Fitness = 2.021185594183587e-37, Evaluations = 1440
Generation 180: Best Solution = [-2.09971160e-19  1.59298259e-19], Best Fitness = 6.946382303027984e-38, Evaluations = 1448
Generation 181: Best Solution = [-2.09971160e-19  1.59298259e-19], Best Fitness = 6.946382303027984e-38, Evaluations = 1456
Generation 182: Best Solution = [-4.59752317e-20  1.45055857e-20], Best Fitness = 2.3241339479498412e-39, Evaluations = 1464
Generation 183: Best Solution = [-4.59752317e-20  1.45055857e-20], Best Fitness = 2.3241339479498412e-39, Evaluations = 1472
Generation 184: Best Solution = [-4.59752317e-20  1.45055857e-20], Best Fitness = 2.3241339479498412e-39, Evaluations = 1480
Generation 185: Best Solution = [-4.59752317e-20  1.45055857e-20], Best Fitness = 2.3241339479498412e-39, Evaluations = 1488
Generation 186: Best Solution = [-4.59752317e-20  1.45055857e-20], Best Fitness = 2.3241339479498412e-39, Evaluations = 1496
Generation 187: Best Solution = [2.08066606e-20 2.21783016e-21], Best Fitness = 4.378358939524442e-40, Evaluations = 1504
Generation 188: Best Solution = [2.08066606e-20 2.21783016e-21], Best Fitness = 4.378358939524442e-40, Evaluations = 1512
Generation 189: Best Solution = [2.08066606e-20 2.21783016e-21], Best Fitness = 4.378358939524442e-40, Evaluations = 1520
Generation 190: Best Solution = [2.08066606e-20 2.21783016e-21], Best Fitness = 4.378358939524442e-40, Evaluations = 1528
Generation 191: Best Solution = [-2.55561049e-21  1.45055857e-20], Best Fitness = 2.1694316105949448e-40, Evaluations = 1536
Generation 192: Best Solution = [1.03472053e-21 7.98705651e-21], Best Fitness = 6.486371831201787e-41, Evaluations = 1544
Generation 193: Best Solution = [1.03472053e-21 7.98705651e-21], Best Fitness = 6.486371831201787e-41, Evaluations = 1552
Generation 194: Best Solution = [-2.55561049e-21  3.81227658e-21], Best Fitness = 2.1064597708900993e-41, Evaluations = 1560
Generation 195: Best Solution = [-2.55561049e-21  3.81227658e-21], Best Fitness = 2.1064597708900993e-41, Evaluations = 1568
Generation 196: Best Solution = [-4.23787739e-23  2.21783016e-21], Best Fitness = 4.920566568512993e-42, Evaluations = 1576
Generation 197: Best Solution = [-4.23787739e-23  2.21783016e-21], Best Fitness = 3.426584781207852e-44, Evaluations = 1584
