Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 59: Best Solution = [3.32287008e-06 9.54197902e-06], Best Fitness = 2.8581148030060177e-05, Evaluations = 480
Generation 60: Best Solution = [3.32287008e-06 9.54197902e-06], Best Fitness = 2.8581148030060177e-05, Evaluations = 488
Generation 61: Best Solution = [3.32287008e-06 9.54197902e-06], Best Fitness = 2.8581148030060177e-05, Evaluations = 496
Generation 62: Best Solution = [3.32287008e-06 9.54197902e-06], Best Fitness = 2.8581148030060177e-05, Evaluations = 504
Generation 63: Best Solution = [3.32287008e-06 9.54197902e-06], Best Fitness = 2.8581148030060177e-05, Evaluations = 512
Generation 64: Best Solution = [-4.70662644e-06  6.54577076e-06], Best Fitness = 2.280514239005882e-05, Evaluations = 520
Generation 65: Best Solution = [3.32287008e-06 3.09399507e-06], Best Fitness = 1.2842440100246932e-05, Evaluations = 528
Generation 66: Best Solution = [3.32287008e-06 3.09399507e-06], Best Fitness = 1.2842440100246932e-05, Evaluations = 536
Generation 67: Best Solution = [3.32287008e-06 3.09399507e-06], Best Fitness = 1.2842440100246932e-05, Evaluations = 544
Generation 68: Best Solution = [3.32287008e-06 3.09399507e-06], Best Fitness = 1.2842440100246932e-05, Evaluations = 552
Generation 69: Best Solution = [ 1.26563988e-06 -3.12339303e-06], Best Fitness = 9.532323549610311e-06, Evaluations = 560
Generation 70: Best Solution = [ 1.26563988e-06 -3.12339303e-06], Best Fitness = 9.532323549610311e-06, Evaluations = 568
Generation 71: Best Solution = [ 1.26563988e-06 -3.12339303e-06], Best Fitness = 9.532323549610311e-06, Evaluations = 576
Generation 72: Best Solution = [-2.59423962e-06 -9.84750069e-07], Best Fitness = 7.848675924737591e-06, Evaluations = 584
Generation 73: Best Solution = [ 1.26563988e-06 -2.24649233e-06], Best Fitness = 7.293226918836382e-06, Evaluations = 592
Generation 74: Best Solution = [ 2.67636932e-07 -7.96230016e-07], Best Fitness = 2.375917383279358e-06, Evaluations = 600
Generation 75: Best Solution = [-1.42133283e-07 -6.52861009e-07], Best Fitness = 1.8898359397390152e-06, Evaluations = 608
Generation 76: Best Solution = [-1.42133283e-07 -6.52861009e-07], Best Fitness = 1.8898359397390152e-06, Evaluations = 616
Generation 77: Best Solution = [-2.46358333e-07  2.35764056e-07], Best Fitness = 9.644806451269972e-07, Evaluations = 624
Generation 78: Best Solution = [-2.46358333e-07  2.35764056e-07], Best Fitness = 9.644806451269972e-07, Evaluations = 632
Generation 79: Best Solution = [-2.46358333e-07  2.35764056e-07], Best Fitness = 9.644806451269972e-07, Evaluations = 640
Generation 80: Best Solution = [-2.46358333e-07  2.35764056e-07], Best Fitness = 9.644806451269972e-07, Evaluations = 648
Generation 81: Best Solution = [-2.46358333e-07  2.35764056e-07], Best Fitness = 9.644806451269972e-07, Evaluations = 656
Generation 82: Best Solution = [ 2.67636932e-07 -1.36606408e-07], Best Fitness = 8.49900463339992e-07, Evaluations = 664
Generation 83: Best Solution = [-1.42133283e-07  2.40677123e-07], Best Fitness = 7.905833716570498e-07, Evaluations = 672
Generation 84: Best Solution = [-2.34165814e-07  1.15964458e-07], Best Fitness = 7.390898173476046e-07, Evaluations = 680
