Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 30: Best Solution = [1.1347236  1.23042335], Best Fitness = 0.3450403915963991, Evaluations = 496
Generation 31: Best Solution = [1.1347236  1.23042335], Best Fitness = 0.3450403915963991, Evaluations = 512
Generation 32: Best Solution = [1.1347236  1.23042335], Best Fitness = 0.3450403915963991, Evaluations = 528
Generation 33: Best Solution = [1.1347236  1.23042335], Best Fitness = 0.3450403915963991, Evaluations = 544
Generation 34: Best Solution = [1.1347236  1.23042335], Best Fitness = 0.3450403915963991, Evaluations = 560
Generation 35: Best Solution = [1.1347236  1.23042335], Best Fitness = 0.3450403915963991, Evaluations = 576
Generation 36: Best Solution = [1.1347236  1.23042335], Best Fitness = 0.3450403915963991, Evaluations = 592
Generation 37: Best Solution = [1.1347236  1.23042335], Best Fitness = 0.3450403915963991, Evaluations = 608
Generation 38: Best Solution = [1.1347236  1.23042335], Best Fitness = 0.3450403915963991, Evaluations = 624
Generation 39: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 640
Generation 40: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 656
Generation 41: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 672
Generation 42: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 688
Generation 43: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 704
Generation 44: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 720
Generation 45: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 736
Generation 46: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 752
Generation 47: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 768
Generation 48: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 784
Generation 49: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 800
Generation 50: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 816
Generation 51: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 832
Generation 52: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 848
Generation 53: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 864
Generation 54: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 880
Generation 55: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 896
Generation 56: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 912
Generation 57: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 928
Generation 58: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 944
Generation 59: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 960
Generation 60: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 976
Generation 61: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 992
Generation 62: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1008
Generation 63: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1024
