Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 58: Best Solution = [-1.74116933e-05 -7.94974726e-06], Best Fitness = 5.414776794809839e-05, Evaluations = 472
Generation 59: Best Solution = [-1.74116933e-05 -7.94974726e-06], Best Fitness = 5.414776794809839e-05, Evaluations = 480
Generation 60: Best Solution = [-1.74116933e-05 -7.94974726e-06], Best Fitness = 5.414776794809839e-05, Evaluations = 488
Generation 61: Best Solution = [-1.74116933e-05 -7.94974726e-06], Best Fitness = 5.414776794809839e-05, Evaluations = 496
Generation 62: Best Solution = [-1.74116933e-05 -7.94974726e-06], Best Fitness = 5.414776794809839e-05, Evaluations = 504
Generation 63: Best Solution = [-1.74116933e-05 -7.94974726e-06], Best Fitness = 2.4014161578822524e-05, Evaluations = 512
Generation 64: Best Solution = [-1.74116933e-05 -7.94974726e-06], Best Fitness = 2.4014161578822524e-05, Evaluations = 520
Generation 65: Best Solution = [-1.74116933e-05 -7.94974726e-06], Best Fitness = 2.4014161578822524e-05, Evaluations = 528
Generation 66: Best Solution = [-1.74116933e-05 -7.94974726e-06], Best Fitness = 2.4014161578822524e-05, Evaluations = 536
Generation 67: Best Solution = [-1.74116933e-05 -7.94974726e-06], Best Fitness = 2.4014161578822524e-05, Evaluations = 544
Generation 68: Best Solution = [-1.74116933e-05 -7.94974726e-06], Best Fitness = 2.4014161578822524e-05, Evaluations = 552
Generation 69: Best Solution = [-2.01070597e-06  5.57419751e-06], Best Fitness = 1.6761511731022694e-05, Evaluations = 560
Generation 70: Best Solution = [-2.01070597e-06  5.57419751e-06], Best Fitness = 1.6761511731022694e-05, Evaluations = 568
Generation 71: Best Solution = [-2.01070597e-06  5.57419751e-06], Best Fitness = 1.6761511731022694e-05, Evaluations = 576
Generation 72: Best Solution = [-3.97400447e-06 -4.19028240e-06], Best Fitness = 1.633519018939822e-05, Evaluations = 584
Generation 73: Best Solution = [-3.97400447e-06 -4.19028240e-06], Best Fitness = 1.633519018939822e-05, Evaluations = 592
Generation 74: Best Solution = [-3.97400447e-06 -4.19028240e-06], Best Fitness = 1.633519018939822e-05, Evaluations = 600
Generation 75: Best Solution = [-1.61484467e-06 -2.83644004e-06], Best Fitness = 9.232018243654494e-06, Evaluations = 608
Generation 76: Best Solution = [ 5.56842988e-07 -2.87125968e-06], Best Fitness = 8.272691140565058e-06, Evaluations = 616
Generation 77: Best Solution = [ 5.56842988e-07 -2.87125968e-06], Best Fitness = 8.247150244944379e-06, Evaluations = 624
Generation 78: Best Solution = [ 5.56842988e-07 -2.87125968e-06], Best Fitness = 8.247150244944379e-06, Evaluations = 632
Generation 79: Best Solution = [ 3.44502598e-07 -1.59157287e-06], Best Fitness = 4.605967899085073e-06, Evaluations = 640
Generation 80: Best Solution = [-8.38456396e-07 -1.66308034e-07], Best Fitness = 2.4177332353936265e-06, Evaluations = 648
Generation 81: Best Solution = [-8.38456396e-07 -1.66308034e-07], Best Fitness = 2.4177332353936265e-06, Evaluations = 656
Generation 82: Best Solution = [-5.07283963e-07 -1.49246412e-07], Best Fitness = 1.4956317540004704e-06, Evaluations = 664
Generation 83: Best Solution = [ 1.74028846e-08 -1.66308034e-07], Best Fitness = 4.729592828489615e-07, Evaluations = 672
Generation 84: Best Solution = [ 1.74028846e-08 -1.66308034e-07], Best Fitness = 4.729592828489615e-07, Evaluations = 680
Generation 85: Best Solution = [ 1.74028846e-08 -1.66308034e-07], Best Fitness = 4.729592828489615e-07, Evaluations = 688
Generation 86: Best Solution = [ 1.74028846e-08 -1.66308034e-07], Best Fitness = 4.729592828489615e-07, Evaluations = 696
Generation 87: Best Solution = [ 2.14779582e-08 -1.38797564e-07], Best Fitness = 3.972517466088732e-07, Evaluations = 704
Generation 88: Best Solution = [ 2.14779582e-08 -1.38797564e-07], Best Fitness = 3.972517466088732e-07, Evaluations = 712
