Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 55: Best Solution = [ 8.52728067e-07 -2.47684303e-08], Best Fitness = 6.329579192642958e-13, Evaluations = 448
Generation 56: Best Solution = [ 8.52728067e-07 -2.47684303e-08], Best Fitness = 6.329579192642958e-13, Evaluations = 456
Generation 57: Best Solution = [ 8.52728067e-07 -2.47684303e-08], Best Fitness = 6.329579192642958e-13, Evaluations = 464
Generation 58: Best Solution = [ 8.52728067e-07 -2.47684303e-08], Best Fitness = 6.329579192642958e-13, Evaluations = 472
Generation 59: Best Solution = [ 8.52728067e-07 -2.47684303e-08], Best Fitness = 6.329579192642958e-13, Evaluations = 480
Generation 60: Best Solution = [ 8.52728067e-07 -2.47684303e-08], Best Fitness = 6.329579192642958e-13, Evaluations = 488
Generation 61: Best Solution = [ 8.52728067e-07 -2.47684303e-08], Best Fitness = 6.329579192642958e-13, Evaluations = 496
Generation 62: Best Solution = [1.39957334e-08 6.11521022e-07], Best Fitness = 3.741538413728421e-13, Evaluations = 504
Generation 63: Best Solution = [-4.57378152e-07 -2.23660800e-08], Best Fitness = 2.0969501537923093e-13, Evaluations = 512
Generation 64: Best Solution = [-4.57378152e-07 -2.23660800e-08], Best Fitness = 2.0969501537923093e-13, Evaluations = 520
Generation 65: Best Solution = [-2.26404948e-07  6.39123457e-08], Best Fitness = 5.5343988450990936e-14, Evaluations = 528
Generation 66: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 6.203279903338376e-16, Evaluations = 536
Generation 67: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 1.2329837833052737e-17, Evaluations = 544
Generation 68: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 1.2329837833052737e-17, Evaluations = 552
Generation 69: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 1.2329837833052737e-17, Evaluations = 560
Generation 70: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 1.2329837833052737e-17, Evaluations = 568
Generation 71: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 1.2329837833052737e-17, Evaluations = 576
