Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 61: Best Solution = [0.96696476 0.92712616], Best Fitness = 0.0017898122848458997, Evaluations = 496
Generation 62: Best Solution = [0.96696476 0.92712616], Best Fitness = 0.0017898122848458997, Evaluations = 504
Generation 63: Best Solution = [0.96696476 0.92712616], Best Fitness = 0.0017898122848458997, Evaluations = 512
Generation 64: Best Solution = [0.96696476 0.92712616], Best Fitness = 0.0017898122848458997, Evaluations = 520
Generation 65: Best Solution = [0.96696476 0.92712616], Best Fitness = 0.0017898122848458997, Evaluations = 528
Generation 66: Best Solution = [0.96696476 0.92712616], Best Fitness = 0.0017898122848458997, Evaluations = 536
Generation 67: Best Solution = [0.96696476 0.92712616], Best Fitness = 0.0017898122848458997, Evaluations = 544
Generation 68: Best Solution = [0.96696476 0.92712616], Best Fitness = 0.0017898122848458997, Evaluations = 552
Generation 69: Best Solution = [0.96696476 0.92712616], Best Fitness = 0.0017898122848458997, Evaluations = 560
Generation 70: Best Solution = [0.96696476 0.92712616], Best Fitness = 0.0017898122848458997, Evaluations = 568
Generation 71: Best Solution = [0.96362911 0.92764409], Best Fitness = 0.0014106336408950333, Evaluations = 576
Generation 72: Best Solution = [0.96362911 0.92764409], Best Fitness = 0.0010143271908317592, Evaluations = 584
Generation 73: Best Solution = [0.97451193 0.94862422], Best Fitness = 0.0007597416806322915, Evaluations = 592
Generation 74: Best Solution = [0.97451193 0.94862422], Best Fitness = 0.0007597416806322915, Evaluations = 600
Generation 75: Best Solution = [0.97451193 0.94862422], Best Fitness = 0.0007597416806322915, Evaluations = 608
Generation 76: Best Solution = [0.97451193 0.94862422], Best Fitness = 0.0007597416806322915, Evaluations = 616
Generation 77: Best Solution = [0.97451193 0.94862422], Best Fitness = 0.0007597416806322915, Evaluations = 624
Generation 78: Best Solution = [0.97451193 0.94862422], Best Fitness = 0.0007597416806322915, Evaluations = 632
Generation 79: Best Solution = [0.97451193 0.94862422], Best Fitness = 0.0007597416806322915, Evaluations = 640
Generation 80: Best Solution = [0.97451193 0.94862422], Best Fitness = 0.0007597416806322915, Evaluations = 648
Generation 81: Best Solution = [0.97451193 0.94862422], Best Fitness = 0.0007597416806322915, Evaluations = 656
Generation 82: Best Solution = [0.97451193 0.94862422], Best Fitness = 0.0007597416806322915, Evaluations = 664
Generation 83: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 672
Generation 84: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 680
Generation 85: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 688
Generation 86: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 696
Generation 87: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 704
Generation 88: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 712
Generation 89: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 720
Generation 90: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 728
Generation 91: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 736
Generation 92: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 744
Generation 93: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 752
Generation 94: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 760
Generation 95: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 768
Generation 96: Best Solution = [0.97821004 0.95658488], Best Fitness = 0.0004844125953301321, Evaluations = 776
Generation 97: Best Solution = [0.97879267 0.95818393], Best Fitness = 0.0004519656195851552, Evaluations = 784
Generation 98: Best Solution = [0.98252845 0.96468958], Best Fitness = 0.0003504902542543832, Evaluations = 792
Generation 99: Best Solution = [0.98252845 0.96468958], Best Fitness = 0.0003504902542543832, Evaluations = 800
Generation 100: Best Solution = [0.98252845 0.96468958], Best Fitness = 0.0003504902542543832, Evaluations = 808
Generation 101: Best Solution = [0.98252845 0.96468958], Best Fitness = 0.0003504902542543832, Evaluations = 816
Generation 102: Best Solution = [0.98252845 0.96468958], Best Fitness = 0.0003504902542543832, Evaluations = 824
Generation 103: Best Solution = [0.98252845 0.96468958], Best Fitness = 0.0003504902542543832, Evaluations = 832
Generation 104: Best Solution = [0.98252845 0.96468958], Best Fitness = 0.0003504902542543832, Evaluations = 840
Generation 105: Best Solution = [0.98252845 0.96468958], Best Fitness = 0.0003504902542543832, Evaluations = 848
Generation 106: Best Solution = [0.98252845 0.96468958], Best Fitness = 0.0003504902542543832, Evaluations = 856
Generation 107: Best Solution = [0.98325048 0.96594912], Best Fitness = 0.0003498349623785866, Evaluations = 864
Generation 108: Best Solution = [0.98325048 0.96594912], Best Fitness = 0.0003498349623785866, Evaluations = 872
Generation 109: Best Solution = [0.98325048 0.96594912], Best Fitness = 0.0003498349623785866, Evaluations = 880
Generation 110: Best Solution = [0.98262882 0.9648769 ], Best Fitness = 0.0003483374247252053, Evaluations = 888
Generation 111: Best Solution = [0.98262882 0.9648769 ], Best Fitness = 0.0003483374247252053, Evaluations = 896
Generation 112: Best Solution = [0.98220562 0.96468958], Best Fitness = 0.00031678664150428556, Evaluations = 904
Generation 113: Best Solution = [0.98220562 0.96468958], Best Fitness = 0.00031678664150428556, Evaluations = 912
Generation 114: Best Solution = [0.98314954 0.9664909 ], Best Fitness = 0.00028478658680337855, Evaluations = 920
Generation 115: Best Solution = [0.98314954 0.9664909 ], Best Fitness = 0.00028478658680337855, Evaluations = 928
Generation 116: Best Solution = [0.98314954 0.9664909 ], Best Fitness = 0.00028478658680337855, Evaluations = 936
Generation 117: Best Solution = [0.98314954 0.9664909 ], Best Fitness = 0.00028478658680337855, Evaluations = 944
Generation 118: Best Solution = [0.98321325 0.96670982], Best Fitness = 0.0002817952173568066, Evaluations = 952
Generation 119: Best Solution = [0.98321325 0.96670982], Best Fitness = 0.0002817952173568066, Evaluations = 960
Generation 120: Best Solution = [0.98574042 0.97127545], Best Fitness = 0.00022004090348271238, Evaluations = 968
Generation 121: Best Solution = [0.98574042 0.97127545], Best Fitness = 0.00022004090348271238, Evaluations = 976
Generation 122: Best Solution = [0.98574042 0.97127545], Best Fitness = 0.00021503368793865114, Evaluations = 984
Generation 123: Best Solution = [0.98574042 0.97127545], Best Fitness = 0.00021503368793865114, Evaluations = 992
Generation 124: Best Solution = [0.98574042 0.97127545], Best Fitness = 0.00021503368793865114, Evaluations = 1000
Generation 125: Best Solution = [0.98574042 0.97127545], Best Fitness = 0.00021503368793865114, Evaluations = 1008
Generation 126: Best Solution = [0.98574042 0.97127545], Best Fitness = 0.00021503368793865114, Evaluations = 1016
Generation 127: Best Solution = [0.98574042 0.97127545], Best Fitness = 0.00021503368793865114, Evaluations = 1024
Generation 128: Best Solution = [0.98574042 0.97127545], Best Fitness = 0.00021503368793865114, Evaluations = 1032
Generation 129: Best Solution = [0.98574042 0.97127545], Best Fitness = 0.00021503368793865114, Evaluations = 1040
Generation 130: Best Solution = [0.98623    0.97254585], Best Fitness = 0.00019068955614694001, Evaluations = 1048
Generation 131: Best Solution = [0.98623    0.97254585], Best Fitness = 0.00019068955614694001, Evaluations = 1056
