Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [6.07601044 7.57589846], Best Fitness = 16.653582265382386, Evaluations = 16
Generation 1: Best Solution = [6.07601044 7.57589846], Best Fitness = 16.653582265382386, Evaluations = 32
Generation 2: Best Solution = [6.07601044 7.57589846], Best Fitness = 16.653582265382386, Evaluations = 48
Generation 3: Best Solution = [-6.36618413  3.26643379], Best Fitness = 14.767319101297385, Evaluations = 64
Generation 4: Best Solution = [ 0.45132509 -0.10762227], Best Fitness = 3.07164570701497, Evaluations = 80
Generation 5: Best Solution = [ 0.45132509 -0.10762227], Best Fitness = 3.07164570701497, Evaluations = 96
Generation 6: Best Solution = [ 0.45132509 -0.10762227], Best Fitness = 3.07164570701497, Evaluations = 112
Generation 7: Best Solution = [ 0.45132509 -0.10762227], Best Fitness = 3.07164570701497, Evaluations = 128
Generation 8: Best Solution = [ 0.45132509 -0.10762227], Best Fitness = 3.07164570701497, Evaluations = 144
Generation 9: Best Solution = [ 0.45132509 -0.10762227], Best Fitness = 3.07164570701497, Evaluations = 160
Generation 10: Best Solution = [ 0.45132509 -0.10762227], Best Fitness = 3.07164570701497, Evaluations = 176
Generation 11: Best Solution = [ 0.45132509 -0.10762227], Best Fitness = 3.07164570701497, Evaluations = 192
Generation 12: Best Solution = [0.1815961  0.14768069], Best Fitness = 1.7073553563351074, Evaluations = 208
Generation 13: Best Solution = [0.1815961  0.14768069], Best Fitness = 1.0524660529741081, Evaluations = 224
Generation 14: Best Solution = [0.1815961  0.14768069], Best Fitness = 1.0524660529741081, Evaluations = 240
Generation 15: Best Solution = [0.1815961  0.14768069], Best Fitness = 1.0524660529741081, Evaluations = 256
Generation 16: Best Solution = [-0.09211161 -0.10762227], Best Fitness = 0.870320817904187, Evaluations = 272
Generation 17: Best Solution = [-0.09211161 -0.10762227], Best Fitness = 0.870320817904187, Evaluations = 288
Generation 18: Best Solution = [-0.09211161 -0.10762227], Best Fitness = 0.870320817904187, Evaluations = 304
Generation 19: Best Solution = [0.11733638 0.0447849 ], Best Fitness = 0.7295672571204013, Evaluations = 320
Generation 20: Best Solution = [-0.10228358  0.05346147], Best Fitness = 0.6496472446149011, Evaluations = 336
Generation 21: Best Solution = [-0.00661096 -0.01464166], Best Fitness = 0.0522979098703229, Evaluations = 352
Generation 22: Best Solution = [-0.00661096 -0.01464166], Best Fitness = 0.0522979098703229, Evaluations = 368
