Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [-0.70537004  1.26620479], Best Fitness = 2.1008214716136937, Evaluations = 8
Generation 1: Best Solution = [0.09503802 0.88773463], Best Fitness = 0.7971050073309252, Evaluations = 16
Generation 2: Best Solution = [0.09503802 0.88773463], Best Fitness = 0.7971050073309252, Evaluations = 24
Generation 3: Best Solution = [0.09503802 0.88773463], Best Fitness = 0.7971050073309252, Evaluations = 32
Generation 4: Best Solution = [-0.12627538 -0.79891109], Best Fitness = 0.6542043985660666, Evaluations = 40
Generation 5: Best Solution = [-0.01921043 -0.55784648], Best Fitness = 0.31156173935536696, Evaluations = 48
Generation 6: Best Solution = [-0.01921043 -0.55784648], Best Fitness = 0.31156173935536696, Evaluations = 56
Generation 7: Best Solution = [-0.01921043 -0.55784648], Best Fitness = 0.045736206419936275, Evaluations = 64
Generation 8: Best Solution = [0.09503802 0.18801933], Best Fitness = 0.044383494533261, Evaluations = 72
Generation 9: Best Solution = [0.09503802 0.18801933], Best Fitness = 0.044383494533261, Evaluations = 80
Generation 10: Best Solution = [-0.11993354  0.11339076], Best Fitness = 0.02724151829880009, Evaluations = 88
Generation 11: Best Solution = [-0.11993354  0.11339076], Best Fitness = 0.02724151829880009, Evaluations = 96
Generation 12: Best Solution = [0.09503802 0.0087474 ], Best Fitness = 0.009108742324973693, Evaluations = 104
Generation 13: Best Solution = [0.09503802 0.0087474 ], Best Fitness = 0.009108742324973693, Evaluations = 112
Generation 14: Best Solution = [0.09503802 0.0087474 ], Best Fitness = 0.009108742324973693, Evaluations = 120
Generation 15: Best Solution = [0.09503802 0.0087474 ], Best Fitness = 0.009108742324973693, Evaluations = 128
Generation 16: Best Solution = [0.09503802 0.0087474 ], Best Fitness = 0.0027260502958270684, Evaluations = 136
Generation 17: Best Solution = [0.09503802 0.0087474 ], Best Fitness = 0.0027260502958270684, Evaluations = 144
Generation 18: Best Solution = [ 0.01206144 -0.02501334], Best Fitness = 0.0007711453130619726, Evaluations = 152
Generation 19: Best Solution = [ 0.01206144 -0.02501334], Best Fitness = 0.0007711453130619726, Evaluations = 160
Generation 20: Best Solution = [ 0.01206144 -0.02501334], Best Fitness = 0.0007711453130619726, Evaluations = 168
Generation 21: Best Solution = [ 0.01206144 -0.02501334], Best Fitness = 0.000617014275289216, Evaluations = 176
