Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 102: Best Solution = [-0.02276779  0.06595213], Best Fitness = 0.001335718708468825, Evaluations = 1648
Generation 103: Best Solution = [-0.02276779  0.06595213], Best Fitness = 0.0012119758364583788, Evaluations = 1664
Generation 104: Best Solution = [-0.02276779  0.06595213], Best Fitness = 0.0012119758364583788, Evaluations = 1680
Generation 105: Best Solution = [-0.02276779  0.06595213], Best Fitness = 0.0012119758364583788, Evaluations = 1696
Generation 106: Best Solution = [-0.02276779  0.06595213], Best Fitness = 0.0012119758364583788, Evaluations = 1712
Generation 107: Best Solution = [-0.02276779  0.06595213], Best Fitness = 0.00041906506547106925, Evaluations = 1728
Generation 108: Best Solution = [-0.02276779  0.06595213], Best Fitness = 0.00041906506547106925, Evaluations = 1744
Generation 109: Best Solution = [-0.02276779  0.06595213], Best Fitness = 0.00041906506547106925, Evaluations = 1760
Generation 110: Best Solution = [-0.02276779  0.06595213], Best Fitness = 0.00041906506547106925, Evaluations = 1776
Generation 111: Best Solution = [-0.02276779  0.06595213], Best Fitness = 0.00041906506547106925, Evaluations = 1792
Generation 112: Best Solution = [-0.00855772 -0.02775863], Best Fitness = 0.00022945011310993024, Evaluations = 1808
Generation 113: Best Solution = [-0.00855772 -0.02775863], Best Fitness = 0.00022945011310993024, Evaluations = 1824
Generation 114: Best Solution = [0.0065536  0.02548698], Best Fitness = 0.00018403658063292916, Evaluations = 1840
Generation 115: Best Solution = [-0.0043919  -0.01751448], Best Fitness = 8.641344543824925e-05, Evaluations = 1856
Generation 116: Best Solution = [-0.0043919   0.01578557], Best Fitness = 7.200632076453939e-05, Evaluations = 1872
Generation 117: Best Solution = [-0.0043919   0.01578557], Best Fitness = 7.200632076453939e-05, Evaluations = 1888
Generation 118: Best Solution = [-0.0043919   0.01223478], Best Fitness = 4.710847845046384e-05, Evaluations = 1904
Generation 119: Best Solution = [0.00060952 0.01097544], Best Fitness = 3.0330881863993575e-05, Evaluations = 1920
Generation 120: Best Solution = [-0.0043375   0.00019589], Best Fitness = 9.421255134811624e-06, Evaluations = 1936
Generation 121: Best Solution = [-0.00306003  0.00343064], Best Fitness = 7.6294911234287e-06, Evaluations = 1952
Generation 122: Best Solution = [-0.00055955  0.00073511], Best Fitness = 2.9185976957446513e-07, Evaluations = 1968
Generation 123: Best Solution = [-0.00070279  0.00019387], Best Fitness = 2.5648724799598455e-07, Evaluations = 1984
Generation 124: Best Solution = [-0.00046515  0.00019589], Best Fitness = 1.1783788000929718e-07, Evaluations = 2000
