Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 59: Best Solution = [-1.70076992e-05  9.45796359e-05], Best Fitness = 4.861932285082915e-05, Evaluations = 480
Generation 60: Best Solution = [-1.70076992e-05  9.45796359e-05], Best Fitness = 4.861932285082915e-05, Evaluations = 488
Generation 61: Best Solution = [-1.70076992e-05  9.45796359e-05], Best Fitness = 4.861932285082915e-05, Evaluations = 496
Generation 62: Best Solution = [-1.70076992e-05  9.45796359e-05], Best Fitness = 4.861932285082915e-05, Evaluations = 504
Generation 63: Best Solution = [-1.70076992e-05  9.45796359e-05], Best Fitness = 4.861932285082915e-05, Evaluations = 512
Generation 64: Best Solution = [8.26323719e-06 4.34180098e-06], Best Fitness = 2.6404187476902763e-05, Evaluations = 520
Generation 65: Best Solution = [6.84698776e-06 3.95342274e-06], Best Fitness = 2.23642749124231e-05, Evaluations = 528
Generation 66: Best Solution = [1.24230601e-06 3.30644759e-06], Best Fitness = 9.990695521100434e-06, Evaluations = 536
Generation 67: Best Solution = [-1.15607440e-06  1.55929376e-06], Best Fitness = 5.4903863255795216e-06, Evaluations = 544
Generation 68: Best Solution = [-1.15607440e-06  1.55929376e-06], Best Fitness = 5.4903863255795216e-06, Evaluations = 552
Generation 69: Best Solution = [-7.32093279e-07  1.34637632e-06], Best Fitness = 4.3347503297930245e-06, Evaluations = 560
Generation 70: Best Solution = [-7.32093279e-07  1.34637632e-06], Best Fitness = 4.3347503297930245e-06, Evaluations = 568
Generation 71: Best Solution = [-7.32093279e-07  1.34637632e-06], Best Fitness = 4.3347503297930245e-06, Evaluations = 576
Generation 72: Best Solution = [-7.32093279e-07  1.34637632e-06], Best Fitness = 4.3347503297930245e-06, Evaluations = 584
Generation 73: Best Solution = [-1.45474615e-07  8.46260284e-07], Best Fitness = 2.4287136572986867e-06, Evaluations = 592
Generation 74: Best Solution = [-1.45474615e-07  8.46260284e-07], Best Fitness = 2.4287136572986867e-06, Evaluations = 600
Generation 75: Best Solution = [ 1.18609549e-07 -4.79135690e-07], Best Fitness = 1.3961131739570476e-06, Evaluations = 608
Generation 76: Best Solution = [ 3.88823116e-07 -1.62460129e-07], Best Fitness = 1.1918997206983306e-06, Evaluations = 616
Generation 77: Best Solution = [-2.89229395e-07 -1.62460129e-07], Best Fitness = 9.382861958506794e-07, Evaluations = 624
Generation 78: Best Solution = [-7.05920269e-08 -3.11960538e-07], Best Fitness = 9.046689020131282e-07, Evaluations = 632
Generation 79: Best Solution = [-7.05920269e-08 -3.11960538e-07], Best Fitness = 9.046689020131282e-07, Evaluations = 640
Generation 80: Best Solution = [-1.88152837e-07  2.53102242e-09], Best Fitness = 5.322256773077072e-07, Evaluations = 648
Generation 81: Best Solution = [-7.05920269e-08 -1.62460129e-07], Best Fitness = 5.010120358583947e-07, Evaluations = 656
Generation 82: Best Solution = [-9.05406654e-09  2.53102242e-09], Best Fitness = 2.6590559532024827e-08, Evaluations = 664
Generation 83: Best Solution = [-9.05406654e-09  2.53102242e-09], Best Fitness = 2.6590559532024827e-08, Evaluations = 672
Generation 84: Best Solution = [-9.05406654e-09  2.53102242e-09], Best Fitness = 2.6590559532024827e-08, Evaluations = 680
Generation 85: Best Solution = [-9.05406654e-09  2.53102242e-09], Best Fitness = 2.6590559532024827e-08, Evaluations = 688
Generation 86: Best Solution = [-9.05406654e-09  2.53102242e-09], Best Fitness = 2.6590559532024827e-08, Evaluations = 696
Generation 87: Best Solution = [-9.05406654e-09  2.53102242e-09], Best Fitness = 2.6590559532024827e-08, Evaluations = 704
Generation 88: Best Solution = [-9.05406654e-09  2.53102242e-09], Best Fitness = 2.6590559532024827e-08, Evaluations = 712
Generation 89: Best Solution = [-9.05406654e-09  2.53102242e-09], Best Fitness = 2.6590559532024827e-08, Evaluations = 720
Generation 90: Best Solution = [-9.05406654e-09  2.53102242e-09], Best Fitness = 2.6590559532024827e-08, Evaluations = 728
Generation 91: Best Solution = [-9.05406654e-09  2.53102242e-09], Best Fitness = 2.6590559532024827e-08, Evaluations = 736
Generation 92: Best Solution = [ 7.53543424e-09 -2.89115405e-09], Best Fitness = 2.2828324564017066e-08, Evaluations = 744
Generation 93: Best Solution = [ 7.53543424e-09 -2.89115405e-09], Best Fitness = 2.2828324564017066e-08, Evaluations = 752
Generation 94: Best Solution = [-8.53859956e-10  5.71549493e-09], Best Fitness = 1.6345265141382015e-08, Evaluations = 760
