Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 87: Best Solution = [-3.13815105  4.43083286], Best Fitness = 0.007412290938919042, Evaluations = 1408
Generation 88: Best Solution = [-3.13815105  4.43083286], Best Fitness = 0.007412290938919042, Evaluations = 1424
Generation 89: Best Solution = [-3.13815105  4.43083286], Best Fitness = 0.007412290938919042, Evaluations = 1440
Generation 90: Best Solution = [-3.13815105  4.43083286], Best Fitness = 0.007412290938919042, Evaluations = 1456
Generation 91: Best Solution = [-3.13815105  4.43083286], Best Fitness = 0.007412290938919042, Evaluations = 1472
Generation 92: Best Solution = [-3.13846934  4.44489191], Best Fitness = 0.00740764999474941, Evaluations = 1488
Generation 93: Best Solution = [-3.13846934  4.44489191], Best Fitness = 0.00740764999474941, Evaluations = 1504
Generation 94: Best Solution = [-3.13846934  4.44489191], Best Fitness = 0.00740764999474941, Evaluations = 1520
Generation 95: Best Solution = [-3.13846934  4.44489191], Best Fitness = 0.00740764999474941, Evaluations = 1536
Generation 96: Best Solution = [-3.13846934  4.44489191], Best Fitness = 0.00740764999474941, Evaluations = 1552
Generation 97: Best Solution = [-3.14349806 -4.4375317 ], Best Fitness = 0.0074022911056599305, Evaluations = 1568
Generation 98: Best Solution = [-3.14349806 -4.4375317 ], Best Fitness = 0.0074022911056599305, Evaluations = 1584
Generation 99: Best Solution = [-3.14349806 -4.4375317 ], Best Fitness = 0.0074022911056599305, Evaluations = 1600
Generation 100: Best Solution = [-3.14349806 -4.4375317 ], Best Fitness = 0.0074022911056599305, Evaluations = 1616
Generation 101: Best Solution = [-3.13805843 -4.43475498], Best Fitness = 0.007401376747038335, Evaluations = 1632
Generation 102: Best Solution = [-3.13805843 -4.43475498], Best Fitness = 0.007401166166744688, Evaluations = 1648
Generation 103: Best Solution = [-3.13805843 -4.43475498], Best Fitness = 0.007401166166744688, Evaluations = 1664
Generation 104: Best Solution = [-3.13873807  4.4355231 ], Best Fitness = 0.007399001505597913, Evaluations = 1680
Generation 105: Best Solution = [-3.13947277  4.44075428], Best Fitness = 0.007397526706330981, Evaluations = 1696
Generation 106: Best Solution = [-3.13948154  4.43826499], Best Fitness = 0.007396194858675709, Evaluations = 1712
Generation 107: Best Solution = [-3.13948154  4.43826499], Best Fitness = 0.007396194858675709, Evaluations = 1728
Generation 108: Best Solution = [-3.13948154  4.43826499], Best Fitness = 0.007396194858675709, Evaluations = 1744
Generation 109: Best Solution = [-3.14028879  4.4389712 ], Best Fitness = 0.007396145199364712, Evaluations = 1760
Generation 110: Best Solution = [-3.13974507  4.43807036], Best Fitness = 0.007396113899794554, Evaluations = 1776
Generation 111: Best Solution = [-3.13974507  4.43807036], Best Fitness = 0.007396113899794554, Evaluations = 1792
Generation 112: Best Solution = [-3.14028879  4.43816747], Best Fitness = 0.007396094975188783, Evaluations = 1808
Generation 113: Best Solution = [-3.14028879  4.43816747], Best Fitness = 0.007396094975188783, Evaluations = 1824
Generation 114: Best Solution = [-3.14028879  4.43816747], Best Fitness = 0.007396094975188783, Evaluations = 1840
Generation 115: Best Solution = [-3.14012697  4.43807036], Best Fitness = 0.007396080807699268, Evaluations = 1856
Generation 116: Best Solution = [-3.13988663  4.43854559], Best Fitness = 0.007396052145760668, Evaluations = 1872
Generation 117: Best Solution = [-3.13988663  4.43854559], Best Fitness = 0.007396044363898402, Evaluations = 1888
Generation 118: Best Solution = [-3.13988663  4.43854559], Best Fitness = 0.007396044363898402, Evaluations = 1904
Generation 119: Best Solution = [-3.13988663  4.43854559], Best Fitness = 0.007396044363898402, Evaluations = 1920
Generation 120: Best Solution = [-3.13988663  4.43854559], Best Fitness = 0.007396044363898402, Evaluations = 1936
Generation 121: Best Solution = [-3.13988663  4.43854559], Best Fitness = 0.007396044363898402, Evaluations = 1952
Generation 122: Best Solution = [-3.13988663  4.43854559], Best Fitness = 0.007396044363898402, Evaluations = 1968
Generation 123: Best Solution = [-3.14000119  4.43837351], Best Fitness = 0.007396041824541899, Evaluations = 1984
Generation 124: Best Solution = [-3.13999854  4.43837626], Best Fitness = 0.0073960417890558405, Evaluations = 2000
