Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 56: Best Solution = [5.51191518e-06 1.00707159e-05], Best Fitness = 3.85650187158916e-11, Evaluations = 456
Generation 57: Best Solution = [5.51191518e-06 1.00707159e-05], Best Fitness = 3.85650187158916e-11, Evaluations = 464
Generation 58: Best Solution = [ 2.22320538e-06 -2.21376365e-06], Best Fitness = 9.843391657821416e-12, Evaluations = 472
Generation 59: Best Solution = [-2.08754222e-06 -1.85904091e-06], Best Fitness = 7.813865597568464e-12, Evaluations = 480
Generation 60: Best Solution = [-2.08754222e-06 -1.85904091e-06], Best Fitness = 7.813865597568464e-12, Evaluations = 488
Generation 61: Best Solution = [1.54106520e-06 8.85888711e-07], Best Fitness = 3.1596807715550353e-12, Evaluations = 496
Generation 62: Best Solution = [1.54106520e-06 8.85888711e-07], Best Fitness = 3.1596807715550353e-12, Evaluations = 504
Generation 63: Best Solution = [-1.42623943e-07  8.85888711e-07], Best Fitness = 8.051403970714795e-13, Evaluations = 512
Generation 64: Best Solution = [ 1.03019332e-07 -5.98036988e-07], Best Fitness = 3.6826122186016077e-13, Evaluations = 520
Generation 65: Best Solution = [ 1.03019332e-07 -5.98036988e-07], Best Fitness = 3.6826122186016077e-13, Evaluations = 528
Generation 66: Best Solution = [ 1.03019332e-07 -5.98036988e-07], Best Fitness = 3.6826122186016077e-13, Evaluations = 536
Generation 67: Best Solution = [-2.21974962e-07  2.92290513e-07], Best Fitness = 1.3470662792282796e-13, Evaluations = 544
Generation 68: Best Solution = [ 9.96989839e-08 -1.34623205e-07], Best Fitness = 2.806329471555322e-14, Evaluations = 552
Generation 69: Best Solution = [ 1.03184504e-07 -8.62953677e-08], Best Fitness = 1.8093932294407807e-14, Evaluations = 560
Generation 70: Best Solution = [ 1.03184504e-07 -8.62953677e-08], Best Fitness = 1.8093932294407807e-14, Evaluations = 568
Generation 71: Best Solution = [ 1.03184504e-07 -8.62953677e-08], Best Fitness = 1.8093932294407807e-14, Evaluations = 576
Generation 72: Best Solution = [5.19062281e-08 1.26897160e-08], Best Fitness = 2.855285411923497e-15, Evaluations = 584
Generation 73: Best Solution = [5.19062281e-08 1.26897160e-08], Best Fitness = 2.855285411923497e-15, Evaluations = 592
Generation 74: Best Solution = [2.19368190e-08 3.26796798e-08], Best Fitness = 1.5491854991495968e-15, Evaluations = 600
Generation 75: Best Solution = [2.19368190e-08 3.26796798e-08], Best Fitness = 1.5491854991495968e-15, Evaluations = 608
Generation 76: Best Solution = [2.19368190e-08 3.26796798e-08], Best Fitness = 1.5491854991495968e-15, Evaluations = 616
Generation 77: Best Solution = [2.56856385e-08 1.26897160e-08], Best Fitness = 8.207809163562086e-16, Evaluations = 624
Generation 78: Best Solution = [2.56856385e-08 1.26897160e-08], Best Fitness = 8.207809163562086e-16, Evaluations = 632
Generation 79: Best Solution = [-1.44255652e-08 -1.34233012e-08], Best Fitness = 3.8828194582615856e-16, Evaluations = 640
Generation 80: Best Solution = [-1.44255652e-08 -1.34233012e-08], Best Fitness = 2.6131880340087905e-16, Evaluations = 648
Generation 81: Best Solution = [-1.13300495e-08 -6.46231125e-09], Best Fitness = 1.7013148720451905e-16, Evaluations = 656
Generation 82: Best Solution = [1.23267733e-08 2.31784094e-09], Best Fitness = 1.573217256161643e-16, Evaluations = 664
Generation 83: Best Solution = [1.23267733e-08 2.31784094e-09], Best Fitness = 1.573217256161643e-16, Evaluations = 672
Generation 84: Best Solution = [-2.77710903e-09  7.12766237e-09], Best Fitness = 5.851590540184101e-17, Evaluations = 680
Generation 85: Best Solution = [-4.50828193e-09  4.04169329e-09], Best Fitness = 3.6659890637110255e-17, Evaluations = 688
Generation 86: Best Solution = [-8.21441764e-10  5.68167489e-10], Best Fitness = 9.975808663142968e-19, Evaluations = 696
Generation 87: Best Solution = [-8.21441764e-10  5.68167489e-10], Best Fitness = 9.975808663142968e-19, Evaluations = 704
Generation 88: Best Solution = [-8.21441764e-10  5.68167489e-10], Best Fitness = 9.975808663142968e-19, Evaluations = 712
Generation 89: Best Solution = [-8.21441764e-10  5.68167489e-10], Best Fitness = 9.975808663142968e-19, Evaluations = 720
Generation 90: Best Solution = [-8.21441764e-10  5.68167489e-10], Best Fitness = 9.975808663142968e-19, Evaluations = 728
Generation 91: Best Solution = [-8.21441764e-10  5.68167489e-10], Best Fitness = 9.975808663142968e-19, Evaluations = 736
Generation 92: Best Solution = [-8.21441764e-10  5.68167489e-10], Best Fitness = 9.975808663142968e-19, Evaluations = 744
Generation 93: Best Solution = [-2.74062346e-10  5.68167489e-10], Best Fitness = 3.9792446494672382e-19, Evaluations = 752
Generation 94: Best Solution = [-2.74062346e-10  5.68167489e-10], Best Fitness = 3.9792446494672382e-19, Evaluations = 760
Generation 95: Best Solution = [-2.74062346e-10  5.68167489e-10], Best Fitness = 3.9792446494672382e-19, Evaluations = 768
Generation 96: Best Solution = [3.41597907e-11 2.83427264e-10], Best Fitness = 8.149790506640668e-20, Evaluations = 776
Generation 97: Best Solution = [3.41597907e-11 2.83427264e-10], Best Fitness = 8.149790506640668e-20, Evaluations = 784
Generation 98: Best Solution = [3.41597907e-11 2.83427264e-10], Best Fitness = 8.149790506640668e-20, Evaluations = 792
Generation 99: Best Solution = [-2.30516733e-10 -1.44339131e-10], Best Fitness = 7.397174902193188e-20, Evaluations = 800
Generation 100: Best Solution = [-2.30516733e-10 -1.44339131e-10], Best Fitness = 7.397174902193188e-20, Evaluations = 808
Generation 101: Best Solution = [-6.67248396e-11 -1.02482318e-10], Best Fitness = 1.4954829645525235e-20, Evaluations = 816
Generation 102: Best Solution = [-6.67248396e-11 -1.02482318e-10], Best Fitness = 1.4954829645525235e-20, Evaluations = 824
Generation 103: Best Solution = [-1.07415544e-10  2.44598661e-11], Best Fitness = 1.2136384129889879e-20, Evaluations = 832
Generation 104: Best Solution = [-1.07415544e-10  2.44598661e-11], Best Fitness = 1.2136384129889879e-20, Evaluations = 840
Generation 105: Best Solution = [-1.07415544e-10  2.44598661e-11], Best Fitness = 1.2136384129889879e-20, Evaluations = 848
Generation 106: Best Solution = [-8.55598172e-12  2.44598661e-11], Best Fitness = 6.714898735579673e-22, Evaluations = 856
Generation 107: Best Solution = [-8.55598172e-12  2.44598661e-11], Best Fitness = 6.714898735579673e-22, Evaluations = 864
