Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 58: Best Solution = [-1.60447143e-05 -3.78579006e-06], Best Fitness = 4.6634701814429746e-05, Evaluations = 472
Generation 59: Best Solution = [-1.60447143e-05 -3.78579006e-06], Best Fitness = 4.6634701814429746e-05, Evaluations = 480
Generation 60: Best Solution = [-1.60447143e-05 -3.78579006e-06], Best Fitness = 4.6634701814429746e-05, Evaluations = 488
Generation 61: Best Solution = [-1.60447143e-05 -3.78579006e-06], Best Fitness = 4.6634701814429746e-05, Evaluations = 496
Generation 62: Best Solution = [ 4.33336830e-06 -1.04568808e-06], Best Fitness = 1.2608953131820755e-05, Evaluations = 504
Generation 63: Best Solution = [ 4.33336830e-06 -1.04568808e-06], Best Fitness = 1.2608953131820755e-05, Evaluations = 512
Generation 64: Best Solution = [ 4.33336830e-06 -1.04568808e-06], Best Fitness = 1.2608953131820755e-05, Evaluations = 520
Generation 65: Best Solution = [ 4.33336830e-06 -1.04568808e-06], Best Fitness = 1.2608953131820755e-05, Evaluations = 528
Generation 66: Best Solution = [ 4.33336830e-06 -1.04568808e-06], Best Fitness = 1.2608953131820755e-05, Evaluations = 536
Generation 67: Best Solution = [1.94568684e-06 1.56560287e-06], Best Fitness = 7.063768329818032e-06, Evaluations = 544
Generation 68: Best Solution = [1.94568684e-06 1.56560287e-06], Best Fitness = 7.063768329818032e-06, Evaluations = 552
Generation 69: Best Solution = [2.37946625e-06 1.71310139e-07], Best Fitness = 6.747718110933221e-06, Evaluations = 560
Generation 70: Best Solution = [ 1.58054073e-06 -3.52468516e-07], Best Fitness = 4.580325761782689e-06, Evaluations = 568
Generation 71: Best Solution = [ 1.58054073e-06 -3.52468516e-07], Best Fitness = 4.580325761782689e-06, Evaluations = 576
Generation 72: Best Solution = [ 1.58054073e-06 -3.52468516e-07], Best Fitness = 4.580325761782689e-06, Evaluations = 584
Generation 73: Best Solution = [-6.92094313e-07 -9.27079444e-07], Best Fitness = 3.272308039203864e-06, Evaluations = 592
Generation 74: Best Solution = [ 6.23655781e-07 -1.93789327e-07], Best Fitness = 1.8471731526581436e-06, Evaluations = 600
Generation 75: Best Solution = [-3.42946485e-08 -2.01638326e-08], Best Fitness = 1.1252392839722347e-07, Evaluations = 608
Generation 76: Best Solution = [-3.42946485e-08 -2.01638326e-08], Best Fitness = 1.1252392839722347e-07, Evaluations = 616
Generation 77: Best Solution = [-3.42946485e-08 -2.01638326e-08], Best Fitness = 1.1252392839722347e-07, Evaluations = 624
Generation 78: Best Solution = [-3.42946485e-08 -2.01638326e-08], Best Fitness = 1.1252392839722347e-07, Evaluations = 632
Generation 79: Best Solution = [-3.42946485e-08 -2.01638326e-08], Best Fitness = 1.1252392839722347e-07, Evaluations = 640
Generation 80: Best Solution = [-3.42946485e-08 -2.01638326e-08], Best Fitness = 1.1252392839722347e-07, Evaluations = 648
Generation 81: Best Solution = [-3.42946485e-08 -2.01638326e-08], Best Fitness = 1.1252392839722347e-07, Evaluations = 656
Generation 82: Best Solution = [-3.42946485e-08 -2.01638326e-08], Best Fitness = 9.854658999941535e-08, Evaluations = 664
Generation 83: Best Solution = [-3.42946485e-08 -2.01638326e-08], Best Fitness = 9.854658999941535e-08, Evaluations = 672
Generation 84: Best Solution = [1.09010623e-08 1.86407972e-08], Best Fitness = 6.107783123709964e-08, Evaluations = 680
Generation 85: Best Solution = [1.09010623e-08 1.86407972e-08], Best Fitness = 6.107783123709964e-08, Evaluations = 688
Generation 86: Best Solution = [ 1.62063537e-10 -1.76729119e-08], Best Fitness = 4.9988650108190313e-08, Evaluations = 696
Generation 87: Best Solution = [ 1.48719818e-08 -3.20345284e-10], Best Fitness = 4.207408155210146e-08, Evaluations = 704
Generation 88: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.1387340787271114e-09, Evaluations = 712
Generation 89: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.1387340787271114e-09, Evaluations = 720
Generation 90: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.1387340787271114e-09, Evaluations = 728
Generation 91: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.1387340787271114e-09, Evaluations = 736
Generation 92: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.1387340787271114e-09, Evaluations = 744
Generation 93: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.1387340787271114e-09, Evaluations = 752
Generation 94: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.1387340787271114e-09, Evaluations = 760
Generation 95: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.1387340787271114e-09, Evaluations = 768
Generation 96: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.1387340787271114e-09, Evaluations = 776
Generation 97: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.128640819165639e-09, Evaluations = 784
Generation 98: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.128640819165639e-09, Evaluations = 792
Generation 99: Best Solution = [1.62063537e-10 7.38585345e-10], Best Fitness = 2.128640819165639e-09, Evaluations = 800
Generation 100: Best Solution = [ 4.30823438e-10 -6.73586042e-11], Best Fitness = 1.233356972107913e-09, Evaluations = 808
Generation 101: Best Solution = [ 4.30823438e-10 -6.73586042e-11], Best Fitness = 1.233356972107913e-09, Evaluations = 816
Generation 102: Best Solution = [ 4.30823438e-10 -6.73586042e-11], Best Fitness = 1.233356972107913e-09, Evaluations = 824
Generation 103: Best Solution = [ 4.30823438e-10 -6.73586042e-11], Best Fitness = 1.233356972107913e-09, Evaluations = 832
Generation 104: Best Solution = [ 4.30823438e-10 -6.73586042e-11], Best Fitness = 1.233356972107913e-09, Evaluations = 840
Generation 105: Best Solution = [ 2.35012417e-10 -3.20345284e-10], Best Fitness = 1.1237522024032387e-09, Evaluations = 848
Generation 106: Best Solution = [-6.09451365e-11 -6.73586042e-11], Best Fitness = 2.569291446263833e-10, Evaluations = 856
Generation 107: Best Solution = [-6.09451365e-11 -6.73586042e-11], Best Fitness = 2.569291446263833e-10, Evaluations = 864
Generation 108: Best Solution = [-6.09451365e-11 -6.73586042e-11], Best Fitness = 2.569291446263833e-10, Evaluations = 872
Generation 109: Best Solution = [-6.09451365e-11 -6.73586042e-11], Best Fitness = 1.9171197962464248e-10, Evaluations = 880
Generation 110: Best Solution = [3.23086943e-11 5.42257832e-11], Best Fitness = 1.7853141187629262e-10, Evaluations = 888
Generation 111: Best Solution = [3.23086943e-11 5.42257832e-11], Best Fitness = 1.7853141187629262e-10, Evaluations = 896
Generation 112: Best Solution = [3.23086943e-11 5.42257832e-11], Best Fitness = 1.7853141187629262e-10, Evaluations = 904
Generation 113: Best Solution = [3.23086943e-11 5.42257832e-11], Best Fitness = 1.7853141187629262e-10, Evaluations = 912
Generation 114: Best Solution = [3.23086943e-11 5.42257832e-11], Best Fitness = 1.7853141187629262e-10, Evaluations = 920
Generation 115: Best Solution = [-7.54802279e-12 -4.88039090e-11], Best Fitness = 1.3967893508493034e-10, Evaluations = 928
Generation 116: Best Solution = [-7.54802279e-12 -2.11547330e-12], Best Fitness = 2.2172930158603776e-11, Evaluations = 936
Generation 117: Best Solution = [-7.54802279e-12 -2.11547330e-12], Best Fitness = 2.2172930158603776e-11, Evaluations = 944
Generation 118: Best Solution = [-4.24099613e-12  3.31169935e-12], Best Fitness = 1.5220269489191196e-11, Evaluations = 952
Generation 119: Best Solution = [-4.24099613e-12  3.31169935e-12], Best Fitness = 1.5220269489191196e-11, Evaluations = 960
Generation 120: Best Solution = [-4.24099613e-12  3.31169935e-12], Best Fitness = 1.5220269489191196e-11, Evaluations = 968
Generation 121: Best Solution = [-4.24099613e-12  3.31169935e-12], Best Fitness = 1.5220269489191196e-11, Evaluations = 976
Generation 122: Best Solution = [-4.24099613e-12  3.31169935e-12], Best Fitness = 1.5220269489191196e-11, Evaluations = 984
Generation 123: Best Solution = [-4.24099613e-12  3.31169935e-12], Best Fitness = 1.5220269489191196e-11, Evaluations = 992
Generation 124: Best Solution = [-1.16732141e-12  4.95908150e-12], Best Fitness = 1.4410250770424682e-11, Evaluations = 1000
Generation 125: Best Solution = [-1.16732141e-12  4.95908150e-12], Best Fitness = 1.4410250770424682e-11, Evaluations = 1008
Generation 126: Best Solution = [ 4.12891446e-12 -2.49482237e-12], Best Fitness = 1.3646417329482574e-11, Evaluations = 1016
Generation 127: Best Solution = [-2.21114816e-12  1.38604295e-12], Best Fitness = 7.382983113757291e-12, Evaluations = 1024
Generation 128: Best Solution = [1.61283649e-12 2.56115340e-13], Best Fitness = 4.618971871650501e-12, Evaluations = 1032
Generation 129: Best Solution = [1.61283649e-12 2.56115340e-13], Best Fitness = 4.618971871650501e-12, Evaluations = 1040
