Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 25: Best Solution = [-12.64979658   0.95189931], Best Fitness = 0.2610539456627411, Evaluations = 208
Generation 26: Best Solution = [-12.64979658   0.95189931], Best Fitness = 0.2610539456627411, Evaluations = 216
Generation 27: Best Solution = [-12.64979658   0.95189931], Best Fitness = 0.2610539456627411, Evaluations = 224
Generation 28: Best Solution = [ 2.50290891 13.28797971], Best Fitness = 0.2431595768621413, Evaluations = 232
Generation 29: Best Solution = [ 2.50290891 13.28797971], Best Fitness = 0.2431595768621413, Evaluations = 240
Generation 30: Best Solution = [ 2.50290891 13.28797971], Best Fitness = 0.2431595768621413, Evaluations = 248
Generation 31: Best Solution = [ 2.50290891 13.28797971], Best Fitness = 0.2431595768621413, Evaluations = 256
Generation 32: Best Solution = [-12.67418537 -17.31655054], Best Fitness = 0.17194008431911, Evaluations = 264
Generation 33: Best Solution = [-12.67418537 -17.31655054], Best Fitness = 0.17194008431911, Evaluations = 272
Generation 34: Best Solution = [-12.67418537 -17.31655054], Best Fitness = 0.17194008431911, Evaluations = 280
Generation 35: Best Solution = [-12.67418537 -17.31655054], Best Fitness = 0.17194008431911, Evaluations = 288
Generation 36: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 296
Generation 37: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 304
Generation 38: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 312
Generation 39: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 320
Generation 40: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 328
Generation 41: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 336
Generation 42: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 344
Generation 43: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 352
Generation 44: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 360
Generation 45: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 368
