Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [1.05456017 2.11190153], Best Fitness = 8.525665299449102, Evaluations = 16
Generation 1: Best Solution = [1.05456017 2.11190153], Best Fitness = 8.525665299449102, Evaluations = 32
Generation 2: Best Solution = [1.05456017 2.11190153], Best Fitness = 8.525665299449102, Evaluations = 48
Generation 3: Best Solution = [-0.99471627  0.86431527], Best Fitness = 5.161226048507141, Evaluations = 64
Generation 4: Best Solution = [-0.99471627  0.86431527], Best Fitness = 5.161226048507141, Evaluations = 80
Generation 5: Best Solution = [-0.99471627  0.86431527], Best Fitness = 5.161226048507141, Evaluations = 96
Generation 6: Best Solution = [ 1.98543779 -1.00392201], Best Fitness = 4.994688170744901, Evaluations = 112
Generation 7: Best Solution = [ 1.98543779 -1.00392201], Best Fitness = 4.994688170744901, Evaluations = 128
Generation 8: Best Solution = [ 1.98543779 -1.00392201], Best Fitness = 4.994688170744901, Evaluations = 144
Generation 9: Best Solution = [ 1.98543779 -1.00392201], Best Fitness = 4.994688170744901, Evaluations = 160
Generation 10: Best Solution = [ 1.98543779 -1.00392201], Best Fitness = 4.994688170744901, Evaluations = 176
Generation 11: Best Solution = [0.13650478 0.01250783], Best Fitness = 3.5077529399929226, Evaluations = 192
Generation 12: Best Solution = [0.13650478 0.01250783], Best Fitness = 3.5077529399929226, Evaluations = 208
Generation 13: Best Solution = [-0.99471627 -1.02178589], Best Fitness = 2.1325581655724264, Evaluations = 224
Generation 14: Best Solution = [-0.99471627 -1.02178589], Best Fitness = 2.1325581655724264, Evaluations = 240
Generation 15: Best Solution = [-0.03862781  0.00083043], Best Fitness = 0.2947161490186545, Evaluations = 256
Generation 16: Best Solution = [-0.03862781  0.00083043], Best Fitness = 0.2947161490186545, Evaluations = 272
Generation 17: Best Solution = [-0.03862781  0.00083043], Best Fitness = 0.2947161490186545, Evaluations = 288
Generation 18: Best Solution = [-0.03862781  0.00083043], Best Fitness = 0.2947161490186545, Evaluations = 304
Generation 19: Best Solution = [-0.03862781  0.00083043], Best Fitness = 0.2947161490186545, Evaluations = 320
Generation 20: Best Solution = [-0.03862781  0.00083043], Best Fitness = 0.2947161490186545, Evaluations = 336
Generation 21: Best Solution = [-0.03862781  0.00083043], Best Fitness = 0.2947161490186545, Evaluations = 352
Generation 22: Best Solution = [-0.03862781  0.00083043], Best Fitness = 0.2947161490186545, Evaluations = 368
