Algorithm: Cross-Entropy Method
Objective Function: Rastrigin
Dimension: 10
Population Size: 8
Max Evaluations: 10000

  3.49862725 -4.06600113  2.97256197 -1.95206745], Best Fitness = 118.26208511283345, Evaluations = 208
Generation 27: Best Solution = [-0.1520599  -0.93660583  2.02013296 -0.97045623 -1.56061397 -4.16550091
  3.50068123 -4.06242069  2.97757815 -1.9568182 ], Best Fitness = 117.86931887247025, Evaluations = 216
Generation 28: Best Solution = [-0.15228677 -0.94355497  2.02314794 -0.96442082 -1.55974553 -4.16121605
  3.48985076 -4.06483493  2.97022498 -1.95266769], Best Fitness = 117.65959818220193, Evaluations = 224
Generation 29: Best Solution = [-0.14801647 -0.94315652  2.01780547 -0.96899074 -1.56395171 -4.16163825
  3.49575807 -4.06635191  2.97418578 -1.95347394], Best Fitness = 117.34995909246602, Evaluations = 232
Generation 30: Best Solution = [-0.14872394 -0.94764431  2.01896518 -0.96843133 -1.56921578 -4.15881664
  3.49469626 -4.0699866   2.97063265 -1.94583311], Best Fitness = 117.27912075629236, Evaluations = 240
Generation 31: Best Solution = [-0.14718288 -0.94415127  2.02030694 -0.96787153 -1.5758967  -4.15612559
  3.4901884  -4.07062643  2.97252501 -1.94704355], Best Fitness = 116.90906621377107, Evaluations = 248
Generation 32: Best Solution = [-0.14384686 -0.95135707  2.02251263 -0.95816263 -1.57873139 -4.15338484
  3.48968742 -4.07862396  2.96324718 -1.95833964], Best Fitness = 116.70451657426676, Evaluations = 256
Generation 33: Best Solution = [-0.14753341 -0.95619679  2.01907572 -0.97256942 -1.57262449 -4.15254706
  3.49179132 -4.07186727  2.97448774 -1.94597978], Best Fitness = 116.59321369235133, Evaluations = 264
Generation 34: Best Solution = [-0.14760759 -0.95796479  2.02039176 -0.967185   -1.57393507 -4.14646558
  3.49552769 -4.06259822  2.9725976  -1.94311081], Best Fitness = 116.0282653252629, Evaluations = 272
Generation 35: Best Solution = [-0.1411809  -0.95612638  2.01267658 -0.96799444 -1.58125908 -4.14690601
  3.49618662 -4.0588785   2.96828342 -1.93818156], Best Fitness = 115.48529763628295, Evaluations = 280
Generation 36: Best Solution = [-0.13939545 -0.95726864  2.01076359 -0.96291763 -1.57899856 -4.14167091
  3.49598147 -4.06418148  2.96941966 -1.94316849], Best Fitness = 115.24753573130026, Evaluations = 288
Generation 37: Best Solution = [-0.13505527 -0.95907823  2.01424777 -0.95512308 -1.57457466 -4.13457365
  3.50159961 -4.06638366  2.97162628 -1.95368964], Best Fitness = 114.80347583387892, Evaluations = 296
Generation 38: Best Solution = [-0.13166767 -0.95796021  2.00677434 -0.96465605 -1.57776614 -4.14589092
  3.49348489 -4.06144409  2.97064724 -1.9436962 ], Best Fitness = 114.96726373551758, Evaluations = 304
Generation 39: Best Solution = [-0.13509493 -0.95759797  2.00787856 -0.96594741 -1.58300503 -4.14805061
  3.48690789 -4.05199623  2.97802038 -1.94303086], Best Fitness = 114.73591478578477, Evaluations = 312
Generation 40: Best Solution = [-0.13945256 -0.95666317  2.00511679 -0.97334109 -1.58718438 -4.1411715
  3.48598159 -4.05311718  2.97756838 -1.93435825], Best Fitness = 114.54143757950757, Evaluations = 320
Generation 41: Best Solution = [-0.1296651  -0.96101144  2.01069634 -0.96281977 -1.57829886 -4.14225699
  3.48777167 -4.05275964  2.97573103 -1.94577328], Best Fitness = 114.27753323634968, Evaluations = 328
Generation 42: Best Solution = [-0.13321586 -0.95438781  2.00356123 -0.95796148 -1.5799453  -4.13290154
  3.47756836 -4.04155886  2.96971643 -1.93091025], Best Fitness = 113.87447541369211, Evaluations = 336
Generation 43: Best Solution = [-0.1312124  -0.95627203  1.99948453 -0.96264367 -1.57811944 -4.1327536
  3.47830824 -4.04416152  2.97508593 -1.93588618], Best Fitness = 113.65221489668352, Evaluations = 344
Generation 44: Best Solution = [-0.12731846 -0.95718248  2.00152993 -0.9628757  -1.56898564 -4.13278665
