Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 57: Best Solution = [ 5.13056768e-06 -5.96137873e-06], Best Fitness = 2.2247682605058827e-05, Evaluations = 464
Generation 58: Best Solution = [ 5.13056768e-06 -5.96137873e-06], Best Fitness = 1.539704879549575e-05, Evaluations = 472
Generation 59: Best Solution = [ 5.13056768e-06 -5.96137873e-06], Best Fitness = 1.5260605675582184e-05, Evaluations = 480
Generation 60: Best Solution = [ 5.13056768e-06 -5.96137873e-06], Best Fitness = 1.5260605675582184e-05, Evaluations = 488
Generation 61: Best Solution = [ 5.13056768e-06 -5.96137873e-06], Best Fitness = 1.5260605675582184e-05, Evaluations = 496
Generation 62: Best Solution = [ 1.16567811e-06 -3.05410322e-06], Best Fitness = 9.246408908314407e-06, Evaluations = 504
Generation 63: Best Solution = [ 1.63005714e-06 -7.39853413e-07], Best Fitness = 5.063261700133381e-06, Evaluations = 512
Generation 64: Best Solution = [ 1.63005714e-06 -7.39853413e-07], Best Fitness = 4.623552453342228e-06, Evaluations = 520
Generation 65: Best Solution = [ 1.16567811e-06 -6.89980836e-07], Best Fitness = 3.831371352180923e-06, Evaluations = 528
Generation 66: Best Solution = [ 1.16567811e-06 -6.89980836e-07], Best Fitness = 3.831371352180923e-06, Evaluations = 536
Generation 67: Best Solution = [ 1.16567811e-06 -6.89980836e-07], Best Fitness = 3.831371352180923e-06, Evaluations = 544
Generation 68: Best Solution = [4.05908912e-07 1.40514392e-07], Best Fitness = 1.2149331891642134e-06, Evaluations = 552
Generation 69: Best Solution = [4.05908912e-07 1.40514392e-07], Best Fitness = 1.2149331891642134e-06, Evaluations = 560
Generation 70: Best Solution = [4.05908912e-07 1.40514392e-07], Best Fitness = 1.2149331891642134e-06, Evaluations = 568
Generation 71: Best Solution = [4.05908912e-07 1.40514392e-07], Best Fitness = 1.2149331891642134e-06, Evaluations = 576
Generation 72: Best Solution = [ 9.41061518e-08 -3.48448065e-07], Best Fitness = 1.0208737752925856e-06, Evaluations = 584
Generation 73: Best Solution = [ 9.41061518e-08 -3.48448065e-07], Best Fitness = 1.0208737752925856e-06, Evaluations = 592
Generation 74: Best Solution = [ 1.11806181e-08 -2.08510279e-07], Best Fitness = 5.90604532835215e-07, Evaluations = 600
Generation 75: Best Solution = [ 1.63963971e-07 -1.12566198e-07], Best Fitness = 5.625334194014897e-07, Evaluations = 608
Generation 76: Best Solution = [ 1.63963971e-07 -1.12566198e-07], Best Fitness = 5.625334194014897e-07, Evaluations = 616
Generation 77: Best Solution = [1.11806181e-08 8.68960842e-08], Best Fitness = 2.478055454169237e-07, Evaluations = 624
Generation 78: Best Solution = [-2.25640028e-08 -2.59854146e-08], Best Fitness = 9.733968342473531e-08, Evaluations = 632
Generation 79: Best Solution = [-2.25640028e-08 -2.59854146e-08], Best Fitness = 9.733968342473531e-08, Evaluations = 640
Generation 80: Best Solution = [-2.25640028e-08 -2.59854146e-08], Best Fitness = 9.733968342473531e-08, Evaluations = 648
Generation 81: Best Solution = [-2.25640028e-08 -2.59854146e-08], Best Fitness = 9.733968342473531e-08, Evaluations = 656
Generation 82: Best Solution = [-2.25640028e-08 -2.59854146e-08], Best Fitness = 9.733968342473531e-08, Evaluations = 664
Generation 83: Best Solution = [-2.25640028e-08 -2.59854146e-08], Best Fitness = 9.733968342473531e-08, Evaluations = 672
Generation 84: Best Solution = [-1.61359938e-08  1.44656080e-09], Best Fitness = 4.582252133289444e-08, Evaluations = 680
Generation 85: Best Solution = [-1.61359938e-08  1.44656080e-09], Best Fitness = 4.582252133289444e-08, Evaluations = 688
Generation 86: Best Solution = [-1.61359938e-08  1.44656080e-09], Best Fitness = 4.582252133289444e-08, Evaluations = 696
Generation 87: Best Solution = [-1.61359938e-08  1.44656080e-09], Best Fitness = 4.582252133289444e-08, Evaluations = 704
Generation 88: Best Solution = [-6.62186315e-09 -1.34889191e-08], Best Fitness = 4.250177143561018e-08, Evaluations = 712
Generation 89: Best Solution = [ 1.30357525e-08 -7.29235210e-09], Best Fitness = 4.224777372385802e-08, Evaluations = 720
Generation 90: Best Solution = [-6.62186315e-09 -3.77683876e-09], Best Fitness = 2.156174305767422e-08, Evaluations = 728
Generation 91: Best Solution = [-4.63896215e-09 -5.65928119e-09], Best Fitness = 2.069733229248527e-08, Evaluations = 736
Generation 92: Best Solution = [-4.63896215e-09  1.44656080e-09], Best Fitness = 1.3744092530743046e-08, Evaluations = 744
Generation 93: Best Solution = [4.60758609e-10 1.44656080e-09], Best Fitness = 4.294030464535581e-09, Evaluations = 752
Generation 94: Best Solution = [4.60758609e-10 1.44656080e-09], Best Fitness = 4.294030464535581e-09, Evaluations = 760
Generation 95: Best Solution = [4.60758609e-10 1.44656080e-09], Best Fitness = 4.294030464535581e-09, Evaluations = 768
Generation 96: Best Solution = [4.60758609e-10 1.44656080e-09], Best Fitness = 2.998362891304396e-09, Evaluations = 776
Generation 97: Best Solution = [4.60758609e-10 1.44656080e-09], Best Fitness = 2.1198016675327835e-09, Evaluations = 784
Generation 98: Best Solution = [ 4.26615240e-10 -1.75148846e-10], Best Fitness = 1.3043863766881714e-09, Evaluations = 792
Generation 99: Best Solution = [ 4.26615240e-10 -1.75148846e-10], Best Fitness = 1.3043863766881714e-09, Evaluations = 800
Generation 100: Best Solution = [ 4.26615240e-10 -1.75148846e-10], Best Fitness = 1.3043863766881714e-09, Evaluations = 808
Generation 101: Best Solution = [ 4.26615240e-10 -1.75148846e-10], Best Fitness = 1.2730585474685086e-09, Evaluations = 816
Generation 102: Best Solution = [ 4.26615240e-10 -1.75148846e-10], Best Fitness = 1.230436641463939e-09, Evaluations = 824
Generation 103: Best Solution = [1.21789648e-10 2.25221776e-10], Best Fitness = 7.241962585169404e-10, Evaluations = 832
Generation 104: Best Solution = [1.21789648e-10 2.25221776e-10], Best Fitness = 7.241962585169404e-10, Evaluations = 840
Generation 105: Best Solution = [ 1.08055597e-10 -8.51234074e-11], Best Fitness = 3.890723299093679e-10, Evaluations = 848
Generation 106: Best Solution = [ 1.08055597e-10 -8.51234074e-11], Best Fitness = 3.890723299093679e-10, Evaluations = 856
Generation 107: Best Solution = [ 1.08055597e-10 -8.51234074e-11], Best Fitness = 3.890723299093679e-10, Evaluations = 864
Generation 108: Best Solution = [ 1.08055597e-10 -8.51234074e-11], Best Fitness = 3.8717162809120964e-10, Evaluations = 872
Generation 109: Best Solution = [ 1.08055597e-10 -8.51234074e-11], Best Fitness = 3.8717162809120964e-10, Evaluations = 880
Generation 110: Best Solution = [ 1.08055597e-10 -8.51234074e-11], Best Fitness = 3.8717162809120964e-10, Evaluations = 888
Generation 111: Best Solution = [1.08055597e-10 1.86659611e-11], Best Fitness = 3.101559009621724e-10, Evaluations = 896
Generation 112: Best Solution = [1.11856014e-11 8.86262076e-11], Best Fitness = 2.526623354981439e-10, Evaluations = 904
Generation 113: Best Solution = [1.11856014e-11 8.86262076e-11], Best Fitness = 2.526623354981439e-10, Evaluations = 912
Generation 114: Best Solution = [1.21852244e-11 1.86659611e-11], Best Fitness = 6.305045374688234e-11, Evaluations = 920
Generation 115: Best Solution = [1.21852244e-11 1.86659611e-11], Best Fitness = 6.305045374688234e-11, Evaluations = 928
Generation 116: Best Solution = [1.21852244e-11 4.83336030e-12], Best Fitness = 3.707656404117188e-11, Evaluations = 936
Generation 117: Best Solution = [1.21852244e-11 4.83336030e-12], Best Fitness = 3.707656404117188e-11, Evaluations = 944
Generation 118: Best Solution = [1.21852244e-11 4.83336030e-12], Best Fitness = 3.707656404117188e-11, Evaluations = 952
Generation 119: Best Solution = [1.21852244e-11 4.83336030e-12], Best Fitness = 3.707656404117188e-11, Evaluations = 960
Generation 120: Best Solution = [1.21852244e-11 4.83336030e-12], Best Fitness = 3.707656404117188e-11, Evaluations = 968
Generation 121: Best Solution = [1.21852244e-11 4.83336030e-12], Best Fitness = 3.707656404117188e-11, Evaluations = 976
Generation 122: Best Solution = [1.21852244e-11 4.83336030e-12], Best Fitness = 3.707656404117188e-11, Evaluations = 984
Generation 123: Best Solution = [ 5.20219419e-12 -2.38840126e-12], Best Fitness = 1.6193713037182533e-11, Evaluations = 992
Generation 124: Best Solution = [ 5.20219419e-12 -2.38840126e-12], Best Fitness = 1.6193713037182533e-11, Evaluations = 1000
Generation 125: Best Solution = [ 5.20219419e-12 -2.38840126e-12], Best Fitness = 1.6193713037182533e-11, Evaluations = 1008
Generation 126: Best Solution = [ 5.20219419e-12 -2.38840126e-12], Best Fitness = 1.6193713037182533e-11, Evaluations = 1016
