Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 75: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1216
Generation 76: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1232
Generation 77: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1248
Generation 78: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1264
Generation 79: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1280
Generation 80: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1296
Generation 81: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1312
Generation 82: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1328
Generation 83: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1344
Generation 84: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1360
Generation 85: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1376
Generation 86: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1392
Generation 87: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.007668017220924028, Evaluations = 1408
Generation 88: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.0076288356977501914, Evaluations = 1424
Generation 89: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.0076288356977501914, Evaluations = 1440
Generation 90: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.0076288356977501914, Evaluations = 1456
Generation 91: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.0076288356977501914, Evaluations = 1472
Generation 92: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.0076288356977501914, Evaluations = 1488
Generation 93: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.0076288356977501914, Evaluations = 1504
Generation 94: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.0076288356977501914, Evaluations = 1520
Generation 95: Best Solution = [  3.12095979 -13.63535689], Best Fitness = 0.0076288356977501914, Evaluations = 1536
Generation 96: Best Solution = [ 3.15129757 -4.43688198], Best Fitness = 0.007460244271214389, Evaluations = 1552
Generation 97: Best Solution = [ 3.15129757 -4.43688198], Best Fitness = 0.007460244271214389, Evaluations = 1568
Generation 98: Best Solution = [ 3.15129757 -4.43688198], Best Fitness = 0.007460244271214389, Evaluations = 1584
Generation 99: Best Solution = [ 3.15129757 -4.43688198], Best Fitness = 0.007460244271214389, Evaluations = 1600
Generation 100: Best Solution = [ 3.15129757 -4.43688198], Best Fitness = 0.007460244271214389, Evaluations = 1616
Generation 101: Best Solution = [ 3.15129757 -4.43688198], Best Fitness = 0.007460244271214389, Evaluations = 1632
Generation 102: Best Solution = [ 3.15129757 -4.43688198], Best Fitness = 0.007460244271214389, Evaluations = 1648
Generation 103: Best Solution = [ 3.15129757 -4.43688198], Best Fitness = 0.007460244271214389, Evaluations = 1664
Generation 104: Best Solution = [ 3.13864914 -4.42322469], Best Fitness = 0.0074549506134090615, Evaluations = 1680
Generation 105: Best Solution = [ 3.13864914 -4.42322469], Best Fitness = 0.007447975837861942, Evaluations = 1696
Generation 106: Best Solution = [ 3.14176433 -4.43688198], Best Fitness = 0.0073981688007414, Evaluations = 1712
Generation 107: Best Solution = [ 3.14176433 -4.43688198], Best Fitness = 0.0073981688007414, Evaluations = 1728
Generation 108: Best Solution = [ 3.14176433 -4.43688198], Best Fitness = 0.0073981688007414, Evaluations = 1744
Generation 109: Best Solution = [ 3.14176433 -4.43688198], Best Fitness = 0.0073981688007414, Evaluations = 1760
Generation 110: Best Solution = [ 3.14176433 -4.43688198], Best Fitness = 0.0073981688007414, Evaluations = 1776
Generation 111: Best Solution = [ 3.14176433 -4.43688198], Best Fitness = 0.0073981688007414, Evaluations = 1792
Generation 112: Best Solution = [ 3.13872428 -4.4368879 ], Best Fitness = 0.00739748994080347, Evaluations = 1808
Generation 113: Best Solution = [ 3.13872428 -4.4368879 ], Best Fitness = 0.00739748994080347, Evaluations = 1824
Generation 114: Best Solution = [ 3.13872428 -4.4368879 ], Best Fitness = 0.00739748994080347, Evaluations = 1840
Generation 115: Best Solution = [ 3.13872428 -4.4368879 ], Best Fitness = 0.00739748994080347, Evaluations = 1856
Generation 116: Best Solution = [ 3.13966289 -4.43700386], Best Fitness = 0.007396624436956767, Evaluations = 1872
Generation 117: Best Solution = [ 3.13966289 -4.43700386], Best Fitness = 0.007396624436956767, Evaluations = 1888
Generation 118: Best Solution = [ 3.13966289 -4.43700386], Best Fitness = 0.007396624436956767, Evaluations = 1904
Generation 119: Best Solution = [ 3.14038757 -4.43889917], Best Fitness = 0.007396158693396049, Evaluations = 1920
Generation 120: Best Solution = [ 3.13979307 -4.43813174], Best Fitness = 0.007396091171401387, Evaluations = 1936
Generation 121: Best Solution = [ 3.14003293 -4.43875497], Best Fitness = 0.007396064511980827, Evaluations = 1952
Generation 122: Best Solution = [ 3.14003293 -4.43875497], Best Fitness = 0.007396064511980827, Evaluations = 1968
Generation 123: Best Solution = [ 3.14003293 -4.43875497], Best Fitness = 0.007396064511980827, Evaluations = 1984
Generation 124: Best Solution = [ 3.14004156 -4.43843822], Best Fitness = 0.007396040523092173, Evaluations = 2000
