Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 22: Best Solution = [0.04227739 0.01574756], Best Fitness = 0.40169027864720874, Evaluations = 184
Generation 23: Best Solution = [0.04227739 0.01574756], Best Fitness = 0.40169027864720874, Evaluations = 192
Generation 24: Best Solution = [-0.0078726  -0.02430374], Best Fitness = 0.12925161910022354, Evaluations = 200
Generation 25: Best Solution = [0.01878303 0.00265   ], Best Fitness = 0.07130554556594859, Evaluations = 208
Generation 26: Best Solution = [0.00016916 0.00265   ], Best Fitness = 0.0013988551599410926, Evaluations = 216
Generation 27: Best Solution = [0.00016916 0.00265   ], Best Fitness = 0.0013988551599410926, Evaluations = 224
Generation 28: Best Solution = [0.00016916 0.00265   ], Best Fitness = 0.0013988551599410926, Evaluations = 232
Generation 29: Best Solution = [0.00016916 0.00265   ], Best Fitness = 0.0013988551599410926, Evaluations = 240
Generation 30: Best Solution = [0.00016916 0.00265   ], Best Fitness = 0.0013988551599410926, Evaluations = 248
Generation 31: Best Solution = [0.00016916 0.00265   ], Best Fitness = 0.0013988551599410926, Evaluations = 256
Generation 32: Best Solution = [0.00016916 0.00265   ], Best Fitness = 0.0013988551599410926, Evaluations = 264
Generation 33: Best Solution = [0.00016916 0.00265   ], Best Fitness = 0.0013988551599410926, Evaluations = 272
Generation 34: Best Solution = [0.00016916 0.00125273], Best Fitness = 0.0003170199186470768, Evaluations = 280
Generation 35: Best Solution = [0.00016916 0.00125273], Best Fitness = 0.0003170199186470768, Evaluations = 288
Generation 36: Best Solution = [0.00016916 0.00125273], Best Fitness = 0.0003170199186470768, Evaluations = 296
Generation 37: Best Solution = [0.00016916 0.00125273], Best Fitness = 0.0003170199186470768, Evaluations = 304
Generation 38: Best Solution = [0.00016916 0.00125273], Best Fitness = 0.0003170199186470768, Evaluations = 312
Generation 39: Best Solution = [-1.90055123e-05 -9.14604771e-04], Best Fitness = 0.00016602656285513717, Evaluations = 320
Generation 40: Best Solution = [-1.90055123e-05 -9.14604771e-04], Best Fitness = 0.00016602656285513717, Evaluations = 328
Generation 41: Best Solution = [-1.90055123e-05 -9.14604771e-04], Best Fitness = 0.00013954381228131751, Evaluations = 336
Generation 42: Best Solution = [ 0.00026237 -0.00028284], Best Fitness = 2.952698883973426e-05, Evaluations = 344
Generation 43: Best Solution = [-1.90055123e-05 -2.40763311e-04], Best Fitness = 1.1571847565505777e-05, Evaluations = 352
