Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 64: Best Solution = [1.27551659 1.6214546 ], Best Fitness = 0.07892118097563576, Evaluations = 1040
Generation 65: Best Solution = [1.27551659 1.6214546 ], Best Fitness = 0.07892118097563576, Evaluations = 1056
Generation 66: Best Solution = [1.27551659 1.6214546 ], Best Fitness = 0.07892118097563576, Evaluations = 1072
Generation 67: Best Solution = [1.27551659 1.6214546 ], Best Fitness = 0.07892118097563576, Evaluations = 1088
Generation 68: Best Solution = [1.27551659 1.6214546 ], Best Fitness = 0.07892118097563576, Evaluations = 1104
Generation 69: Best Solution = [1.27551659 1.6214546 ], Best Fitness = 0.07892118097563576, Evaluations = 1120
Generation 70: Best Solution = [1.17105435 1.35971161], Best Fitness = 0.04284742607365656, Evaluations = 1136
Generation 71: Best Solution = [1.17105435 1.35971161], Best Fitness = 0.04284742607365656, Evaluations = 1152
Generation 72: Best Solution = [1.17105435 1.35971161], Best Fitness = 0.04284742607365656, Evaluations = 1168
Generation 73: Best Solution = [1.17105435 1.35971161], Best Fitness = 0.04284742607365656, Evaluations = 1184
Generation 74: Best Solution = [1.17105435 1.35971161], Best Fitness = 0.04284742607365656, Evaluations = 1200
Generation 75: Best Solution = [1.17105435 1.35971161], Best Fitness = 0.04284742607365656, Evaluations = 1216
Generation 76: Best Solution = [1.17105435 1.35971161], Best Fitness = 0.04284742607365656, Evaluations = 1232
Generation 77: Best Solution = [1.17105435 1.35971161], Best Fitness = 0.04284742607365656, Evaluations = 1248
Generation 78: Best Solution = [1.17105435 1.35971161], Best Fitness = 0.04284742607365656, Evaluations = 1264
Generation 79: Best Solution = [0.84844288 0.73242602], Best Fitness = 0.03877179672785465, Evaluations = 1280
Generation 80: Best Solution = [0.84844288 0.73242602], Best Fitness = 0.03877179672785465, Evaluations = 1296
Generation 81: Best Solution = [0.84844288 0.73242602], Best Fitness = 0.03877179672785465, Evaluations = 1312
Generation 82: Best Solution = [0.84844288 0.73242602], Best Fitness = 0.03877179672785465, Evaluations = 1328
Generation 83: Best Solution = [0.84844288 0.73242602], Best Fitness = 0.03877179672785465, Evaluations = 1344
Generation 84: Best Solution = [0.84844288 0.73242602], Best Fitness = 0.03877179672785465, Evaluations = 1360
Generation 85: Best Solution = [0.84844288 0.73242602], Best Fitness = 0.03877179672785465, Evaluations = 1376
Generation 86: Best Solution = [0.84844288 0.73242602], Best Fitness = 0.03877179672785465, Evaluations = 1392
Generation 87: Best Solution = [0.84844288 0.73242602], Best Fitness = 0.03877179672785465, Evaluations = 1408
Generation 88: Best Solution = [0.84844288 0.73242602], Best Fitness = 0.03877179672785465, Evaluations = 1424
Generation 89: Best Solution = [0.84844288 0.73242602], Best Fitness = 0.03877179672785465, Evaluations = 1440
Generation 90: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1456
Generation 91: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1472
Generation 92: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1488
