Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 59: Best Solution = [ 1.70970051e-05 -5.52263049e-05], Best Fitness = 6.630764133319644e-07, Evaluations = 960
Generation 60: Best Solution = [ 1.70970051e-05 -5.52263049e-05], Best Fitness = 6.630764133319644e-07, Evaluations = 976
Generation 61: Best Solution = [ 1.70970051e-05 -5.52263049e-05], Best Fitness = 6.630764133319644e-07, Evaluations = 992
Generation 62: Best Solution = [-5.08987088e-05 -5.60613935e-06], Best Fitness = 5.202053472430634e-07, Evaluations = 1008
Generation 63: Best Solution = [-5.08987088e-05 -5.60613935e-06], Best Fitness = 5.202053472430634e-07, Evaluations = 1024
Generation 64: Best Solution = [-2.96500245e-07  4.89672603e-05], Best Fitness = 4.7572051187216857e-07, Evaluations = 1040
Generation 65: Best Solution = [1.70970051e-05 1.78075289e-05], Best Fitness = 1.209032447491154e-07, Evaluations = 1056
Generation 66: Best Solution = [3.54852804e-06 2.11992731e-05], Best Fitness = 9.165739101035797e-08, Evaluations = 1072
Generation 67: Best Solution = [3.54852804e-06 2.11992731e-05], Best Fitness = 9.165739101035797e-08, Evaluations = 1088
Generation 68: Best Solution = [3.54852804e-06 2.11992731e-05], Best Fitness = 9.165739101035797e-08, Evaluations = 1104
Generation 69: Best Solution = [-1.42037113e-05  3.15922980e-06], Best Fitness = 4.2004792533134605e-08, Evaluations = 1120
Generation 70: Best Solution = [-2.49604463e-06  1.16851241e-06], Best Fitness = 1.5069190340000205e-09, Evaluations = 1136
Generation 71: Best Solution = [-2.49604463e-06  1.16851241e-06], Best Fitness = 1.5069190340000205e-09, Evaluations = 1152
Generation 72: Best Solution = [-2.49604463e-06  1.16851241e-06], Best Fitness = 1.5069190340000205e-09, Evaluations = 1168
Generation 73: Best Solution = [-2.49604463e-06  1.16851241e-06], Best Fitness = 1.5069190340000205e-09, Evaluations = 1184
Generation 74: Best Solution = [-3.68618834e-07  4.88628506e-07], Best Fitness = 7.432277016050648e-11, Evaluations = 1200
Generation 75: Best Solution = [-3.68618834e-07  4.88628506e-07], Best Fitness = 7.432277016050648e-11, Evaluations = 1216
Generation 76: Best Solution = [-3.68618834e-07  4.88628506e-07], Best Fitness = 7.432277016050648e-11, Evaluations = 1232
Generation 77: Best Solution = [-3.68618834e-07  4.88628506e-07], Best Fitness = 7.432277016050648e-11, Evaluations = 1248
Generation 78: Best Solution = [-3.68618834e-07  4.88628506e-07], Best Fitness = 7.432277016050648e-11, Evaluations = 1264
Generation 79: Best Solution = [-3.68618834e-07  4.88628506e-07], Best Fitness = 7.432277016050648e-11, Evaluations = 1280
Generation 80: Best Solution = [-3.68618834e-07  4.88628506e-07], Best Fitness = 7.432277016050648e-11, Evaluations = 1296
Generation 81: Best Solution = [-3.58243977e-07 -4.35550102e-07], Best Fitness = 6.30961949354969e-11, Evaluations = 1312
Generation 82: Best Solution = [-3.58243977e-07 -4.35550102e-07], Best Fitness = 6.30961949354969e-11, Evaluations = 1328
Generation 83: Best Solution = [-3.58243977e-07 -4.35550102e-07], Best Fitness = 6.30961949354969e-11, Evaluations = 1344
Generation 84: Best Solution = [-3.58243977e-07 -4.35550102e-07], Best Fitness = 6.30961949354969e-11, Evaluations = 1360
Generation 85: Best Solution = [-3.58243977e-07 -4.35550102e-07], Best Fitness = 6.30961949354969e-11, Evaluations = 1376
Generation 86: Best Solution = [1.96920647e-07 3.16179728e-07], Best Fitness = 2.752642558334628e-11, Evaluations = 1392
Generation 87: Best Solution = [-2.07525744e-07 -2.12260678e-07], Best Fitness = 1.7479351299698465e-11, Evaluations = 1408
Generation 88: Best Solution = [ 1.92111322e-07 -1.59500297e-07], Best Fitness = 1.2370549029583344e-11, Evaluations = 1424
Generation 89: Best Solution = [ 5.67155809e-08 -1.78655830e-07], Best Fitness = 6.970424237806583e-12, Evaluations = 1440
Generation 90: Best Solution = [1.31161519e-08 1.45060603e-07], Best Fitness = 4.206412995699793e-12, Evaluations = 1456
Generation 91: Best Solution = [ 5.67155809e-08 -7.03022428e-08], Best Fitness = 1.6200374375330284e-12, Evaluations = 1472
Generation 92: Best Solution = [ 5.67155809e-08 -7.03022428e-08], Best Fitness = 7.247535904753022e-13, Evaluations = 1488
Generation 93: Best Solution = [ 5.67155809e-08 -7.03022428e-08], Best Fitness = 7.247535904753022e-13, Evaluations = 1504
Generation 94: Best Solution = [ 5.67155809e-08 -7.03022428e-08], Best Fitness = 7.247535904753022e-13, Evaluations = 1520
Generation 95: Best Solution = [ 5.67155809e-08 -7.03022428e-08], Best Fitness = 7.247535904753022e-13, Evaluations = 1536
Generation 96: Best Solution = [1.19696526e-08 5.72196200e-09], Best Fitness = 3.552713678800501e-14, Evaluations = 1552
Generation 97: Best Solution = [1.19696526e-08 5.72196200e-09], Best Fitness = 3.552713678800501e-14, Evaluations = 1568
Generation 98: Best Solution = [1.19696526e-08 5.72196200e-09], Best Fitness = 3.552713678800501e-14, Evaluations = 1584
Generation 99: Best Solution = [-1.98485613e-09  6.33232051e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1600
Generation 100: Best Solution = [-1.98485613e-09  6.33232051e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1616
Generation 101: Best Solution = [-1.98485613e-09  6.33232051e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1632
Generation 102: Best Solution = [-1.98485613e-09  6.33232051e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1648
Generation 103: Best Solution = [-1.98485613e-09  6.33232051e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1664
Generation 104: Best Solution = [-1.98485613e-09  6.33232051e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1680
Generation 105: Best Solution = [-1.98485613e-09  6.33232051e-09], Best Fitness = 7.105427357601002e-15, Evaluations = 1696
Generation 106: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1712
Generation 107: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1728
Generation 108: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1744
Generation 109: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1760
Generation 110: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1776
Generation 111: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1792
Generation 112: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1808
Generation 113: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1824
Generation 114: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1840
Generation 115: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1856
Generation 116: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1872
Generation 117: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1888
Generation 118: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1904
Generation 119: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1920
Generation 120: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1936
Generation 121: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1952
Generation 122: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1968
Generation 123: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 1984
Generation 124: Best Solution = [ 6.70950315e-10 -1.55817918e-09], Best Fitness = 0.0, Evaluations = 2000
